Data_Element,Column_Order,Datatype,Data_Format,Max_Length,Definition,Enumeration,Mandatory,Substitution,Sample_Values,Sensitivity_Level,Sensitivity_Level_2,Public,FOUO,Sensitive
SAM NUMERICS CODE STRING,292,STRING,~ Separated,1600,"Tilde (~) and caret (^) delimited string that includes Numerics data as collected in the assertions page of the SAM Registration. For more information on the SAM Numerics Code String, See the STRING Clarification TAB",See STRING Clarification Tab,Optional (All Awards/Federal Assistance),"If Counter is greater than ""0000"" string is mandatory",BL^30000000^15000000^30000000^15000000~LS^42^5000000^0^0~PG^1^0^0^0 ,FOUO (CUI),2,,X,X
NO PUBLIC DISPLAY FLAG,293,STRING,NPDY or null,4,See SAM Functional Data Dictionary,"NPDY - User did not authorize their public registration data to be included in SAM Public Search results. 
Null Value - User authorized their public registration data to be included in SAM Public Search results. ",Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has opted out of public search.,NPDY,Public,1,X,X,X
DISASTER RESPONSE COUNTER,294,STRING,Numeric,4,Four digit identifier that provides the number of Disaster Response Types to be provided in the Disaster Response String.,,Mandatory,,0003,Public,1,X,X,X
DISASTER RESPONSE STRING,295,STRING,~ Separated,75,"Tilde (~) and caret (^) delimited string that includes Disaster Response data as collected in the assertions page of the SAM Registration. For more information on the Disaster Response String, See the STRING Clarification TAB",See STRING Clarification Tab,Optional (All Awards),"If Counter is greater than ""0000"" string is mandatory",CTYFL051~CTYFL085~CTYFL099~MSA2700~MSA2710~MSA8960~STAFL,Public,1,X,X,X
ANNUAL IGT REVENUE,296,STRING,STRING,25,Annual IGT Revenue - This data element details the amount of revenue the Intra-Governmental Transfer (IGT) entity receives via IGT transactions in a given year.,,Optional (IGT Only),,376916,FOUO (CUI),2,,X,X
AGENCY LOCATION CODE,297,STRING,STRING,8,See SAM Functional Data Dictionary,,Mandatory (IGT Only),,5749,Sensitive (CUI),3,,,X
DISBURSING OFFICE SYMBOL,298,STRING,STRING,5,See SAM Functional Data Dictionary,,Optional (IGT Only),,GS167,Sensitive (CUI),3,,,X
MERCHANT ID 1,299,STRING,STRING,130,See SAM Functional Data Dictionary,,Optional (IGT Only),,38100080001,Sensitive (CUI),3,,,X
MERCHANT ID 2,300,STRING,STRING,130,See SAM Functional Data Dictionary,,Optional (IGT Only),,32323720011,Sensitive (CUI),3,,,X
ACCOUNTING STATION,301,STRING,STRING,6,See SAM Functional Data Dictionary,,Optional (IGT Only),,111111,Sensitive (CUI),3,,,X
SOURCE,302,STRING,STRING,7,This data element identifies a Federal Government Entity as  either a 'DoD' entity or a 'Federal' Entity,"DoD - Entity exists within DoD
Federal - Entity exists within a Department that is not DoD",Optional,Mandatory for U.S Federal / DoD entities,DoD,FOUO (CUI),2,,X,X
DEPARTMENT CODE,303,STRING,STRING,2,The two-digit Agency/Department code derived from the Treasury Index.,,Mandatory (IGT Only),,57,FOUO (CUI),2,,X,X
HIERARCHY DEPARTMENT CODE,304,STRING,STRING,4,The four digit code that identifies the Department ID for the Federal Government Entity.  The Department codes were originally sourced from FPDS and the NIST/FIPS 800-87 Document.,,Optional,Mandatory if Entity is U.S.Federal Government,9700,FOUO (CUI),2,,X,X
HIERARCHY DEPARTMENT NAME,305,STRING,STRING,150,The functional name that corresponds with the Department Code.,,Optional,Mandatory if Entity is U.S.Federal Government,DEPT OF DEFENSE,FOUO (CUI),2,,X,X
HIERARCHY AGENCY CODE,306,STRING,STRING,4,The four digit code that identifies the Agency ID for the Federal Government Entity.  The Agency codes were originally sourced from FPDS and the NIST/FIPS 800-87 Document.,,Optional,Mandatory if Entity is U.S.Federal Government,2100,FOUO (CUI),2,,X,X
HIERARCHY AGENCY NAME,307,STRING,STRING,150,The functional name that corresponds with the Agency Code.,,Optional,Mandatory if Entity is U.S.Federal Government,DEPT OF THE ARMY,FOUO (CUI),2,,X,X
HIERARCHY OFFICE CODE,308,STRING,STRING,6,"The office code is an up-to six character identifier representing a U.S. government office in the SAM Federal hierarchy. This code exists independently of the unique entity identifier used for registration purposes, i.e. UEI(SAM), DoDAAC, or CAGE Code.",,Optional,Mandatory if Entity is U.S.Federal Government,W96F31,FOUO (CUI),2,,X,X
ELIMINATIONS POC FIRST NAME,309,STRING,STRING,65,See SAM Functional Data Dictionary,,Optional (IGT Only),,Sam,FOUO (CUI),2,,X,X
ELIMINATIONS POC MIDDLE INITIAL,310,STRING,STRING,3,See SAM Functional Data Dictionary,,Optional (IGT Only),,A,FOUO (CUI),2,,X,X
ELIMINATIONS POC LAST NAME,311,STRING,STRING,65,See SAM Functional Data Dictionary,,Optional (IGT Only),,Merica,FOUO (CUI),2,,X,X
ELIMINATIONS POC TITLE,312,STRING,STRING,50,See SAM Functional Data Dictionary,,Optional (IGT Only),,Mr,FOUO (CUI),2,,X,X
ELIMINATIONS POC ST ADD 1,313,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional (IGT Only),,123 Main Street,FOUO (CUI),2,,X,X
ELIMINATIONS POC ST ADD 2,314,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional (IGT Only),,Floor 5,FOUO (CUI),2,,X,X
ELIMINATIONS POC CITY,315,STRING,STRING,40,See SAM Functional Data Dictionary,,Optional (IGT Only),,Arlington,FOUO (CUI),2,,X,X
ELIMINATIONS POC ZIP/POSTAL CODE,316,STRING,STRING,50,See SAM Functional Data Dictionary,,Optional (IGT Only),Mandatory if Country is USA,99999,FOUO (CUI),2,,X,X
ELIMINATIONS POC ZIP CODE +4,317,STRING,Numeric,4,See SAM Functional Data Dictionary,,Optional (IGT Only),,0001,FOUO (CUI),2,,X,X
ELIMINATIONS POC COUNTRY CODE,318,STRING,STRING,3,See SAM Functional Data Dictionary,,Optional (IGT Only),,USA,FOUO (CUI),2,,X,X
ELIMINATIONS POC STATE OR PROVINCE,319,STRING,STRING,55,See SAM Functional Data Dictionary,,Optional (IGT Only),Mandatory if Country is USA or CAN,VA,FOUO (CUI),2,,X,X
ELIMINATIONS POC U.S. PHONE,320,STRING,Numeric,30,See SAM Functional Data Dictionary,,Optional (IGT Only),Mandatory if Country is USA,5555551212,FOUO (CUI),2,,X,X
ELIMINATIONS POC U.S. PHONE EXT,321,STRING,STRING,25,See SAM Functional Data Dictionary,,Optional (IGT Only),,1111,FOUO (CUI),2,,X,X
ELIMINATIONS POC NON-U.S. PHONE,322,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional (IGT Only),Mandatory if Country is not USA,5555-55555555555,FOUO (CUI),2,,X,X
ELIMINATIONS POC FAX U.S. ONLY,323,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional (IGT Only),,9876543211,FOUO (CUI),2,,X,X
ELIMINATIONS POC EMAIL,324,STRING,STRING,80,See SAM Functional Data Dictionary,,Optional (IGT Only),,unclesam@sam.gov,FOUO (CUI),2,,X,X
SALES POC FIRST NAME,325,STRING,STRING,65,See SAM Functional Data Dictionary,,Optional (IGT Only),,Sam,FOUO (CUI),2,,X,X
SALES POC MIDDLE INITIAL,326,STRING,STRING,3,See SAM Functional Data Dictionary,,Optional (IGT Only),,A,FOUO (CUI),2,,X,X
SALES POC LAST NAME,327,STRING,STRING,65,See SAM Functional Data Dictionary,,Optional (IGT Only),,Merica,FOUO (CUI),2,,X,X
SALES POC TITLE,328,STRING,STRING,50,See SAM Functional Data Dictionary,,Optional (IGT Only),,Mr,FOUO (CUI),2,,X,X
SALES POC ST ADD 1,329,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional (IGT Only),,123 Main Street,FOUO (CUI),2,,X,X
SALES POC ST ADD 2,330,STRING,STRING,150,See SAM Functional Data Dictionary,,Optional (IGT Only),,Floor 5,FOUO (CUI),2,,X,X
SALES POC CITY,331,STRING,STRING,40,See SAM Functional Data Dictionary,,Optional (IGT Only),,Arlington,FOUO (CUI),2,,X,X
SALES POC ZIP/POSTAL CODE,332,STRING,STRING,50,See SAM Functional Data Dictionary,,Optional (IGT Only),Mandatory if Country is USA,99999,FOUO (CUI),2,,X,X
SALES POC ZIP CODE +4,333,STRING,Numeric,4,See SAM Functional Data Dictionary,,Optional (IGT Only),,0001,FOUO (CUI),2,,X,X
SALES POC COUNTRY CODE,334,STRING,STRING,3,See SAM Functional Data Dictionary,,Optional (IGT Only),,USA,FOUO (CUI),2,,X,X
SALES POC STATE OR PROVINCE,335,STRING,STRING,55,See SAM Functional Data Dictionary,,Optional (IGT Only),Mandatory if Country is USA or CAN,VA,FOUO (CUI),2,,X,X
SALES POC U.S. PHONE,336,STRING,Numeric,30,See SAM Functional Data Dictionary,,Optional (IGT Only),Mandatory if Country is USA,5555551212,FOUO (CUI),2,,X,X
SALES POC U.S. PHONE EXT,337,STRING,STRING,25,See SAM Functional Data Dictionary,,Optional (IGT Only),,1111,FOUO (CUI),2,,X,X
SALES POC NON-U.S. PHONE,338,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional (IGT Only),Mandatory if Country is not USA,5555-55555555555,FOUO (CUI),2,,X,X
SALES POC FAX U.S. ONLY,339,STRING,STRING,30,See SAM Functional Data Dictionary,,Optional (IGT Only),,9876543211,FOUO (CUI),2,,X,X
SALES POC EMAIL,340,STRING,STRING,80,See SAM Functional Data Dictionary,,Optional (IGT Only),,unclesam@sam.gov,FOUO (CUI),2,,X,X
TAXPAYER NAME,341,STRING,STRING,120,See SAM Functional Data Dictionary,,Mandatory for US Entities.  Optional for Foreign and IGT-only Entities,,"MICRO MACHINES, INC.",Sensitive (CUI),3,,,X
ENTITY EVS SOURCE,342,STRING,STRING,10,EVS Source of the SAM and non-SAM registrants,,Mandatory,,D&B,Public,1,X,X,X
HQ PARENT EVS SOURCE,343,STRING,STRING,10,EVS Source of the SAM registrant hierarchy,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has a Headquarters on file with EVS,D&B,FOUO (CUI),2,,X,X
DOMESTIC PARENT EVS SOURCE,344,STRING,STRING,10,EVS Source of the SAM registrant hierarchy,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has an Ultimate Domestic Parent on file with EVS,D&B,FOUO (CUI),2,,X,X
ULTIMATE PARENT EVS SOURCE,345,STRING,STRING,10,EVS Source of the SAM registrant hierarchy,,Optional (All Awards/Federal Assistance),Mandatory to be present if the entity has an Ultimate Parent on file with EVS,D&B,FOUO (CUI),2,,X,X
IMMEDIATE PARENT EVS SOURCE,346,STRING,STRING,10,EVS Source of the SAM registrant hierarchy,,Optional (All Awards/Federal Assistance),,D&B,FOUO (CUI),2,,X,X
TIN TYPE,,STRING,STRING,3,See SAM Functional Data Dictionary,,Mandatory,,SSN,Sensitive (CUI),3,,,X
TIN NUMBER,,STRING,Numeric,9,See SAM Functional Data Dictionary,,Mandatory,,12345678,Sensitive (CUI),3,,,X
FLEX FIELD 6,347,STRING,STRING,0,Flexible field set aside future SAM Data elements,,Optional,,,Public,1,X,X,X
FLEX FIELD 7,348,STRING,STRING,0,Flexible field set aside future SAM Data elements,,Optional,,,Public,1,X,X,X
FLEX FIELD 8,349,STRING,STRING,0,Flexible field set aside future SAM Data elements,,Optional,,,Public,1,X,X,X
FLEX FIELD 9,350,STRING,STRING,0,Flexible field set aside future SAM Data elements,,Optional,,,Public,1,X,X,X
FLEX FIELD 10,351,STRING,STRING,0,Flexible field set aside future SAM Data elements,,Optional,,,Public,1,X,X,X
FLEX FIELD 11,352,STRING,STRING,0,Flexible field set aside future SAM Data elements,,Optional,,,Public,1,X,X,X
FLEX FIELD 12,353,STRING,STRING,0,Flexible field set aside future SAM Data elements,,Optional,,,Public,1,X,X,X
FLEX FIELD 13,354,STRING,STRING,0,Flexible field set aside future SAM Data elements,,Optional,,,Public,1,X,X,X
FLEX FIELD 14,355,STRING,STRING,0,Flexible field set aside future SAM Data elements,,Optional,,,Public,1,X,X,X
FLEX FIELD 15,356,STRING,STRING,0,Flexible field set aside future SAM Data elements,,Optional,,,Public,1,X,X,X
FLEX FIELD 16,357,STRING,STRING,0,Flexible field set aside future SAM Data elements,,Optional,,,Public,1,X,X,X
FLEX FIELD 17,358,STRING,STRING,0,Flexible field set aside future SAM Data elements,,Optional,,,Public,1,X,X,X
FLEX FIELD 18,359,STRING,STRING,0,Flexible field set aside future SAM Data elements,,Optional,,,Public,1,X,X,X
FLEX FIELD 19,360,STRING,STRING,0,Flexible field set aside future SAM Data elements,,Optional,,,Public,1,X,X,X
FLEX FIELD 20,361,STRING,STRING,0,Flexible field set aside future SAM Data elements,,Optional,,,Public,1,X,X,X
FLEX FIELD 21,,STRING,STRING,1,Flexible field set aside future SAM Data elements,,Optional,,,Public,1,X,,
FLEX FIELD 22,,STRING,STRING,2,Flexible field set aside future SAM Data elements,,Optional,,,Public,1,X,,
FLEX FIELD 23,,STRING,STRING,3,Flexible field set aside future SAM Data elements,,Optional,,,Public,1,X,,
FLEX FIELD 24,,STRING,STRING,4,Flexible field set aside future SAM Data elements,,Optional,,,Public,1,X,,
END OF RECORD INDICATOR,362,STRING,STRING,4,Identifier that serves to demarcate the end of each individual record in the extract file.,,Mandatory,,!end,Public,1,X,X,X
Last Updated: 2025-02-13,,,,,,,,,,,,,,
