Program Name,Acronym,Agency,Prime Contractor,Contract Number,Contract Value,Contract Description,Match Confidence,Match Score,tango_piid,tango_description,pop_city,pop_state,pop_zip,pop_country,period_start,period_end,ultimate_completion,subawards_count,subawards_total,recipient_uei,recipient_name,naics_code,psc_code,set_aside,obligated,total_contract_value,parent_piid,parent_description,awarding_office,awarding_agency,funding_office
Defense Enclave Services – Fourth Estate IT Consolidation,DES,DISA,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0,HHSN261200800001E,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,FREDERICK,MARYLAND,21702,UNITED STATES,2008-09-26,2024-09-06,2024-09-06,,,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC,561210,M181,NONE,"$4,813,063,024.90","$70,988,409,497.44",,,,,
Defense Enclave Services (DoDNet),DES (DoDNet),DISA,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0,HHSN261200800001E,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,FREDERICK,MARYLAND,21702,UNITED STATES,2008-09-26,2024-09-06,2024-09-06,,,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC,561210,M181,NONE,"$4,813,063,024.90","$70,988,409,497.44",,,,,
Defense Enterprise Office 365 Migration / DoD365,DOD365,DISA,Microsoft,47QFCA22F0047,"$998,940,122.69",ENTERPRISE CLOUD SERVICES AZURE O365 OFFICE 365,High,4,47QFCA22F0047,TASK ORDER AWARD,MCLEAN,VIRGINIA,22102,UNITED STATES,2022-09-06,2026-09-05,2027-09-05,4,"$8,680,894.64",JCBMLGPE6Z71,BOOZ ALLEN HAMILTON INC,541330,R499,,"$998,940,122.69","$1,525,618,176.00",GS00Q14OADU108,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",GSA FAS AAS FEDSIM,Federal Acquisition Service,NAVAL AIR WARFARE CENTER AIR DIV
Defense Enterprise Office Solutions,DEOS,DISA,CSRA / Leidos (team),HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0,HHSN261200800001E,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,FREDERICK,MARYLAND,21702,UNITED STATES,2008-09-26,2024-09-06,2024-09-06,,,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC,561210,M181,NONE,"$4,813,063,024.90","$70,988,409,497.44",,,,,
Defense Health Agency Desktop to Datacenter,D2D,DoD,GDIT,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Medium,1,19AQMM18C0185,GLOBAL SECURITY ENGINEERING&SUPPLY CHAIN SERVICES.,SPRINGFIELD,VIRGINIA,22150,UNITED STATES,2019-06-19,2029-08-07,2029-08-07,5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",541614,R706,NONE,"$1,495,085,754.52","$2,447,737,874.85",,,ACQUISITIONS - AQM MOMENTUM,Department of State,BUREAU OF DIPLOMATIC SECURITY
Defense Health Agency Modernization / MHS GENESIS,MHS GENESIS,DoD,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0,HHSN261200800001E,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,FREDERICK,MARYLAND,21702,UNITED STATES,2008-09-26,2024-09-06,2024-09-06,,,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC,561210,M181,NONE,"$4,813,063,024.90","$70,988,409,497.44",,,,,
Defense Satellite Communications Modernization,DSCM (Satellite),Space Force,CACI,47QFRA19F0011,"$708,253,079.87",DYNAMIC AND EVOLVING FEDERAL ENTERPRISE NETWORK DEFENSE CDM DEFEND CYBER,Medium,1,47QFRA19F0011,DYNAMIC AND EVOLVING FEDERAL ENTERPRISE NETWORK DEFENSE GROUP A DEFEND A  OPTION EXERCISE AND TRANSFER FROM PIID 47QFCA18F0050,ARLINGTON,VIRGINIA,22202,UNITED STATES,2019-05-08,2024-04-30,2024-04-30,2,"$10,015,496.00",N3PBJAVNKF61,"CACI, INC. - FEDERAL",541512,7010,,"$708,253,079.87","$1,026,717,176.60",GS00Q09BGD0020,"THE SCOPE OF THE ALLIANT GWAC INCLUDES ANY AND ALL COMPONENTS OF AN INTEGRATED INFORMATION TECHNOLOGY (IT) SOLUTION, INCLUDING ALL CURRENT AND ANY NEW TECHNOLOGIES WHICH MAY EMERGE DURING THE LIFE CYC",GSA FAS AAS REGION 8,Federal Acquisition Service,
DFAS Enterprise IT Support – Secondary Row,DFAS-Peraton,DoD,Peraton,47QFCA20F0015,"$600,708,181.07",CONSULAR AFFAIRS ENTERPRISE INFRASTRUCTURE OPERATIONS STATE DEPARTMENT,Medium,1,47QFCA20F0015,"THE PURPOSE OF THIS TASK ORDER AWARD IS TO OBLIGATE $25,500,000.00 TO THE CONSULAR AFFAIRS ENTERPRISE INFRASTRUCTURE OPERATIONS REQUIREMENT.",HERNDON,VIRGINIA,20171,UNITED STATES,2019-12-18,2026-12-17,2026-12-17,138,"$271,638,793.42",MBSRAWAQ9559,PERATON ENTERPRISE SOLUTIONS LLC,541512,D399,,"$600,708,181.07","$810,580,971.00",47QTCK18D0030,"IGF::OT::IGF  
GOVERNMENT-WIDE ACQUISITION CONTRACTS PROVIDE WORLDWIDE ACCESS TO IT SOLUTIONS SUCH AS SYSTEMS DESIGN, SOFTWARE ENGINEERING, INFORMATION ASSURANCE, AND ENTERPRISE ARCHITECTURE SOLUTIONS",GSA FAS AAS FEDSIM,Federal Acquisition Service,BUREAU OF CONSULAR AFFAIRS
DFAS Enterprise Support,DFAS-Peraton,DoD,Peraton,47QFCA20F0015,"$600,708,181.07",CONSULAR AFFAIRS ENTERPRISE INFRASTRUCTURE OPERATIONS STATE DEPARTMENT,Medium,1,47QFCA20F0015,"THE PURPOSE OF THIS TASK ORDER AWARD IS TO OBLIGATE $25,500,000.00 TO THE CONSULAR AFFAIRS ENTERPRISE INFRASTRUCTURE OPERATIONS REQUIREMENT.",HERNDON,VIRGINIA,20171,UNITED STATES,2019-12-18,2026-12-17,2026-12-17,138,"$271,638,793.42",MBSRAWAQ9559,PERATON ENTERPRISE SOLUTIONS LLC,541512,D399,,"$600,708,181.07","$810,580,971.00",47QTCK18D0030,"IGF::OT::IGF  
GOVERNMENT-WIDE ACQUISITION CONTRACTS PROVIDE WORLDWIDE ACCESS TO IT SOLUTIONS SUCH AS SYSTEMS DESIGN, SOFTWARE ENGINEERING, INFORMATION ASSURANCE, AND ENTERPRISE ARCHITECTURE SOLUTIONS",GSA FAS AAS FEDSIM,Federal Acquisition Service,BUREAU OF CONSULAR AFFAIRS
DGFS (RTX),DGFS,DoD,Raytheon (RTX),N0001918C1021,"$8,688,654,906.89",F135 PROPULSION SYSTEMS LOT ENGINE PRATT WHITNEY,Low,0,N0001918C1021,LOT 12 AAC LONG LEAD FOR PROPULSION SYSTEMS,EAST HARTFORD,CONNECTICUT,06118,UNITED STATES,2018-03-23,2024-12-30,2024-12-30,53,"$239,545,634.04",QN1BCFY7JDJ5,RTX CORPORATION,336412,2840,NONE,"$8,688,654,906.89","$7,936,627,479.45",,,NAVAL AIR SYSTEMS COMMAND,Department of the Navy,NAVAL AIR SYSTEMS COMMAND
DHS Data Center 2,DC2,DHS,GDIT / Peraton (indicative),GST0011AJ0025,"$609,128,623.96",DHS CLASSIFIED NETWORKS OPERATIONS MAINTENANCE HOMELAND SECURITY,Medium,2,GST0011AJ0025,"IS TO PROVIDE SUPPORT FOR THE CONTINUED OPERATIONS, MAINTENANCE AND EVOLUTION OF DEPARTMENT OF HOMELAND SECURITY (DHS) CLASSIFIED NETWORKS. DHS CLASSIFIED NETWORKS ARE A FEDERAL ENTERPRISE INFRASTRUCTURE FOR CLASSIFIED INFORMATION SHARING WHICH EXTEND EXISTING US GOVERNMENT CAPABILITIES NOT ONLY TO THE DEPARTMENT OF HOMELAND SECURITY AND ITS COMPONENTS, BUT TO OTHER FEDERAL GOVERNMENT AGENCIES, AND TO FIRST RESPONDERS AT THE STATE, LOCAL, AND TRIBAL LEVELS.",MC LEAN,VIRGINIA,22101,UNITED STATES,2011-02-02,2018-05-02,2018-05-02,315,"$535,137,651.00",JER6HDF9APP1,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC,541512,R499,NONE,"$609,128,623.96","$1,114,022,610.00",GS00Q09BGD0056,"THE SCOPE OF THE ALLIANT GWAC INCLUDES ANY AND ALL COMPONENTS OF AN INTEGRATED INFORMATION TECHNOLOGY (IT) SOLUTION, INCLUDING ALL CURRENT AND ANY NEW TECHNOLOGIES WHICH MAY EMERGE DURING THE LIFE CYC",,,
DHS Enterprise IT Services I,EITS I,DHS,Leidos / SAIC (indicative),FA877319FA023,"$39,874,973.53",ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES 688 OSS CYBER,Medium,1,FA877319FA023,OT ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES IN SUPPORT OF THE 688 OSS,SAN ANTONIO,TEXAS,78243,UNITED STATES,2019-04-28,2025-10-27,2026-07-27,,,K3XCTTC4VDR5,MOSAIC TECHNOLOGIES GROUP LLC,541330,R425,,"$39,874,973.53","$47,518,825.61",GS00Q14OADS129,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",FA8773 ACC 38 CONS,Department of the Air Force,67 CW
DIA Battlefield Information Networks / BICES-X,BICES-X,DIA,CACI,47QFRA24F0005,"$681,999,277.86",CDM DEFEND GROUP A BRIDGE TASK ORDER CONTINUOUS DIAGNOSTICS MITIGATION,Medium,2,47QFRA24F0005,CDM DEFEND GROUP A  BRIDGE TASK ORDER,ARLINGTON,VIRGINIA,22203,UNITED STATES,2024-05-01,2026-04-30,2027-04-30,752,"$1,008,209,906.52",N3PBJAVNKF61,"CACI, INC. - FEDERAL",541512,DA01,,"$681,999,277.86","$1,043,328,503.00",47QTCK18D0009,"IGF::OT::IGF  
GOVERNMENT-WIDE ACQUISITION CONTRACTS PROVIDE WORLDWIDE ACCESS TO IT SOLUTIONS SUCH AS SYSTEMS DESIGN, SOFTWARE ENGINEERING, INFORMATION ASSURANCE, AND ENTERPRISE ARCHITECTURE SOLUTIONS",GSA FAS AAS REGION 8,Federal Acquisition Service,Off of the Dir CISA
DIA EMERALD,EMERALD,NGA,Peraton (Perspecta heritage),80GSFC19C0063,"$1,414,704,681.90",EXPLORATION AND SPACE COMMUNICATIONS ESC SCAN NETWORK NASA GODDARD,Medium,1,80GSFC19C0063,THE EXPLORATION AND SPACE COMMUNICATIONS PROJECTS DIVISION (ESC) IS A NATIONAL RESOURCE LOCATED AT GODDARD SPACE FLIGHT CENTER (GSFC) WHICH ENABLES SCIENTIFIC DISCOVERY AND SPACE EXPLORATION BY PROVIDING INNOVATIVE AND MISSION-EFFECTIVE SPACE COMMUNICATIONS AND NAVIGATION SOLUTIONS TO A LARGE COMMUNITY OF DIVERSE CUSTOMERS.  ESC MANAGES OPERATIONAL GEOSTATIONARY COMMUNICATIONS RELAY SATELLITES AND GROUND SYSTEMS FOR THE SPACE COMMUNICATIONS AND NAVIGATION (SCAN) PROGRAM AT NASA HEADQUARTERS.  TO,HERNDON,VIRGINIA,20170,UNITED STATES,2019-10-01,2026-03-31,2026-03-31,1514,"$637,927,785.30",ZBPQEJVECCT4,PERATON INC.,517919,D318,NONE,"$1,414,704,681.90","$1,800,000,000.00",,,NASA GODDARD SPACE FLIGHT CENTER,National Aeronautics and Space Administration,NASA GODDARD SPACE FLIGHT CENTER
DIA Information Systems Engineering Office,ISEO,DIA,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Medium,1,HHSN261200800001E,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,FREDERICK,MARYLAND,21702,UNITED STATES,2008-09-26,2024-09-06,2024-09-06,,,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC,561210,M181,NONE,"$4,813,063,024.90","$70,988,409,497.44",,,,,
DIA Infrastructure Services Enterprise Ops,ISEO,DIA,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Medium,1,HHSN261200800001E,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,FREDERICK,MARYLAND,21702,UNITED STATES,2008-09-26,2024-09-06,2024-09-06,,,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC,561210,M181,NONE,"$4,813,063,024.90","$70,988,409,497.44",,,,,
DIA Infrastructure Services Ops,ISEO,DIA,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Medium,1,HHSN261200800001E,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,FREDERICK,MARYLAND,21702,UNITED STATES,2008-09-26,2024-09-06,2024-09-06,,,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC,561210,M181,NONE,"$4,813,063,024.90","$70,988,409,497.44",,,,,
DIA ISEO,ISEO,DIA,Leidos,NSFDACS1219442,"$3,081,207,083.64",SCIENCE OPERATION AND MAINTENANCE SUPPORT UNITED STATES ANTARCTIC PROGRAM,Medium,2,NSFDACS1219442,SCIENCE OPERATION AND MAINTENANCE SUPPORT FOR THE UNITED STATES ANTARCTIC PROGRAM,,,,ANTARCTICA,2011-12-23,2026-09-30,2026-09-30,2094,"$1,083,585,676.04",NTWCWULE48A8,LOCKHEED MARTIN CORPORATION,561210,M1HA,NONE,"$3,081,207,083.64","$3,147,349,027.98",,,,,
DIA ISEO (IT Sustainment for DIA),ISEO,DIA,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Medium,1,HHSN261200800001E,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,FREDERICK,MARYLAND,21702,UNITED STATES,2008-09-26,2024-09-06,2024-09-06,,,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC,561210,M181,NONE,"$4,813,063,024.90","$70,988,409,497.44",,,,,
DIA IT Sustainment & Engineering Office,ISEO,DIA,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Medium,1,HHSN261200800001E,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,FREDERICK,MARYLAND,21702,UNITED STATES,2008-09-26,2024-09-06,2024-09-06,,,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC,561210,M181,NONE,"$4,813,063,024.90","$70,988,409,497.44",,,,,
DIA IT Sustainment & Enterprise Ops,ISEO,DIA,Leidos,NSFDACS1219442,"$3,081,207,083.64",SCIENCE OPERATION AND MAINTENANCE SUPPORT UNITED STATES ANTARCTIC PROGRAM,Medium,2,NSFDACS1219442,SCIENCE OPERATION AND MAINTENANCE SUPPORT FOR THE UNITED STATES ANTARCTIC PROGRAM,,,,ANTARCTICA,2011-12-23,2026-09-30,2026-09-30,2094,"$1,083,585,676.04",NTWCWULE48A8,LOCKHEED MARTIN CORPORATION,561210,M1HA,NONE,"$3,081,207,083.64","$3,147,349,027.98",,,,,
DIA IT Sustainment & Enterprise Ops (Task Order),ISEO,DIA,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Medium,1,HHSN261200800001E,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,FREDERICK,MARYLAND,21702,UNITED STATES,2008-09-26,2024-09-06,2024-09-06,,,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC,561210,M181,NONE,"$4,813,063,024.90","$70,988,409,497.44",,,,,
DIA IT Sustainment (ISEO),ISEO,DIA,Leidos,NSFDACS1219442,"$3,081,207,083.64",SCIENCE OPERATION AND MAINTENANCE SUPPORT UNITED STATES ANTARCTIC PROGRAM,Medium,2,NSFDACS1219442,SCIENCE OPERATION AND MAINTENANCE SUPPORT FOR THE UNITED STATES ANTARCTIC PROGRAM,,,,ANTARCTICA,2011-12-23,2026-09-30,2026-09-30,2094,"$1,083,585,676.04",NTWCWULE48A8,LOCKHEED MARTIN CORPORATION,561210,M1HA,NONE,"$3,081,207,083.64","$3,147,349,027.98",,,,,
DIA SITE III,SITE III,DIA,Leidos,NSFDACS1219442,"$3,081,207,083.64",SCIENCE OPERATION AND MAINTENANCE SUPPORT UNITED STATES ANTARCTIC PROGRAM,Medium,2,NSFDACS1219442,SCIENCE OPERATION AND MAINTENANCE SUPPORT FOR THE UNITED STATES ANTARCTIC PROGRAM,,,,ANTARCTICA,2011-12-23,2026-09-30,2026-09-30,2094,"$1,083,585,676.04",NTWCWULE48A8,LOCKHEED MARTIN CORPORATION,561210,M1HA,NONE,"$3,081,207,083.64","$3,147,349,027.98",,,,,
DIA SITE III IDIQ,SITE III,DIA,"Leidos, CACI, others",47QFRA24F0005,"$681,999,277.86",CDM DEFEND GROUP A BRIDGE TASK ORDER CONTINUOUS DIAGNOSTICS MITIGATION,Medium,2,47QFRA24F0005,CDM DEFEND GROUP A  BRIDGE TASK ORDER,ARLINGTON,VIRGINIA,22203,UNITED STATES,2024-05-01,2026-04-30,2027-04-30,752,"$1,008,209,906.52",N3PBJAVNKF61,"CACI, INC. - FEDERAL",541512,DA01,,"$681,999,277.86","$1,043,328,503.00",47QTCK18D0009,"IGF::OT::IGF  
GOVERNMENT-WIDE ACQUISITION CONTRACTS PROVIDE WORLDWIDE ACCESS TO IT SOLUTIONS SUCH AS SYSTEMS DESIGN, SOFTWARE ENGINEERING, INFORMATION ASSURANCE, AND ENTERPRISE ARCHITECTURE SOLUTIONS",GSA FAS AAS REGION 8,Federal Acquisition Service,Off of the Dir CISA
DIMS (Peraton),DIMS,Air Force,Peraton,47QFCA20F0015,"$600,708,181.07",CONSULAR AFFAIRS ENTERPRISE INFRASTRUCTURE OPERATIONS STATE DEPARTMENT,Medium,1,47QFCA20F0015,"THE PURPOSE OF THIS TASK ORDER AWARD IS TO OBLIGATE $25,500,000.00 TO THE CONSULAR AFFAIRS ENTERPRISE INFRASTRUCTURE OPERATIONS REQUIREMENT.",HERNDON,VIRGINIA,20171,UNITED STATES,2019-12-18,2026-12-17,2026-12-17,138,"$271,638,793.42",MBSRAWAQ9559,PERATON ENTERPRISE SOLUTIONS LLC,541512,D399,,"$600,708,181.07","$810,580,971.00",47QTCK18D0030,"IGF::OT::IGF  
GOVERNMENT-WIDE ACQUISITION CONTRACTS PROVIDE WORLDWIDE ACCESS TO IT SOLUTIONS SUCH AS SYSTEMS DESIGN, SOFTWARE ENGINEERING, INFORMATION ASSURANCE, AND ENTERPRISE ARCHITECTURE SOLUTIONS",GSA FAS AAS FEDSIM,Federal Acquisition Service,BUREAU OF CONSULAR AFFAIRS
DISA ENCORE III Cyber Task Orders,ENCORE III Cyber,DISA,CACI,47QFRA19F0011,"$708,253,079.87",DYNAMIC AND EVOLVING FEDERAL ENTERPRISE NETWORK DEFENSE CDM DEFEND CYBER,Medium,1,47QFRA19F0011,DYNAMIC AND EVOLVING FEDERAL ENTERPRISE NETWORK DEFENSE GROUP A DEFEND A  OPTION EXERCISE AND TRANSFER FROM PIID 47QFCA18F0050,ARLINGTON,VIRGINIA,22202,UNITED STATES,2019-05-08,2024-04-30,2024-04-30,2,"$10,015,496.00",N3PBJAVNKF61,"CACI, INC. - FEDERAL",541512,7010,,"$708,253,079.87","$1,026,717,176.60",GS00Q09BGD0020,"THE SCOPE OF THE ALLIANT GWAC INCLUDES ANY AND ALL COMPONENTS OF AN INTEGRATED INFORMATION TECHNOLOGY (IT) SOLUTION, INCLUDING ALL CURRENT AND ANY NEW TECHNOLOGIES WHICH MAY EMERGE DURING THE LIFE CYC",GSA FAS AAS REGION 8,Federal Acquisition Service,
DISA Global Service Mgmt – Ops II,GSM-O II,DISA,Leidos,89243318CFE000003,"$960,260,804.00",RESEARCH SUPPORT SERVICES (RSS) DOE ENERGY,Medium,1,89243318CFE000003,RESEARCH SUPPORT SERVICES (RSS),MORGANTOWN,WEST VIRGINIA,26507,UNITED STATES,2018-12-31,2028-12-30,2028-12-30,2244,"$2,744,055,450.08",MYKLJHTX3MM7,"LEIDOS, INC.",541715,R425,NONE,"$960,260,804.00","$1,200,000,000.00",,,NATIONAL ENERGY TECHNOLOGY LABORATORY,Department of Energy,FOSSIL ENERGY AND CARBON MANAGEMENT
DISA GSM-O II,GSM-O II,DISA,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0,HHSN261200800001E,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,FREDERICK,MARYLAND,21702,UNITED STATES,2008-09-26,2024-09-06,2024-09-06,,,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC,561210,M181,NONE,"$4,813,063,024.90","$70,988,409,497.44",,,,,
DISA GSM-O II (Surge Staffing Focus),GSM-O II,DISA,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0,HHSN261200800001E,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,FREDERICK,MARYLAND,21702,UNITED STATES,2008-09-26,2024-09-06,2024-09-06,,,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC,561210,M181,NONE,"$4,813,063,024.90","$70,988,409,497.44",,,,,
DISA JWCC – Joint Warfighting Cloud Capability,JWCC,DISA,Amazon; Microsoft; Google; Oracle,W91CRB20F0448,"$290,537,976.81",GENERAL SERVICES JEDI JWCC CLOUD,High,5,W91CRB20F0448,AWARD OF 11 MONTH TASK ORDER FOR GENERAL SERVICES THROUGH 31 JULY 2021.,ABERDEEN PROVING GROUND,MARYLAND,21005,UNITED STATES,2020-09-01,2024-05-31,2024-05-31,83,"$44,444,302.06",H2RGSKWXKHQ5,"AMENTUM TECHNOLOGY, INC.",541330,R425,,"$290,537,976.81","$315,913,231.03",W91CRB15D0018,IGF::OT::IGF ATC TEST SUPPORT SERVICES,W6QK ACC-APG,Department of the Army,W4QU USA ABERDEEN TEST CENTER
DISA Supply Chain Mgmt (GDIT),DSCM-GDIT,DISA,GDIT,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,High,3,19AQMM18C0185,GLOBAL SECURITY ENGINEERING&SUPPLY CHAIN SERVICES.,SPRINGFIELD,VIRGINIA,22150,UNITED STATES,2019-06-19,2029-08-07,2029-08-07,5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",541614,R706,NONE,"$1,495,085,754.52","$2,447,737,874.85",,,ACQUISITIONS - AQM MOMENTUM,Department of State,BUREAU OF DIPLOMATIC SECURITY
Distributed Common Ground System (AF),DCGS,Air Force,BAE; multiple,FA821413C0001,"$2,118,906,843.81",SYSTEMS ENGINEERING ICBM SYSTEMS DIRECTORATE MINUTEMAN SENTINEL,Medium,1,FA821413C0001,"IGF::CL::IGF SYSTEMS ENGINEERING, INTEGRATION AND PROGRAM MANAGEMENT SUPPORT FOR THE ICBM SYSTEMS DIRECTORATE.",ROCKVILLE,MARYLAND,20850,UNITED STATES,2013-08-01,2026-07-31,2027-07-31,1634,"$1,197,559,266.92",LX3BSV6NNW58,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,541330,L014,NONE,"$2,118,906,843.81","$2,562,342,704.77",,,FA8214  AFNWC PZBB,Department of the Air Force,F2DCAH 526 ICBMSW GINV
DLA J6 Enterprise Technology Services,DLA JETS,DoD,CACI; Deloitte; SAIC; GDIT,SAQMMA12C0130,"$1,219,847,693.56",GLOBAL SUPPLY CHAIN MANAGEMENT LOGISTICS TECHNOLOGY DEVELOPMENT STATE GDIT,Medium,2,SAQMMA12C0130,"IGF::OT::IGF THE PURPOSE OF THIS ACTION IS TO ESTABLISH A NEW CONTRACT WITH GENERAL DYNAMICS INFORMATION TECHNOLOGY FOR GLOBAL SUPPLY CHAIN MANAGEMENT, LOGISTICS AND TECHNOLOGY DEVELOPMENT SERVICES TO SUPPORT THE DEPARTMENT OF STATE. THE INITIAL FUNDING ASSOCIATED WITH THIS CONTRACT IS $22,304,578.00. THE OVERALL CONTRACT VALUE IS $2,200,000,000.00",STERLING,VIRGINIA,20164,UNITED STATES,2012-06-08,2019-09-07,2019-09-07,,,SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",541614,R706,NONE,"$1,219,847,693.56","$2,386,055,531.29",,,,,
DLA J6 Enterprise Technology Services 2.0,DLA JETS 2.0,DoD,Leidos; GDIT; Booz Allen; CACI; Peraton,47QFCA21F0018,"$1,379,603,153.12",ENTERPRISE LEVEL DATA OUSD(C) COMPTROLLER DEFENSE FINANCE,Medium,1,47QFCA21F0018,"TASK ORDER (TO) 47QFCA21F0018 IS HEREBY AWARDED TO BOOZ ALLEN HAMILTON, INC. (BAH) TO PROVIDE ENTERPRISE LEVEL DATA TO THE OUSD(C), AND ITS STRATEGIC PARTNERS (I.E., DOD FOURTH ESTATE, DOD DEPARTMENTS, AND IC COMMUNITY).",WASHINGTON,DISTRICT OF COLUMBIA,20301,UNITED STATES,2021-03-09,2025-02-15,2025-05-15,1460,"$993,273,679.54",JCBMLGPE6Z71,BOOZ ALLEN HAMILTON INC,541512,DA01,,"$1,379,533,153.12","$1,602,230,952.00",47QTCK18D0004,"IGF::OT::IGF  
GOVERNMENT-WIDE ACQUISITION CONTRACTS PROVIDE WORLDWIDE ACCESS TO IT SOLUTIONS SUCH AS SYSTEMS DESIGN, SOFTWARE ENGINEERING, INFORMATION ASSURANCE, AND ENTERPRISE ARCHITECTURE SOLUTIONS",GSA FAS AAS FEDSIM,Federal Acquisition Service,WASHINGTON HEADQUARTERS SERVICES
DLA JETS 2.0 (Follow-On),JETS 2.0,DoD,CACI; GDIT,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Medium,1,19AQMM18C0185,GLOBAL SECURITY ENGINEERING&SUPPLY CHAIN SERVICES.,SPRINGFIELD,VIRGINIA,22150,UNITED STATES,2019-06-19,2029-08-07,2029-08-07,5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",541614,R706,NONE,"$1,495,085,754.52","$2,447,737,874.85",,,ACQUISITIONS - AQM MOMENTUM,Department of State,BUREAU OF DIPLOMATIC SECURITY
