Program Name,Acronym,Agency Owner,Program Type,Priority Level,Confidence Level,PTS Involvement,Contract Number,tango_piid,parent_piid,Contract Value,Contract Value (Consolidated),total_contract_value,Base Contract Value (FPDS),Base + Options Value (FPDS),obligated,subawards_total,subawards_count,Prime Contractor,Prime Contractor 1,Prime Contractor (Consolidated),recipient_name,recipient_uei,Key Subcontractors,Known Subcontractors,Period of Performance,Period of Performance (Original),PoP Start,PoP End,period_start,period_end,PoP Start (Consolidated),PoP End (Consolidated),ultimate_completion,Ultimate Completion (Consolidated),Recompete Date,Contract Signed Date (FPDS),Contract Effective Date (FPDS),Current Completion Date (FPDS),Ultimate Completion Date (FPDS),Key Locations,Performance Location (TANGO),Performance Location (FPDS),pop_city,pop_state,pop_zip,pop_country,NAICS Code (Consolidated),naics_code,FPDS NAICS Code,NAICS Description,PSC Code (Consolidated),psc_code,FPDS PSC Code,PSC Description,set_aside,Technical Stack,Tech Stack (Basic),Keywords/Signals,Functional Areas,Typical Roles,Job Titles,Labor Rate Min,Labor Rate Max,Labor Rate Average,Education Requirement,Experience Requirement,Annual Salary Range,CALC API Status,Contract Vehicle Used,Contract Vehicle/Type,awarding_office,awarding_agency,funding_office,COR/COTR,Program Manager,Clearance Requirements,Security Requirements,Match Confidence,Match Score,Incumbent Score,Source Evidence,Notes,Pain Points,Related Jobs,tango_description,parent_description,Budget
DTRA Integrated IT Support Services,DTRA I3TS,DoD,,High,High,,70T04019C9DAP3006,70T04019C9DAP3006,,$205M,$205M,"$1,013,951,305.24 ",,,"$862,620,736.01 ","$556,879,966.00 ",222,,Leidos,Leidos,"LEIDOS, INC.",UE9QJD4KK1L6,,TekSynap; SB partners,,2025–2030,2025,2030,10/1/2019,3/31/2025,10/1/2019,3/31/2025,3/31/2025,3/31/2025,,,,,,Fort Belvoir VA; Kirtland AFB NM,"RESTON, VIRGINIA",,RESTON,VIRGINIA,20190,UNITED STATES,811219,811219,,,J063,J063,,,NONE,,,"“Leidos hiring… DTRA I3TS… Fort Belvoir, Kirtland”",,Network admin; systems engineer; cyber analyst,,,,,,,,Not Queried,,Task Order,SECURITY TECHNOLOGY,Transportation Security Administration,SECURITY TECHNOLOGY,,,"Secret, Top Secret",,Medium,1,,Provided,,,,THE PURPOSE OF THIS CONTRACT IS FOR LEIDOS TO PROVIDE THE TRANSPORTATION SECURITY ADMINISTRATION (TSA) WITH AN INTEGRATED LOGISTICS SUPPORT (ILS) PROGRAM TO SUSTAIN GOVERNMENT TRANSPORTATION SECURITY EQUIPMENT (TSE) OWNED AND OPERATED BY TSA.,,
DTRA Integrated IT Support Services,DTRA I3TS,DoD,,High,High,,70T04019C9DAP3006,70T04019C9DAP3006,,$205M,$205M,"$1,013,951,305.24 ",,,"$862,620,736.01 ","$556,879,966.00 ",222,,Leidos,Leidos,"LEIDOS, INC.",UE9QJD4KK1L6,,TekSynap; SB partners,,2025–2030,2025,2030,10/1/2019,3/31/2025,10/1/2019,3/31/2025,3/31/2025,3/31/2025,,,,,,Fort Belvoir VA; Kirtland AFB NM,"RESTON, VIRGINIA",,RESTON,VIRGINIA,20190,UNITED STATES,811219,811219,,,J063,J063,,,NONE,,,"“Leidos hiring… DTRA I3TS… Fort Belvoir, Kirtland”",,Network admin; systems engineer; cyber analyst,,,,,,,,Not Queried,,Task Order,SECURITY TECHNOLOGY,Transportation Security Administration,SECURITY TECHNOLOGY,,,"Secret, Top Secret",,Medium,1,,Provided,,,,THE PURPOSE OF THIS CONTRACT IS FOR LEIDOS TO PROVIDE THE TRANSPORTATION SECURITY ADMINISTRATION (TSA) WITH AN INTEGRATED LOGISTICS SUPPORT (ILS) PROGRAM TO SUSTAIN GOVERNMENT TRANSPORTATION SECURITY EQUIPMENT (TSE) OWNED AND OPERATED BY TSA.,,
DTRA Integrated IT Support Services,DTRA I3TS,DoD,,High,High,,70T04019C9DAP3006,70T04019C9DAP3006,,$205M,$205M,"$1,013,951,305.24 ",,,"$862,620,736.01 ","$556,879,966.00 ",222,,Leidos,Leidos,"LEIDOS, INC.",UE9QJD4KK1L6,,TekSynap; SB partners,,2025–2030,2025,2030,10/1/2019,3/31/2025,10/1/2019,3/31/2025,3/31/2025,3/31/2025,,,,,,Fort Belvoir VA; Kirtland AFB NM,"RESTON, VIRGINIA",,RESTON,VIRGINIA,20190,UNITED STATES,811219,811219,,,J063,J063,,,NONE,,,"“Leidos hiring… DTRA I3TS… Fort Belvoir, Kirtland”",,Network admin; systems engineer; cyber analyst,,,,,,,,Not Queried,,Task Order,SECURITY TECHNOLOGY,Transportation Security Administration,SECURITY TECHNOLOGY,,,"Secret, Top Secret",,Medium,1,,Provided,,,,THE PURPOSE OF THIS CONTRACT IS FOR LEIDOS TO PROVIDE THE TRANSPORTATION SECURITY ADMINISTRATION (TSA) WITH AN INTEGRATED LOGISTICS SUPPORT (ILS) PROGRAM TO SUSTAIN GOVERNMENT TRANSPORTATION SECURITY EQUIPMENT (TSE) OWNED AND OPERATED BY TSA.,,
DTRA Integrated IT Support Services,DTRA I3TS,DoD,,High,High,,70T04019C9DAP3006,70T04019C9DAP3006,,$205M,$205M,"$1,013,951,305.24 ",,,"$862,620,736.01 ","$556,879,966.00 ",222,,Leidos,Leidos,"LEIDOS, INC.",UE9QJD4KK1L6,,TekSynap; SB partners,,2025–2030,2025,2030,10/1/2019,3/31/2025,10/1/2019,3/31/2025,3/31/2025,3/31/2025,,,,,,Fort Belvoir VA; Kirtland AFB NM,"RESTON, VIRGINIA",,RESTON,VIRGINIA,20190,UNITED STATES,811219,811219,,,J063,J063,,,NONE,,,"“Leidos hiring… DTRA I3TS… Fort Belvoir, Kirtland”",,Network admin; systems engineer; cyber analyst,,,,,,,,Not Queried,,Task Order,SECURITY TECHNOLOGY,Transportation Security Administration,SECURITY TECHNOLOGY,,,"Secret, Top Secret",,Medium,1,,Provided,,,,THE PURPOSE OF THIS CONTRACT IS FOR LEIDOS TO PROVIDE THE TRANSPORTATION SECURITY ADMINISTRATION (TSA) WITH AN INTEGRATED LOGISTICS SUPPORT (ILS) PROGRAM TO SUSTAIN GOVERNMENT TRANSPORTATION SECURITY EQUIPMENT (TSE) OWNED AND OPERATED BY TSA.,,
DTRA IT Modernization / Support Services,I3TS (ITSS),DoD,Cyber,High,High,,HHSN261200800001E,HHSN261200800001E,,$205M,$205M,"$70,988,409,497.44 ",,,"$4,813,063,024.90 ",,,,Leidos,Leidos,LEIDOS BIOMEDICAL RESEARCH INC,HV8BH9BPG8Y9,,TekSynap,,~5 years,,,9/26/2008,9/6/2024,9/26/2008,9/6/2024,9/6/2024,9/6/2024,,,,,,Fort Belvoir; Kirtland AFB,"FREDERICK, MARYLAND",,FREDERICK,MARYLAND,21702,UNITED STATES,561210,561210,,,M181,M181,,,NONE,,,“Zero Trust… AI automation focus”,,Service desk; network mgmt; Zero Trust engineers,,,,,,,,Not Queried,,Single Award,,,,,,"Secret, Top Secret",,Low,0,,“DTRA I3TS – $205M…”,,,,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,,
DTRA IT Support Modernization,I3TS,DoD,,High,High,,70T04019C9DAP3006,70T04019C9DAP3006,,$205M,$205M,"$1,013,951,305.24 ",,,"$862,620,736.01 ","$556,879,966.00 ",222,,Leidos,Leidos,"LEIDOS, INC.",UE9QJD4KK1L6,,TekSynap,,needs-scrape,,,10/1/2019,3/31/2025,10/1/2019,3/31/2025,3/31/2025,3/31/2025,,,,,,Fort Belvoir; Kirtland AFB,"RESTON, VIRGINIA",,RESTON,VIRGINIA,20190,UNITED STATES,811219,811219,,,J063,J063,,,NONE,,,“PTS placed techs at DTRA HQ and AF Security reps at Kirtland”,,IT admins; service desk; network engineers,,,,,,,,Not Queried,,,SECURITY TECHNOLOGY,Transportation Security Administration,SECURITY TECHNOLOGY,,,"Secret, Top Secret",,Medium,1,,BD notes,,,,THE PURPOSE OF THIS CONTRACT IS FOR LEIDOS TO PROVIDE THE TRANSPORTATION SECURITY ADMINISTRATION (TSA) WITH AN INTEGRATED LOGISTICS SUPPORT (ILS) PROGRAM TO SUSTAIN GOVERNMENT TRANSPORTATION SECURITY EQUIPMENT (TSE) OWNED AND OPERATED BY TSA.,,
DTRA IT Support Services,I3TS,DoD,Cyber,High,High,,HHSN261200800001E,HHSN261200800001E,,$205M,$205M,"$70,988,409,497.44 ",,,"$4,813,063,024.90 ",,,,Leidos,Leidos,LEIDOS BIOMEDICAL RESEARCH INC,HV8BH9BPG8Y9,,TekSynap,,5 years,,,9/26/2008,9/6/2024,9/26/2008,9/6/2024,9/6/2024,9/6/2024,,,,,,Fort Belvoir; Kirtland AFB,"FREDERICK, MARYLAND",,FREDERICK,MARYLAND,21702,UNITED STATES,561210,561210,,,M181,M181,,,NONE,,,“Leidos took over from SB… attrition backfill”,,Help desk; network eng; Zero Trust,,,,,,,,Not Queried,,,,,,,,"Secret, Top Secret",,Low,0,,Row text,,,,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,,
"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,,Medium,Medium,,FA251822F0034,FA251822F0034,75N98119D00001,$655M,$655M,"$3,720,056.52 ",,,"$2,893,647.82 ",,,,SAIC,SAIC,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",EMX1P81U9GG5,,,,~2019–2026/27,2019,2026,6/27/2022,6/28/2026,6/27/2022,6/28/2026,6/28/2027,6/28/2027,,,,,,Los Angeles AFB; Colorado Springs; Huntsville,"COLORADO SPRINGS, COLORADO",,COLORADO SPRINGS,COLORADO,80912,UNITED STATES,541512,541512,,,R425,R425,,,8A,,,“Space ground integration”,,Systems/software engineers; cyber engineers; space-ground integration,,,,,,,,Not Queried,,IDIQ,FA2518  USSF SPOC/SAIO,Department of the Air Force,FA3GL0 22 SOPS,,,"Secret, Top Secret",,Medium,1,,Row text,,,,LOADING INTEGRATION ANALYSIS AND TACTICAL SOLUTIONS FOR SATELLITE ENTERPRISE NETWORKS - 2 (LITEN-2),IGF::OT::IGF  IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,
EDIS / HADES (follow-on),EDIS/HADES,Space Force,Intel,Medium,Medium,,FA877319FA023,FA877319FA023,GS00Q14OADS129,,"$47,518,825.61 ","$47,518,825.61 ",,,"$39,874,973.53 ",,,,SAIC / Army,SAIC / Army,MOSAIC TECHNOLOGIES GROUP LLC,K3XCTTC4VDR5,,,,Upcoming,,,4/28/2019,10/27/2025,4/28/2019,10/27/2025,7/27/2026,7/27/2026,,,,,,LAAFB; CONUS ISR nodes,"SAN ANTONIO, TEXAS",,SAN ANTONIO,TEXAS,78243,UNITED STATES,541330,541330,,,R425,R425,,,,,,“EDIS/HADES”,,SE&I; ISR analysts; systems engineering,,,,,,,,Not Queried,,RECOMPETE / PROGRAM,FA8773 ACC 38 CONS,Department of the Air Force,67 CW,,,"Secret, Top Secret",,Low,0,,Row text,,,,OT ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES IN SUPPORT OF THE 688 OSS,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",
EITaaS (Pilot – USAF),EITaaS,Air Force,,Medium,Medium,,FA882316C0004,FA882316C0004,,$50M,$50M,"$139,644,959.63 ",,,"$600,725,818.08 ","$11,638,145.36 ",68,,CACI (pilot),CACI (pilot),"CACI NSS, LLC",L2TTR2QRV8H9,,AT&T; Microsoft,,2018–2021 (paused),2018,2021,6/13/2016,12/9/2025,6/13/2016,12/9/2025,12/9/2025,12/9/2025,,,,,,Multiple bases,"COLORADO SPRINGS, COLORADO",,COLORADO SPRINGS,COLORADO,80919,UNITED STATES,517410,517410,,,R425,R425,,,NONE,,,“Outsourced base IT (pilot)”,,Base IT; service desk; help desk; end-user services,,,,,,,,Not Queried,,OTA,FA8823  SUSTAINMENT MCPNT SSC/PKL,Department of the Air Force,F3LGRN SMC DET 11 RNSE,,,"Public Trust, Secret",,Medium,2,,Program notes,,,,"IGF::OT::IGF CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE, MODIFICATIONS AND OPERATIONS CONTRACT",,
ENCORE III,ENCORE III,DISA,,Medium,Medium,,,,,$17.5B,$17.5B,,,,,,,,20 large + 20 small primes,20 large + 20 small primes,,,,Numerous,,2018–2028,2018,2028,,,2018,2028,,,,,,,,Global CONUS/OCONUS,,,,,,,,,,,,,,,,,,“DoD IT vehicle”,,IT modernization; cyber; enterprise IT,,,,,,,,Not Queried,,IDIQ,,,,,,Secret,,,,,ENCORE III description,,,,,,
Engineering Development & Integration Support,EDIS,Space Force,,High,High,,FA251822F0034,FA251822F0034,75N98119D00001,$655M,$655M,"$3,720,056.52 ",,,"$2,893,647.82 ",,,,SAIC (via Engility),SAIC (via Engility),"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",EMX1P81U9GG5,,SES (SW partner),,2019–2026/27,2019,2026,6/27/2022,6/28/2026,6/27/2022,6/28/2026,6/28/2027,6/28/2027,,,,,,Los Angeles AFB; Colorado Springs,"COLORADO SPRINGS, COLORADO",,COLORADO SPRINGS,COLORADO,80912,UNITED STATES,541512,541512,,,R425,R425,,,8A,,,“Satellite ground systems support… Ground System Enterprise… sustain legacy + integrate new sites”,,Systems engineers; SW testers; satellite ground engineers,,,,,,,,Not Queried,,IDIQ,FA2518  USSF SPOC/SAIO,Department of the Air Force,FA3GL0 22 SOPS,,,"Secret, Top Secret",,High,3,,Provided,,,,LOADING INTEGRATION ANALYSIS AND TACTICAL SOLUTIONS FOR SATELLITE ENTERPRISE NETWORKS - 2 (LITEN-2),IGF::OT::IGF  IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,
Enterprise Account Tracking & Automation Tool,ATAT,DISA,Professional Services,High,High,,,,,$21M,$21M,,,,,,,,Hunter Strategy LLC,Hunter Strategy LLC,,,,Five Star Tech Solutions,,Dec 2020 – Dec 2025,Dec-20,Dec-25,,,Dec-20,Dec-25,,,,,,,,Crystal City; Remote,,,,,,,,,,,,,,,,,,“ATAT… cloud account management system… DISA CCPO”,,Software developers; cloud admins; PMs; identity automation,,,,,,,,Not Queried,,FFP,,,,,,TS/SCI,,,,,Provided,,,,,,
Enterprise Ground Services,EGS,Space Force,C5ISR,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peterson SFB / Los Angeles AFB (indicative),,,,,,,,,,,,,,,,,,“Possible recompete; staffing for cleared ground ops”,,Ground SW; network ops; Space C2,,,,,,,,,,Services,,,,,,TS/SCI,,,,,Provided text,,,,,,
Enterprise Mission Assurance Program Support,EMAPS,Army,Cyber,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NCR,,,,,,,,,,,,,,,,,,“Mission assurance”,,RMF; cybersecurity; IA analysts,,,,,,,,,,Services,,,,,,Secret,,,,,Row text,,,,,,
EUCOM / AFRICOM IT & Communications Support,EUCOM/AFRICOM IT,Air Force,,Medium,Medium,,FA882316C0004,FA882316C0004,,$1.3B,$1.3B,"$139,644,959.63 ",,,"$600,725,818.08 ","$11,638,145.36 ",68,,CACI,CACI,"CACI NSS, LLC",L2TTR2QRV8H9,,Local national partners; small business subs,,2024–2029,2024,2029,6/13/2016,12/9/2025,6/13/2016,12/9/2025,12/9/2025,12/9/2025,,,,,,Stuttgart DE; Italy; Djibouti; other OCONUS,"COLORADO SPRINGS, COLORADO",,COLORADO SPRINGS,COLORADO,80919,UNITED STATES,517410,517410,,,R425,R425,,,NONE,,,“CACI… EUCOM/AFRICOM… OCONUS reqs”,,Network ops; field comms; sysadmin; SATCOM support,,,,,,,,Not Queried,,Task Order,FA8823  SUSTAINMENT MCPNT SSC/PKL,Department of the Air Force,F3LGRN SMC DET 11 RNSE,,,"Secret, TS/SCI",,Medium,2,,Provided row,,,,"IGF::OT::IGF CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE, MODIFICATIONS AND OPERATIONS CONTRACT",,
EUCOM/AFRICOM Enterprise IT & Comms Support,DCWAS (ref name),DoD,C5ISR,High,High,,47QFRA19F0011,47QFRA19F0011,GS00Q09BGD0020,$1.3B,$1.3B,"$1,026,717,176.60 ",,,"$708,253,079.87 ","$10,015,496.00 ",2,,CACI,CACI,"CACI, INC. - FEDERAL",N3PBJAVNKF61,,Local nationals + small-business onsite partners,,5 years,,,5/8/2019,4/30/2024,5/8/2019,4/30/2024,4/30/2024,4/30/2024,,,,,,Stuttgart DE + 60+ sites across Europe/Africa,"ARLINGTON, VIRGINIA",,ARLINGTON,VIRGINIA,22202,UNITED STATES,541512,541512,,,7010,7010,,,,,,“Forward-deployed IT services across 20+ overseas sites”,,Help desk; network ops; field comms; cloud support,,,,,,,,Not Queried,,Single Award,GSA FAS AAS REGION 8,Federal Acquisition Service,,,,"Secret, Top Secret",,Medium,1,,“CACI to deliver IT expertise… PTS placed UC SME Stuttgart”,,,,DYNAMIC AND EVOLVING FEDERAL ENTERPRISE NETWORK DEFENSE GROUP A DEFEND A  OPTION EXERCISE AND TRANSFER FROM PIID 47QFCA18F0050,"THE SCOPE OF THE ALLIANT GWAC INCLUDES ANY AND ALL COMPONENTS OF AN INTEGRATED INFORMATION TECHNOLOGY (IT) SOLUTION, INCLUDING ALL CURRENT AND ANY NEW TECHNOLOGIES WHICH MAY EMERGE DURING THE LIFE CYC",
EUCOM/AFRICOM IT & Comms,,DoD,,High,High,,GSQ0017AJ0006,GSQ0017AJ0006,GS00Q14OADU407,$1.3B,$1.3B,"$2,426,356,180.00 ",,,"$960,038,373.03 ","$214,206,282.90 ",92,,CACI,CACI,"CACI, INC. - FEDERAL",N3PBJAVNKF61,,Local partners in Germany & Italy,,5 years,,,10/28/2016,2/28/2022,10/28/2016,2/28/2022,2/28/2022,2/28/2022,,,,,,Stuttgart + 60 EUCOM/AFRICOM sites,"RESTON, VIRGINIA",,RESTON,VIRGINIA,20191,UNITED STATES,541712,541712,,,B538,B538,,,NONE,,,"“OCONUS IT support, 60 sites”",,Field service techs; network ops; help desk; secure comms,,,,,,,,Not Queried,,Task Order,GSA FAS AAS FEDSIM,Federal Acquisition Service,DEFENSE THREAT REDUCTION AGENCY,,,TS/SCI,,Low,0,,Provided text,,,,"AWARD MADE TO CACI, INC.-FEDERAL FOR JIDA FS/DE TASK ORDER, IN THE AMOUNT NOT TO EXCEED $1,773,158,264.00. IGF::CL::IGF","ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MMULTIPLE AGENCY CONTRACT,IGF::OT::IGF",
EUCOM/AFRICOM IT & Comms Support,,Air Force,C5ISR,High,High,,FA882316C0004,FA882316C0004,,$1.3B,$1.3B,"$139,644,959.63 ",,,"$600,725,818.08 ","$11,638,145.36 ",68,,CACI,CACI,"CACI NSS, LLC",L2TTR2QRV8H9,,Multiple subs (incl. local staffing),,2023–2028,2023,2028,6/13/2016,12/9/2025,6/13/2016,12/9/2025,12/9/2025,12/9/2025,,,,,,Europe & Africa – 60+ sites,"COLORADO SPRINGS, COLORADO",,COLORADO SPRINGS,COLORADO,80919,UNITED STATES,517410,517410,,,R425,R425,,,NONE,,,“IT services for EUCOM/AFRICOM… 60+ overseas sites”,,Field comms; network ops; help desk,,,,,,,,Not Queried,,Single Award,FA8823  SUSTAINMENT MCPNT SSC/PKL,Department of the Air Force,F3LGRN SMC DET 11 RNSE,,,"Secret, Top Secret",,Medium,2,,Provided row text,,,,"IGF::OT::IGF CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK MAINTENANCE, MODIFICATIONS AND OPERATIONS CONTRACT",,
F-35 Sustainment,F-35 Sustainment,DoD,IT Ops,Medium,Medium,,N0001917C0001,N0001917C0001,,Multi-$B,Multi-$B,"$45,265,737,305.46 ",,,"$35,135,514,910.20 ","$19,006,059,279.59 ",12781,,Lockheed Martin,Lockheed Martin,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,,RTX; BAE; Northrop,,Ongoing,,Ongoing,11/17/2017,3/31/2031,11/17/2017,3/31/2031,3/31/2031,3/31/2031,,,,,,Global F-35 bases,"FORT WORTH, TEXAS",,FORT WORTH,TEXAS,76108,UNITED STATES,336411,336411,,,1510,1510,,,NONE,,,“F-35 sustainment”,,Sustainment IT; engineering; logistics IT; ALIS/ODIN support,,,,,,,,Not Queried,,SUSTAINMENT,NAVAL AIR SYSTEMS COMMAND,Department of the Navy,NAVAL AIR SYSTEMS COMMAND,,,Secret,,Low,0,,Provided,,,,LRIP LOT 12 ADVANCE ACQUISITION CONTRACT,,
FIAR (USMC Financial Audit Readiness),FIAR-USMF,Marines,Professional Services,Medium,Medium,,,,,,,,,,,,,,,,,,,,,Multi-year,,,,,,,,,,,,,,NCR,,,,,,,,,,,,,,,,,,“FIAR”,,Audit / IT controls; financial system assessors,,,,,,,,,,Services,,,,,,Public Trust,,,,,Provided,,,,,,
Fleet Readiness Program (Navy),FRP,Navy,Logistics,Medium,Medium,,,,,,,,,,,,,,Multiple primes,Multiple primes,,,,Multiple,,2025 est. RFP,2025,,,,2025,,,,,,,,,Navy depots,,,,,,,,,,,,,,,,,,“Fleet readiness”,,Logistics analysts; IT support; engineering,,,,,,,,,,MULTI-AWARD,,,,,,"Public Trust, Secret",,,,,Provided,,,,,,
FORGE (OPIR Ground – Missile Warning C2),FORGE,Space Force,IT Ops,High,High,,,,,$197M,$197M,,,,,,,,Raytheon (MDPAF); BAE (C2),Raytheon (MDPAF); BAE (C2),,,,SciTec; LinQuest (indicative),,2020–2025+,2020,2025,,,2020,2025,,,,,,,,Buckley SFB; Aurora CO,,,,,,,,,,,,,,,,,,“Missile warning ground; OPIR ingest; SBIRS follow-on”,,Data processing; OPIR ops; cyber; ground segment engineers,,,,,,,,,,MULTI-PRIME,,,,,,"Secret, TS/SCI",,,,,Provided,,,,,,
FORGE Ground System,FORGE,Space Force,IT Ops,Low,Low,,,,,,,,,,,,,,,,,,,Subcontractors for space ground modernization,,Multi-year,,,,,,,,,,,,,,Aurora CO + distributed ground sites,,,,,,,,,,,,,,,,,,“Raytheon on M2C2; FORGE ground ops”,,SW engineers; ground systems integrators; cloud engineers,,,,,,,,,,SPACE GROUND MODERNIZATION,,,,,,"Secret, TS/SCI",,,,,Provided,,,,,,
FORGE OPIR Ground,FORGE,Space Force,IT Ops,High,High,,,,,$197M,$197M,,,,,,,,Raytheon (MDPAF); BAE (C2),Raytheon (MDPAF); BAE (C2),,,,SciTec; Boecore; others,,~2020–2025+,2020,2025,,,2020,2025,,,,,,,,Buckley SFB; Aurora CO,,,,,,,,,,,,,,,,,,“FORGE… system operational… ingest SBIRS/OPIR”,,Data fusion; OPIR ops; cyber engineering,,,,,,,,,,MULTI-PRIME,,,,,,"Secret, TS/SCI",,,,,Provided,,,,,,
Fort Eisenhower (Gordon) IT Support,,Army,IT Ops,Medium,Medium,,W15QKN19F1290,W15QKN19F1290,W52P1J18DA047,,"$45,135,228.31 ","$45,135,228.31 ",,,"$39,320,458.07 ",,,,SAIC,SAIC,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",EMX1P81U9GG5,,TEKsystems,,Multi-year,,,8/28/2019,8/29/2025,8/28/2019,8/29/2025,8/29/2025,8/29/2025,,,,,,Augusta GA,"COLORADO SPRINGS, COLORADO",,COLORADO SPRINGS,COLORADO,80920,UNITED STATES,541519,541519,,,R425,R425,,,,,,“AESD Fort Eisenhower Augusta TEKsystems”,,Service desk; night-shift coverage; sysadmin; ServiceNow,,,,,,,,Not Queried,,,W6QK ACC-PICA,Department of the Army,W00F OFC DEP UNDER SEC ARMY,,,Secret,,Medium,1,,Provided,,,,OPS ~ CLIN 1 LABOR,INFORMATION TECHNOLOGY ENTERPRISE SOLUTIONS- 3 SERVICES (ITES-3S) MULTIPLE AWARD INDEFINITE DELIVERY INDEFINITE QUANTITY (MAIDIQ) BASE CONTRACT AWARD. THIS AWARD REPRESENTS 1 OF THE 135 ITES-3S CONTRA,
Future Operationally Resilient Ground Evolution,FORGE,Space Force,C5ISR,High,High,,N0001918C1021,N0001918C1021,,$600M,$600M,"$7,936,627,479.45 ",,,"$8,688,654,906.89 ","$239,545,634.04 ",53,,Raytheon (Mission Data Apps); BAE (C2),Raytheon (Mission Data Apps); BAE (C2),RTX CORPORATION,QN1BCFY7JDJ5,,Infinity Systems; LinQuest; SciTec,,2020–2025 (dev),2020,2025,3/23/2018,12/30/2024,3/23/2018,12/30/2024,12/30/2024,12/30/2024,,,,,,Buckley SFB; Peterson SFB; Aurora CO,"EAST HARTFORD, CONNECTICUT",,EAST HARTFORD,CONNECTICUT,6118,UNITED STATES,336412,336412,,,2840,2840,,,NONE,,,“FORGE… Raytheon $197M; BAE $151M; modernized OPIR ground architecture”,,Agile SW; data scientists; systems integrators,,,,,,,,Not Queried,,MULTIPLE CONTRACTS,NAVAL AIR SYSTEMS COMMAND,Department of the Navy,NAVAL AIR SYSTEMS COMMAND,,,"Secret, TS/SCI",,Low,0,,Provided,,,,LOT 12 AAC LONG LEAD FOR PROPULSION SYSTEMS,,
GBS (Global Broadcast Service),GBS,DISA,C5ISR,Low,Low,,N0003022C2001,N0003022C2001,,,"$44,475,288.00 ","$44,475,288.00 ",,,"$421,512,821.00 ","$39,158,009,924,318.00 ",172,,L3Harris (historical),L3Harris (historical),L3HARRIS INTERSTATE ELECTRONICS CORPORATION,JYAPS9B2MKE9,,unknown (needs-scrape),,Multi-year,,,10/1/2021,9/8/2029,10/1/2021,9/8/2029,9/8/2029,9/8/2029,,,,,,Tampa FL (MacDill AFB); Hawaii; CONUS,"ANAHEIM, CALIFORNIA",,ANAHEIM,CALIFORNIA,92805,UNITED STATES,541330,541330,,,H914,H914,,,NONE,,,"“SATCOM, DISA, GBS, MacDill”",,SATCOM engineers; RF tech; network admin,,,,,,,,Not Queried,,SATCOM / BROADCAST PROGRAM,STRATEGIC SYSTEMS PROGRAMS,Department of the Navy,STRATEGIC SYSTEMS PROGRAMS,,,TS/SCI,,Medium,1,,“Clearance overview & site priorities”,,,,FLIGHT TEST INSTRUMENTATION SUPPORT AND SERVICES,,
GBSD Sentinel Missile Modernization,GBSD,Air Force,Weapon Systems,High,High,,FA821920C0006,FA821920C0006,,,"$13,360,972,363.51 ","$13,360,972,363.51 ",,,"$10,801,259,923.19 ","$27,743,434,931.93 ",4019,,Northrop Grumman,Northrop Grumman,NORTHROP GRUMMAN SYSTEMS CORP,D8QQPFNYJD63,,Leidos; CACI; other large integrators,,Multi-year,,,9/8/2020,3/10/2029,9/8/2020,3/10/2029,3/10/2029,3/10/2029,,,,,,Ogden UT; Hill AFB; Vandenberg SFB,"ROY, UTAH",,ROY,UTAH,84067,UNITED STATES,336414,336414,,,AC24,AC24,,,NONE,,,“Nuclear missile modernization”; “Sentinel”; “C3 modularity”,,Cleared engineers; mission ops; comms; C2 engineering,,,,,,,,Not Queried,,MULTI-DECADE MODERNIZATION PROGRAM,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV,,,TS/SCI,,High,6,,GBSD/Sentinel program reference,,,,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),,
