Program Name,Acronym,Agency Owner,Budget,COR/COTR,Clearance (Original),Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Contract Vehicle Used,Contract Vehicle/Type,Incumbent Score,Key Locations,Key Subcontractors,Keywords/Signals,Known Subcontractors,Notes,PTS Involvement,Pain Points,Period of Performance,Period of Performance (Original),PoP End,PoP Start,Prime Contractor,Prime Contractor 1,Priority Level,Program Manager,Program Type,Program Type 1,Recompete Date,Related Jobs,Security Requirements,Source Evidence,Technical Stack,Typical Roles
DISA GSM-O II (Surge Staffing Focus),GSM-O II,DISA,,,TS/SCI,TS/SCI,High,$6.5B,,,IDIQ,,Scott AFB; Fort Meade,,“PTS placement at Scott AFB”; “Leidos uses subs for surge”,Insight Global; Apex Systems,,,,,needs-scrape,,,,Leidos,High,,Cyber,Cyber,,,,BD mapping notes,,NOC technicians; ServiceNow developers; cyber analysts
DISA JWCC – Joint Warfighting Cloud Capability,JWCC,DISA,,,TS/SCI,TS/SCI,Medium,$9B,,,IDIQ,,Global DoD; Crystal City VA,,“JWCC multi-cloud accounts… CCPO initiatives”,,,,,,2023–2028,2028,2023,,Amazon; Microsoft; Google; Oracle,Medium,,Cyber,Cyber,,,,JWCC passage in BD text,,Cloud architects; cloud security engineers; multi-cloud administrators
DISA Supply Chain Mgmt (GDIT),DSCM-GDIT,DISA,,,Secret,Secret,Medium,,,,PROGRAM,,Fort Meade MD,,“DSCM”,,,,,,Ongoing,Ongoing,,,GDIT,Medium,,,IT Ops,,,,Row text,,IT/cyber analysts; logistics IT support
Distributed Common Ground System (AF),DCGS,Air Force,,,SW support; sensor fusion; SRM; intel IT,Secret,Medium,,,,ONGOING,,TS/SCI,,Intel / C5ISR,,,,,,Beale AFB; Hampton,,,,BAE; multiple,Medium,,Professional Services,Professional Services,,,,Medium,,“AF DCGS”
DLA J6 Enterprise Tech Services,JETS,DoD,,,Secret,Secret,High,$6B,,,IDIQ,,DLA CONUS sites,,“Perspecta used Apex Systems in 17 states”,Many small/large IT subs,,,,,2017–2026,2026,2017,,Multiple Awardees,High,,,IT Ops,,,,DLA JETS reference text,,Help desk; app support; network ops
DLA J6 Enterprise Technology Services,DLA JETS,DoD,,,Secret / Public Trust,"Public Trust, Secret",High,$6B,,,IDIQ,,Fort Belvoir; Columbus OH; Philadelphia PA,,"“J6”, “IDIQ”, “Enterprise Tech Services”",Agile Defense; Capstone; others (needs-scrape),,,,,2016–2026,2026,2016,,CACI; Deloitte; SAIC; GDIT,High,,,IT Ops,,,,DoD Program List.xlsx (L2–L10),,Sysadmin; help desk; cyber; engineering
DLA J6 Enterprise Technology Services 2.0,DLA JETS 2.0,DoD,,,Secret (some TS/SCI),"Secret, TS/SCI",High,$6B,,,IDIQ,,Fort Belvoir; Columbus OH; Scott AFB IL,,“JETS 2.0”; “Leidos”; “Scott AFB”,Insight Global; Bowhead; SAIC,,,,,2023–2033 est.,2033,2023,,Leidos; GDIT; Booz Allen; CACI; Peraton,High,,Cyber,Cyber,,,,BD target ranking notes,,Network engineer; cyber; cloud architect; sysadmin
DLA JETS (DLA J6 Variant),JETS,DoD,,,Secret,Secret,Medium,,,,IDIQ,,Richmond VA; Columbus OH; other CONUS sites,,“Large MA-IDIQ with constant TO churn”,,,,,,Multi-year,,,,Multiple primes,Medium,,,IT Ops,,,,Row text,,Network engineers; sysadmins; software dev; cyber
DLA JETS (Variant Row),DLA JETS,DoD,,,Secret,Secret,Medium,$6B,,,IDIQ,,Richmond VA,,"“Logistics, Enterprise Tech”",,,,,,2016–2024,2024,2016,,Multiple,Medium,,Logistics,Logistics,,,,Scoring Engine model citation,,Procurement analysts; IT engineers
DLA JETS 2.0 (Follow-On),JETS 2.0,DoD,,,Secret,Secret,High,$11.9B,,,IDIQ,,NCR; remote,,“$11.9B – GDIT & CACI”,,,,,,2024–2034 est.,2034,2024,,CACI; GDIT,High,,,IT Ops,,,,Row text,,IT; cyber; logistics analysts
DoD Cloud Computing Program Office Support (CCPO / ATAT),CCPO,DISA,,,TS / Public Trust,Public Trust,High,$21M,,,FFP,,Crystal City VA; Remote; Fort Meade,,"“DISA CCPO, ATAT, DoD365, Flank Speed, MS Azure…”",Five Star Technology Solutions,,,,,Dec 2020 – Dec 2025,Dec 2025,Dec 2020,,Hunter Strategy LLC,High,,Cyber,Cyber,,,,Provided text,,Cloud engineers; cyber analysts; Azure admins; program managers
DoD Health Modernization,DHMSM (MHS GENESIS),DoD,,,Public Trust–Secret,"Public Trust, Secret",Medium,Multi-$B,,,ACQUISITION / DEPLOY,,MTFs nationwide,,“Joint EHR”,Many,,,,,2015–,,2015,,Leidos; Cerner; Accenture,Medium,,Health IT,Health IT,,,,Row text,,Health IT; clinical IT integration; systems analysts
DoD High Performance Computing Modernization Program – HITS / HITS-U Support,HITS / HITS-U,DoD,,,Secret / Public Trust (varies by center & system),"Public Trust, Secret",High,$586M,,,,,DSRC sites: ERDC (Vicksburg MS); ARL (Aberdeen MD); AFRL (Wright-Patterson AFB OH),,“HITS-U… DoD High Performance Computing… DSRC… HPCMP… SAIC… ERDC/ARL/AFRL”,Analytical Services Inc. (past); other HPC small-business partners (needs-scrape),,,,,2014–2021+ (program evolved into follow-on HPCMP vehicles),2021,2014,,SAIC,High,,,IT Ops,,,,Derived from SAIC HPCMP/HITS program details in your files,,HPC system administrators; network engineers; computational scientists; storage engineers; Linux cluster admins; petascale systems operators
DoD HPC Modernization Program Support (HITS-U),HPCMP (HITS-U),Army,,,Secret,Secret,High,$586M,,,Single Award,,Vicksburg MS; Aberdeen MD; Wright-Patterson AFB; other DSRCs,,“SAIC… managing five DoD Supercomputing Centers… staffing-intensive”,Analytical Services Inc. (ASI); others,,,,,2014–2021 (evolved to new contract),2021,2014,,SAIC,High,,R&D,R&D,,,,Provided text,,HPC sysadmins; computational scientists; network engineers
DoD IAC Multiple Award Contract,IAC-MAC,DoD,,,Varied,Secret,Medium,$28B,,,IDIQ,,DoD labs CONUS,,“IAC”,Universities; labs; niche contractors,,,,,2018–2027,2027,2018,,Multiple primes,Medium,,R&D,R&D,,,,Provided row,,R&D SMEs; scientists; analysts
DoD Information Analysis Center MAC,IAC-MAC,DoD,,,Secret (per task),Secret,Medium,$28B,,,IDIQ,,CONUS R&D labs,,“22 technical focus areas… prototype projects”,Universities; labs; niche firms,,,,,2018–2027,2027,2018,,Multiple,Medium,,R&D,R&D,,,,Provided,,Scientists; R&D engineers; prototype developers
DoD Joint Service Provider – Pentagon IT & ICAM,JSP,DoD,,,Secret (some TS),"Secret, Top Secret",Medium,$190M,,,Services,,Pentagon; NCR,,“DoD JSP… enterprise IT services”,SB partners,,,,,~2021–2024+,2024,2021,,CACI (incumbent),Medium,,,IT Ops,,,,Provided data,,Helpdesk; deskside; VTC; ICAM
DoD JSP – Pentagon IT & ICAM (AFNCR/ICAM),AFNCR / ICAM,Air Force,,,Secret / TS,"Secret, Top Secret",Medium,$450M,,,Services,,Pentagon; JB Andrews,,“Leidos… AFNCR communications… Pentagon”,,,,,,Multi-year,,,,Leidos,Medium,,,IT Ops,,,,Provided text,,Desktop support; NetOps; ICAM engineers
DOORS,,Other,,,,,Low,,,,,,,,,,,,,,,,,,,Low,,Professional Services,Professional Services,,,,,,
DOTIE (indicative),DOTIE,DoD,,,Public Trust,Public Trust,Medium,,,,PROGRAM,,DOT,,“DOT IT”,,,,,,Ongoing,Ongoing,,,,Medium,,,IT Ops,,,,Row text,,IT operations
DSS Support,DSS Support,DoD,,,Secret,Secret,Medium,,,,Services,,NCR,,“DSS/DCSA”,,,,,,Ongoing,Ongoing,,,Northrop (mention); others,Medium,,,IT Ops,,,,Row text,,Security IT; insider threat IT support
DTIC / IAC MAC,IAC-MAC,DoD,,,Varied,Secret,Medium,$28B,,,IDIQ,,DoD labs,,“IAC”,Multiple,,,,,2018–2027,2027,2018,,Multiple,Medium,,R&D,R&D,,,,IAC MAC references,,R&D SMEs; scientific analysts
DTRA IAC-MAC Research & Analysis,IAC-MAC,DoD,,,Secret → TS,"Secret, Top Secret",Medium,$28B,,,IAC MULTIPLE-AWARD,,Fort Belvoir; Kirtland AFB,,“10+ openings… research analysts”,Universities; labs; niche R&D firms,,,,,2018–2027,2027,2018,,CACI,Medium,,Intel,Intel,,,,Row text,,Nuclear/Bio defense analysts; data scientists
DTRA Integrated IT Support Services,I3TS,DoD,,,Secret–TS,"Secret, Top Secret",High,$205M,,,Services,,Fort Belvoir; Kirtland AFB,,“DTRA IT modernization”,TekSynap,,,,,2025–2030,2030,2025,,Leidos,High,,,IT Ops,,,,Row text,,IT; cyber; ZTA specialists
DTRA Integrated IT Support Services,DTRA I3TS,DoD,,,Secret → TS,"Secret, Top Secret",High,$205M,,,Task Order,,Fort Belvoir VA; Kirtland AFB NM,,"“Leidos hiring… DTRA I3TS… Fort Belvoir, Kirtland”",TekSynap; SB partners,,,,,2025–2030,2030,2025,,Leidos,High,,,IT Ops,,,,Provided,,Network admin; systems engineer; cyber analyst
DTRA IT Modernization / Support Services,I3TS (ITSS),DoD,,,Secret/TS,"Secret, Top Secret",High,$205M,,,Single Award,,Fort Belvoir; Kirtland AFB,,“Zero Trust… AI automation focus”,TekSynap,,,,,~5 years,,,,Leidos,High,,Cyber,Cyber,,,,“DTRA I3TS – $205M…”,,Service desk; network mgmt; Zero Trust engineers
DTRA IT Support Modernization,I3TS,DoD,,,Secret/TS,"Secret, Top Secret",High,$205M,,,,,Fort Belvoir; Kirtland AFB,,“PTS placed techs at DTRA HQ and AF Security reps at Kirtland”,TekSynap,,,,,needs-scrape,,,,Leidos,High,,,IT Ops,,,,BD notes,,IT admins; service desk; network engineers
DTRA IT Support Services,I3TS,DoD,,,Secret–TS,"Secret, Top Secret",High,$205M,,,,,Fort Belvoir; Kirtland AFB,,“Leidos took over from SB… attrition backfill”,TekSynap,,,,,5 years,,,,Leidos,High,,Cyber,Cyber,,,,Row text,,Help desk; network eng; Zero Trust
"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,,,Secret/TS,"Secret, Top Secret",Medium,$655M,,,IDIQ,,Los Angeles AFB; Colorado Springs; Huntsville,,“Space ground integration”,,,,,,~2019–2026/27,2026,2019,,SAIC,Medium,,,IT Ops,,,,Row text,,Systems/software engineers; cyber engineers; space-ground integration
EDIS / HADES (follow-on),EDIS/HADES,Space Force,,,Secret–TS,"Secret, Top Secret",Medium,,,,RECOMPETE / PROGRAM,,LAAFB; CONUS ISR nodes,,“EDIS/HADES”,,,,,,Upcoming,,,,SAIC / Army,Medium,,Intel,Intel,,,,Row text,,SE&I; ISR analysts; systems engineering
EITaaS (Pilot – USAF),EITaaS,Air Force,,,Public Trust–Secret,"Public Trust, Secret",Medium,$50M,,,OTA,,Multiple bases,,“Outsourced base IT (pilot)”,AT&T; Microsoft,,,,,2018–2021 (paused),2021,2018,,CACI (pilot),Medium,,,IT Ops,,,,Program notes,,Base IT; service desk; help desk; end-user services
ENCORE III,ENCORE III,DISA,,,Varied,Secret,Medium,$17.5B,,,IDIQ,,Global CONUS/OCONUS,,“DoD IT vehicle”,Numerous,,,,,2018–2028,2028,2018,,20 large + 20 small primes,Medium,,,IT Ops,,,,ENCORE III description,,IT modernization; cyber; enterprise IT
Engineering Development & Integration Support,EDIS,Space Force,,,Secret/TS,"Secret, Top Secret",High,$655M,,,IDIQ,,Los Angeles AFB; Colorado Springs,,“Satellite ground systems support… Ground System Enterprise… sustain legacy + integrate new sites”,SES (SW partner),,,,,2019–2026/27,2026,2019,,SAIC (via Engility),High,,,IT Ops,,,,Provided,,Systems engineers; SW testers; satellite ground engineers
Enterprise Account Tracking & Automation Tool,ATAT,DISA,,,TS/SCI,TS/SCI,High,$21M,,,FFP,,Crystal City; Remote,,“ATAT… cloud account management system… DISA CCPO”,Five Star Tech Solutions,,,,,Dec 2020 – Dec 2025,Dec 2025,Dec 2020,,Hunter Strategy LLC,High,,Professional Services,Professional Services,,,,Provided,,Software developers; cloud admins; PMs; identity automation
Enterprise Ground Services,EGS,Space Force,,,TS/SCI likely,TS/SCI,Low,,,,Services,,Peterson SFB / Los Angeles AFB (indicative),,“Possible recompete; staffing for cleared ground ops”,,,,,,,,,,,Low,,C5ISR,C5ISR,,,,Provided text,,Ground SW; network ops; Space C2
Enterprise Mission Assurance Program Support,EMAPS,Army,,,Secret,Secret,Medium,,,,Services,,NCR,,“Mission assurance”,,,,,,,,,,,Medium,,Cyber,Cyber,,,,Row text,,RMF; cybersecurity; IA analysts
EUCOM / AFRICOM IT & Communications Support,EUCOM/AFRICOM IT,Air Force,,,Secret → TS/SCI,"Secret, TS/SCI",Medium,$1.3B,,,Task Order,,Stuttgart DE; Italy; Djibouti; other OCONUS,,“CACI… EUCOM/AFRICOM… OCONUS reqs”,Local national partners; small business subs,,,,,2024–2029,2029,2024,,CACI,Medium,,,IT Ops,,,,Provided row,,Network ops; field comms; sysadmin; SATCOM support
EUCOM/AFRICOM Enterprise IT & Comms Support,DCWAS (ref name),DoD,,,Secret / TS,"Secret, Top Secret",High,$1.3B,,,Single Award,,Stuttgart DE + 60+ sites across Europe/Africa,,“Forward-deployed IT services across 20+ overseas sites”,Local nationals + small-business onsite partners,,,,,5 years,,,,CACI,High,,C5ISR,C5ISR,,,,“CACI to deliver IT expertise… PTS placed UC SME Stuttgart”,,Help desk; network ops; field comms; cloud support
EUCOM/AFRICOM IT & Comms,,DoD,,,TS/SCI,TS/SCI,High,$1.3B,,,Task Order,,Stuttgart + 60 EUCOM/AFRICOM sites,,"“OCONUS IT support, 60 sites”",Local partners in Germany & Italy,,,,,5 years,,,,CACI,High,,,IT Ops,,,,Provided text,,Field service techs; network ops; help desk; secure comms
EUCOM/AFRICOM IT & Comms Support,,Air Force,,,Secret/TS,"Secret, Top Secret",High,$1.3B,,,Single Award,,Europe & Africa – 60+ sites,,“IT services for EUCOM/AFRICOM… 60+ overseas sites”,Multiple subs (incl. local staffing),,,,,2023–2028,2028,2023,,CACI,High,,C5ISR,C5ISR,,,,Provided row text,,Field comms; network ops; help desk
F-35 Sustainment,F-35 Sustainment,DoD,,,Secret,Secret,Medium,Multi-$B,,,SUSTAINMENT,,Global F-35 bases,,“F-35 sustainment”,RTX; BAE; Northrop,,,,,Ongoing,Ongoing,,,Lockheed Martin,Medium,,IT Ops,IT Ops,,,,Provided,,Sustainment IT; engineering; logistics IT; ALIS/ODIN support
FIAR (USMC Financial Audit Readiness),FIAR-USMF,Marines,,,Public Trust,Public Trust,Medium,,,,Services,,NCR,,“FIAR”,,,,,,Multi-year,,,,,Medium,,Professional Services,Professional Services,,,,Provided,,Audit / IT controls; financial system assessors
Fleet Readiness Program (Navy),FRP,Navy,,,Public Trust → Secret,"Public Trust, Secret",Medium,,,,MULTI-AWARD,,Navy depots,,“Fleet readiness”,Multiple,,,,,2025 est. RFP,,2025,,Multiple primes,Medium,,Logistics,Logistics,,,,Provided,,Logistics analysts; IT support; engineering
FORGE (OPIR Ground – Missile Warning C2),FORGE,Space Force,,,Secret / TS/SCI,"Secret, TS/SCI",High,$197M,,,MULTI-PRIME,,Buckley SFB; Aurora CO,,“Missile warning ground; OPIR ingest; SBIRS follow-on”,SciTec; LinQuest (indicative),,,,,2020–2025+,2025,2020,,Raytheon (MDPAF); BAE (C2),High,,IT Ops,IT Ops,,,,Provided,,Data processing; OPIR ops; cyber; ground segment engineers
FORGE Ground System,FORGE,Space Force,,,Secret / TS/SCI,"Secret, TS/SCI",Low,,,,SPACE GROUND MODERNIZATION,,Aurora CO + distributed ground sites,,“Raytheon on M2C2; FORGE ground ops”,Subcontractors for space ground modernization,,,,,Multi-year,,,,,Low,,IT Ops,IT Ops,,,,Provided,,SW engineers; ground systems integrators; cloud engineers
FORGE OPIR Ground,FORGE,Space Force,,,Secret / SCI,"Secret, TS/SCI",High,$197M,,,MULTI-PRIME,,Buckley SFB; Aurora CO,,“FORGE… system operational… ingest SBIRS/OPIR”,SciTec; Boecore; others,,,,,~2020–2025+,2025,2020,,Raytheon (MDPAF); BAE (C2),High,,IT Ops,IT Ops,,,,Provided,,Data fusion; OPIR ops; cyber engineering
Fort Eisenhower (Gordon) IT Support,,Army,,,Secret,Secret,Medium,,,,,,Augusta GA,,“AESD Fort Eisenhower Augusta TEKsystems”,TEKsystems,,,,,Multi-year,,,,SAIC,Medium,,IT Ops,IT Ops,,,,Provided,,Service desk; night-shift coverage; sysadmin; ServiceNow
Future Operationally Resilient Ground Evolution,FORGE,Space Force,,,Secret/SCI,"Secret, TS/SCI",High,$600M,,,MULTIPLE CONTRACTS,,Buckley SFB; Peterson SFB; Aurora CO,,“FORGE… Raytheon $197M; BAE $151M; modernized OPIR ground architecture”,Infinity Systems; LinQuest; SciTec,,,,,2020–2025 (dev),2025,2020,,Raytheon (Mission Data Apps); BAE (C2),High,,C5ISR,C5ISR,,,,Provided,,Agile SW; data scientists; systems integrators
GBS (Global Broadcast Service),GBS,DISA,,,TS/SCI,TS/SCI,Low,,,,SATCOM / BROADCAST PROGRAM,,Tampa FL (MacDill AFB); Hawaii; CONUS,,"“SATCOM, DISA, GBS, MacDill”",unknown (needs-scrape),,,,,Multi-year,,,,L3Harris (historical),Low,,C5ISR,C5ISR,,,,“Clearance overview & site priorities”,,SATCOM engineers; RF tech; network admin
GBSD Sentinel Missile Modernization,GBSD,Air Force,,,TS/SCI,TS/SCI,High,,,,MULTI-DECADE MODERNIZATION PROGRAM,,Ogden UT; Hill AFB; Vandenberg SFB,,“Nuclear missile modernization”; “Sentinel”; “C3 modularity”,Leidos; CACI; other large integrators,,,,,Multi-year,,,,Northrop Grumman,High,,Weapon Systems,Weapon Systems,,,,GBSD/Sentinel program reference,,Cleared engineers; mission ops; comms; C2 engineering
GENMOD / VMOD (Army Network/Voice Modernization),GENMOD/VMOD,Army,,,Secret,Secret,High,$526M,,,Task Order,,CONUS & Pacific posts,,“CACI secures $526M Network Modernization”,Cisco/HPE; Corning; CommScope; Black Box,,,,,2024–2029,2029,2024,,CACI,High,,IT Ops,IT Ops,,,,Provided,,Network engineers; cabling; voice techs; modernization
GENMOD / VMOD (Network Modernization),GENMOD,Army,,,Secret,Secret,High,$526M,,,Task Order,,Pacific + CONUS,,“Base network modernization”,Cisco/HPE; CommScope; Black Box,,,,,2024–2029,2029,2024,,CACI,High,,IT Ops,IT Ops,,,,Provided,,Network installers; voice; cyber
GENMOD / VMOD 2 – Field Service Technicians,VMOD 2,Army,,,Secret,Secret,Medium,,,,Task Order,,CONUS posts,,“CACI – VMOD 2 – Field Service Tech”,,,,,,2024+,,2024,,CACI,Medium,,IT Ops,IT Ops,,,,Provided,,Field service techs; voice/network modernization
Global Broadcast Service,GBS,DISA,,,TS/SCI,TS/SCI,Low,,,,SATCOM PROGRAM,,Tampa FL; Hawaii; CONUS,,“SATCOM; GBS; MacDill”,unknown (needs-scrape),,,,,Multi-year,,,,L3Harris,Low,,C5ISR,C5ISR,,,,Site priorities doc,,SATCOM engineer; RF tech; network admin
Global Command and Control System – Joint,GCCS-J,DISA,,,TS/SCI,TS/SCI,Medium,,,,C2 SYSTEM,,Fort Meade MD; Scott AFB IL,,“DISA; legacy C2 modernization”,GDIT; SAIC; Raytheon (likely subs),,,,,Multi-year,,,,Northrop Grumman,Medium,,C5ISR,C5ISR,,,,BD tracker reference,,C2 engineers; SW dev; network ops
Global Command and Control System – Joint (Variant),GCCS-J,DISA,,,Secret,Secret,Medium,$400M,,,IDIQ,,Suffolk VA,,“C2; Command & Control”,GDIT; SAIC,,,,,2019–2027,2027,2019,,Leidos,Medium,,C5ISR,C5ISR,,,,Apex Systems DISA support,,SW dev; systems engineering
Global Network Operations (DISA GSM-O II),GSM-O II,DISA,,,Secret–TS/SCI,"Secret, TS/SCI",High,$6.5B,,,IDIQ,,Scott AFB IL; Ft Meade MD; OCONUS nodes,,“24×7 NOC; JRSS; OCONUS ops”,Insight Global; Apex Systems,,,,,10 years,,,,Leidos,High,,Cyber,Cyber,,,,“Provided NOC techs… subs for surge”,,NOC ops; network engineers; cyber analysts; ServiceNow
Global Network Operations II (PTS Subcontract),GSM-O II,DISA,,,TS,Top Secret,High,$6.5B,,,IDIQ,,Scott AFB; Ft Meade; Hill AFB; Honolulu HI,,“PTS placed NOC Manager at Scott AFB”,PTS,,,,,Multi-year,,,,Leidos,High,,IT Ops,IT Ops,,,,Row text,,NOC techs; cyber analysts; ServiceNow devs
Global Service Management – Operations II,GSM-O II,DISA,,,TS/SCI,TS/SCI,High,$6.52B,,,IDIQ,,Scott AFB; Ft Meade; OCONUS,,“24×7 DoDIN cyber ops”,Insight Global; Apex Systems,,,,,2019–2028,2028,2019,,Leidos,High,,Cyber,Cyber,,,,Provided quote,,NOC tech; cyber ops; network engr; ServiceNow
Global Service Mgmt – Ops II (variant),GSM-O II,DISA,,,Secret–TS/SCI,"Secret, TS/SCI",Medium,$6.5B,,,IDIQ,,Scott AFB; Ft Meade; global,,“DoDIN operations”,AT&T; Verizon; Parsons; staff aug vendors,,,,,2018–2028,2028,2018,,Leidos,Medium,,IT Ops,IT Ops,,,,Provided,,NOC; cyber ops; servicedesk; ServiceNow
Global Solutions Management – Operations II,GSMO II,DISA,,,Secret / TS,"Secret, Top Secret",Medium,,,,IDIQ,,Scott AFB; Ft Meade; Hill AFB,,“DISA; GSMO; Leidos”,CACI; SAIC; small SB partners,,,,,2021–2031,2031,2021,,Leidos,Medium,,C5ISR,C5ISR,,,,Provided,,Network engineers; systems admins; helpdesk
GMD Weapon System (Ground C2),GWS (GMD),MDA,,,Secret/TS,"Secret, Top Secret",High,$3.3B,,,IDIQ,,Huntsville AL; Schriever SFB; Ft Greely AK,,“GMD Weapon System… $3.3B… weapon system integrator”,Raytheon; GD; Bechtel; others,,,,,2022–2027,2027,2022,,Northrop Grumman,High,,C5ISR,C5ISR,,,,Provided,,SW sustainment; BMC3; test engineers
GMD Weapon System Modernization,GWS (GMD),MDA,,,Secret–TS/SCI,"Secret, TS/SCI",High,$3.3B,,,IDIQ,,Huntsville AL; Schriever SFB; Ft Greely AK; Vandenberg SFB,,Homeland missile defense,"Raytheon (BMC3), GD, Bechtel",,,,,2022–2027,2027,2022,,Northrop Grumman,High,,C5ISR,C5ISR,,,,Provided row text,,SW engineering; modeling & simulation; cyber; C2
Golden Dome,Golden Dome,DoD,,,Secret,Secret,Low,,,,RECOMPETE,,,,“GOLDEN DOME”,,,,,,Upcoming,,,,,Low,,C5ISR,C5ISR,,,,Provided,,C2/IT; mission system support
GPS Next-Gen Operational Control System,GPS OCX,Space Force,,,Secret/TS,"Secret, Top Secret",High,$7.6B,,,R&D,,Colorado Springs CO (Schriever SFB),,“GPS OCX… cost overruns… provisional acceptance 2023”,Insight Global; Apex Systems (staff aug),,,,,"2010–2024 (dev), then sustainment",2024,2010,,Raytheon Intelligence & Space,High,,IT Ops,IT Ops,,,,Row text,,Software engineers; cyber analysts; helpdesk
GPS Operational Control System (sustainment),GPS OCX,Space Force,,,Secret/TS,"Secret, Top Secret",High,$7.7B,,,R&D,,Aurora CO; Schriever SFB,,“GPS ground control”,GDIT; Infinity; Braxton (historical); IBM tools,,,,,2010–2024+,2024,2010,,Raytheon,High,,IT Ops,IT Ops,,,,Provided,,SW dev/test; IA; cyber; sustainment
GRASP (Raytheon/Peraton),GRASP,DoD,,,C5ISR engineers,Secret,Medium,,,,PROGRAM,,Secret,,C5ISR,,,,,,Multi-year,,,,Peraton,Medium,,Professional Services,Professional Services,,,,Medium,,“GRASP”
Ground Based Strategic Deterrent / Sentinel,GBSD / Sentinel,Air Force,,,Secret / TS,"Secret, Top Secret",High,$13.3B,,,IDIQ,,Hill AFB; Ogden UT; Roy UT; Colorado Springs; Promontory UT,,“Sentinel ICBM modernization”,Apex Systems; Insight Global; TEKsystems; Belcan; Iron Eagle X; Prime TS,,,,,2020–2039,2039,2020,,Northrop Grumman,High,,C5ISR,C5ISR,,,,GBSD BD strategy,,Systems engineers; MBSE; SW engineers; cyber; test; logistics
Ground-Based Interceptor,GBI,MDA,,,Secret/TS,"Secret, Top Secret",Medium,Multi-$B,,,SUSTAINMENT,,Vandenberg; Ft Greely,,“GBI”,Northrop (EKV/CVKV),,,,,Ongoing,Ongoing,,,Boeing (lead),Medium,,Weapon Systems,Weapon Systems,,,,Provided,,Missile ops; missile engineers
Ground-Based Midcourse Defense,GMD,MDA,,,Secret/TS,"Secret, Top Secret",High,Multi-$B,,,MULTI-CONTRACT PROGRAM,,Fort Greely; Vandenberg; Schriever,,“GMD national BMD; Next-Gen Interceptor program; multi-contract”,Northrop; Raytheon; others,,,,,1998–Present,Ongoing,1998,,Boeing (prime); Northrop & Raytheon (NGI),High,,C5ISR,C5ISR,,,,Provided,,Missile defense engineers; radar techs; C2 analysts
Ground-Based Strategic Deterrent,GBSD,Air Force,,,Secret / TS / TS/SCI,"Secret, TS/SCI",High,Multi-$B,,,ICBM MODERNIZATION CONTRACT,,Roy UT; Hill AFB UT; Redondo Beach CA,,"“Sentinel, LGM-35A, GBSD”",Aerojet Rocketdyne; Lockheed Martin,,,,,Ongoing,Ongoing,,,Northrop Grumman,High,,Weapon Systems,Weapon Systems,,,,“Northrop Grumman Sentinel Execution Strategy Guide”,,Systems engineers; cybersecurity; SW dev; logistics engineers
Ground-Based Strategic Deterrent (Sentinel),GBSD (Sentinel),Air Force,,,Secret/TS/SCI; nuclear surety,"Secret, TS/SCI",High,Multi-$B,,,R&D,,Hill AFB; Offutt AFB (nuclear C3 analysts),,“Long-open M&S engineer role… competitors struggling to fill”,Insight Global; TEKsystems; various cleared staffing vendors,,,,,2020s–2030s,,2020,,Northrop Grumman,High,,C5ISR,C5ISR,,,,“IG had M&S open 6+ months… PTS can supply MBSE quickly”,,MBSE; Systems Eng; ISSO/ISSM; Configuration Mgmt
GSA Alliant 2,Alliant 2,DoD,,,Varies,Secret,High,$82.5B,,,GWAC,,Government-wide,,“Alliant 2… used heavily by DoD… 40+ primes”,Numerous,,,,,2018–2028,2028,2018,,40+ primes,High,,IT Ops,IT Ops,,,,Provided,,IT solutions; dev; ops; cloud
GSA Alliant 2 GWAC,Alliant 2,DoD,,,Unclas→Secret,Secret,High,$82.5B,,,GWAC,,Government-wide,,“Used heavily by DoD agencies; myriad subcontractors”,Many IT staffing subs,,,,,2018–2028,2028,2018,,~40 primes,High,,Professional Services,Professional Services,,,,Provided,,IT developers; engineers; cloud engineers
GSA Alliant 2/3 GWAC,Alliant 2/3,DoD,,,Public Trust→Secret/TS,"Public Trust, Secret, Top Secret",Medium,,,,GWAC,,Federal agencies nationwide,,“Alliant 2/3 cited as GWAC for IT/cyber services”,Many integrators & staffing firms,,,,,Multi-year,,,,Multiple primes,Medium,,IT Ops,IT Ops,,,,Provided,,Enterprise IT; cloud; cyber; software
GSA ASTRO,ASTRO,DoD,,,Varied,Secret,Medium,,,,GWAC,,DoD domains (Ops/R&D/Maintenance),,“ASTRO unlimited value… >$100B expected”,Numerous,,,,,2021–2031,2031,2021,,Dozens of primes,Medium,,C5ISR,C5ISR,,,,Provided,,Ops; R&D; maintenance; dev
GSA ASTRO (multiple pools),ASTRO,DoD,,,Varied,Secret,Medium,,,,IDIQ,,CONUS/OCONUS,,“Manned/unmanned systems”,Multiple,,,,,2021–2031,2031,2021,,Multiple,Medium,,R&D,R&D,,,,Provided,,Ops; R&D; maintenance; unmanned systems
GSA ASTRO (pool-level entry),ASTRO,DoD,,,Unclas→TS,Top Secret,Medium,,,,IDIQ,,CONUS/OCONUS,,"“robotics, unmanned systems”",Dozens of subs,,,,,2021–2031,2031,2021,,Multiple primes,Medium,,Professional Services,Professional Services,,,,Provided,,O&M techs; R&D engineers; robotics
