program,program_rank,Job Source,Job Number,Job Title,Job Location,Security Clearance,Employment Type,Date Posted,Matched Program,Program Acronym,Program Agency,Prime Contractor,Program Location,Contract Number,Match Score,Match Confidence,Match Reasons,Job URL
Aegis Ballistic Missile Defense / Aegis Program,14,Insight Global,460819,SENIOR SYSTEMS ENGINEER - SECRET CLEARANCE,"Huntsville, Alabama",Secret,Contract-to-perm,28-Oct-25,Aegis Ballistic Missile Defense / Aegis Program,Aegis,Navy,Lockheed Martin,"FORT WORTH, TEXAS",N0001917C0001,6,Medium,"Keywords: missile, program, defense",https://insightglobal.com/jobs/find_a_job/alabama/huntsville/senior-systems-engineer-secret-clearance/job-460819/
Aegis Ballistic Missile Defense / Aegis Program,14,Insight Global,480804,CLEARED MS&A DEVELOPER,"Sunset, Utah",Top Secret,"Contract,Perm Possible",9-Jan-26,Aegis Ballistic Missile Defense / Aegis Program,Aegis,Navy,Lockheed Martin,"FORT WORTH, TEXAS",N0001917C0001,8,Medium,"Keywords: missile, program, defense",https://insightglobal.com/jobs/find_a_job/utah/sunset/cleared-msa-developer/job-480804/
Aegis Ballistic Missile Defense / Aegis Program,14,Insight Global,466413,IDENTITY ACCESS MANAGER / SME ARCHITECT,"Austin, Texas",TS/SCI Poly,Perm,12-Nov-25,Aegis Ballistic Missile Defense / Aegis Program,Aegis,Navy,Lockheed Martin,"FORT WORTH, TEXAS",N0001917C0001,7,Medium,"Keywords: program, defense; State: TX",https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/top-secret-iam-architect/job-466413/
Aegis Ballistic Missile Defense / Aegis Program,14,Insight Global,460481,TS/SCI - SENIOR SURVIVABILITY ENGINEER,"Huntsville, Alabama",TS/SCI,Perm,28-Oct-25,Aegis Ballistic Missile Defense / Aegis Program,Aegis,Navy,Lockheed Martin,"FORT WORTH, TEXAS",N0001917C0001,6,Medium,"Keywords: missile, program, defense",https://insightglobal.com/jobs/find_a_job/alabama/huntsville/ts-sci-senior-survivability-engineer/job-460481/
Army AESD Enterprise Service Desk,15,Insight Global,479148,"MECHANICAL ENGINEER, PE - DESIGNER","San Antonio, Texas",,Perm,6-Jan-26,Army AESD Enterprise Service Desk,AESD,Army,SAIC,"SAN ANTONIO, TEXAS",FA877319FA023,10,High,Keywords: service; State: TX; City: SAN ANTONIO,https://insightglobal.com/jobs/find_a_job/texas/san-antonio/mechanical-engineer-pe-designer/job-479148/
Army AESD Enterprise Service Desk,15,Insight Global,478959,TS/SCI ENGINEERING TECHNICIAN,"San Antonio, Texas",TS/SCI,Contract-to-perm,6-Jan-26,Army AESD Enterprise Service Desk,AESD,Army,SAIC,"SAN ANTONIO, TEXAS",FA877319FA023,10,High,Keywords: service; State: TX; City: SAN ANTONIO,https://insightglobal.com/jobs/find_a_job/texas/san-antonio/ts-sci-engineering-technician/job-478959/
Army AESD Enterprise Service Desk,15,Insight Global,480214,TS/SCI LOGISTICS SPECIALIST,"San Antonio, Texas",TS/SCI,Contract-to-perm,8-Jan-26,Army AESD Enterprise Service Desk,AESD,Army,SAIC,"SAN ANTONIO, TEXAS",FA877319FA023,12,High,"Keywords: army, service; State: TX; City: SAN ANTONIO",https://insightglobal.com/jobs/find_a_job/texas/san-antonio/ts-sci-logistics-specialist/job-480214/
Army AESD Enterprise Service Desk,15,Insight Global,479108,TS/SCI PROGRAM MANAGER,"San Antonio, Texas",TS/SCI,Contract-to-perm,6-Jan-26,Army AESD Enterprise Service Desk,AESD,Army,SAIC,"SAN ANTONIO, TEXAS",FA877319FA023,10,High,Keywords: service; State: TX; City: SAN ANTONIO,https://insightglobal.com/jobs/find_a_job/texas/san-antonio/ts-sci-program-manager/job-479108/
Army AESD Enterprise Service Desk,15,Insight Global,479672,TS/SCI PROGRAM ADMINISTRATOR,"San Antonio, Texas",TS/SCI,Contract-to-perm,7-Jan-26,Army AESD Enterprise Service Desk,AESD,Army,SAIC,"SAN ANTONIO, TEXAS",FA877319FA023,10,High,Keywords: service; State: TX; City: SAN ANTONIO,https://insightglobal.com/jobs/find_a_job/texas/san-antonio/ts-sci-program-administrator/job-479672/
DISA Global Service Mgmt – Ops II,16,Insight Global,481991,REGISTERED NURSE,"Muscatine, Iowa",,Contract,13-Jan-26,DISA Global Service Mgmt – Ops II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,4,Low,"Keywords: service, global",https://insightglobal.com/jobs/find_a_job/iowa/muscatine/registered-nurse/job-481991/
DISA Global Service Mgmt – Ops II,16,Insight Global,452489,WELDER,"Huntsville, Alabama",Secret,Perm,7-Oct-25,DISA Global Service Mgmt – Ops II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,4,Low,"Keywords: service, global",https://insightglobal.com/jobs/find_a_job/alabama/huntsville/welder/job-452489/
DISA Global Service Mgmt – Ops II,16,Insight Global,481941,PRICING MANAGER,"Huntsville, Alabama",Secret,Perm,13-Jan-26,DISA Global Service Mgmt – Ops II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,4,Low,"Keywords: service, global",https://insightglobal.com/jobs/find_a_job/alabama/huntsville/pricing-manager/job-481941/
DISA Global Service Mgmt – Ops II,16,Insight Global,477104,SHIPWRIGHT,"Kings Bay, Georgia",,Contract,18-Dec-25,DISA Global Service Mgmt – Ops II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,4,Low,"Keywords: service, global",https://insightglobal.com/jobs/find_a_job/georgia/kings-bay/shipwright/job-477104/
DISA Global Service Mgmt – Ops II,16,Insight Global,482651,UH-60 SHEET METAL AIRCRAFT MECHANIC IIII,"Meridianville, Alabama",Secret,Contract-to-perm,14-Jan-26,DISA Global Service Mgmt – Ops II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,4,Low,"Keywords: service, global",https://insightglobal.com/jobs/find_a_job/alabama/meridianville/uh-60-sheet-metal-aircraft-mechanic-iiii/job-482651/
Data Center & Cloud Optimization,17,Apex Systems,3016779,Network Security Engineer,"Arlington, VA",,Contract,1/7/2026,Data Center & Cloud Optimization,DCCO,DHS,Peraton / Leidos (indicative),"MC LEAN, VIRGINIA",GST0011AJ0025,11,High,"Keywords: center, data, cloud; State: VA",https://www.apexsystems.com/job/3016779_usa/network-security-engineer
Data Center & Cloud Optimization,17,Apex Systems,2089337,Data Center Engineer - RTP (TS/SCI with Full Scope Poly),"Research Triangle Park, NC",TS/SCI with Full Scope Poly (FSP),Contract,10/12/2025,Data Center & Cloud Optimization,DCCO,DHS,Peraton / Leidos (indicative),"MC LEAN, VIRGINIA",GST0011AJ0025,6,Medium,"Keywords: center, data, cloud",https://www.apexsystems.com/job/2089337_usa/data-center-engineer---rtp-tssci-with-full-scope-poly
Data Center & Cloud Optimization,17,Insight Global,464764,POWER PLATFORM DEVELOPER,"Alexandria, Virginia",Secret,Contract-to-perm,6-Nov-25,Data Center & Cloud Optimization,DCCO,DHS,Peraton / Leidos (indicative),"MC LEAN, VIRGINIA",GST0011AJ0025,7,Medium,"Keywords: center, data; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/alexandria/power-platform-developer/job-464764/
Data Center & Cloud Optimization,17,Insight Global,461572,SENIOR INTEGRATION SPECIALIST,"Manassas, Virginia",Top Secret,Perm,29-Oct-25,Data Center & Cloud Optimization,DCCO,DHS,Peraton / Leidos (indicative),"MC LEAN, VIRGINIA",GST0011AJ0025,9,Medium,"Keywords: center, data, cloud; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/manassas/senior-integration-specialist/job-461572/
BICES Defense Intelligence Agency Variant,18,Apex Systems,3017651,Sr Elastic Engineer (EDR/Defend Focus),"Colorado Springs, CO",ACTIVE SECRET SECURITY CLEARANCE OR HIGHER TO BE CONS,Contract,1/12/2026,BICES Defense Intelligence Agency Variant,BICES,DIA,CACI + Leidos + Peraton + SAIC (various subs),"COLORADO SPRINGS, COLORADO",FA251822F0034,14,High,"Keywords: intelligence, defense, agency; State: CO; City: COLORADO SPRINGS",https://www.apexsystems.com/job/3017651_usa/sr-elastic-engineer-edrdefend-focus
BICES Defense Intelligence Agency Variant,18,Insight Global,481890,COPY - TOP SECRET IAM ARCHITECT,"Washington, District Of Columbia",TS/SCI Poly,Perm,13-Jan-26,BICES Defense Intelligence Agency Variant,BICES,DIA,CACI + Leidos + Peraton + SAIC (various subs),"COLORADO SPRINGS, COLORADO",FA251822F0034,7,Medium,"Keywords: defense, agency; State: CO",https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/copy-top-secret-iam-architect/job-481890/
BICES Defense Intelligence Agency Variant,18,Insight Global,481903,TOP SECRET ICAM ARCHITECT,"Washington, District Of Columbia",TS/SCI Poly,Perm,13-Jan-26,BICES Defense Intelligence Agency Variant,BICES,DIA,CACI + Leidos + Peraton + SAIC (various subs),"COLORADO SPRINGS, COLORADO",FA251822F0034,7,Medium,"Keywords: defense, agency; State: CO",https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/top-secret-icam-architect/job-481903/
Global Network Operations (DISA GSM-O II),19,Insight Global,467723,SECRET SECURITY ENGINEER (BOUNDARY),"Montgomery, Alabama",Secret,Contract-to-perm,15-Nov-25,Global Network Operations (DISA GSM-O II),GSM-O II,DISA,Leidos,"HOUSTON, TEXAS",NNJ09HD46C,6,Medium,"Keywords: global, network, operations",https://insightglobal.com/jobs/find_a_job/alabama/montgomery/secret-security-engineer-boundary-/job-467723/
Global Network Operations (DISA GSM-O II),19,Insight Global,478425,TS/SCI SYSTEM ADMINISTRATOR,"Grand Forks, North Dakota",TS/SCI,Contract-to-perm,5-Jan-26,Global Network Operations (DISA GSM-O II),GSM-O II,DISA,Leidos,"HOUSTON, TEXAS",NNJ09HD46C,6,Medium,"Keywords: global, network, operations",https://insightglobal.com/jobs/find_a_job/north-dakota/grand-forks/ts-sci-system-administrator/job-478425/
Global Network Operations (DISA GSM-O II),19,Insight Global,464235,SR NETWORK DESIGN ENGINEER,"'Aiea, Hawaii",Secret,Contract-to-perm,5-Nov-25,Global Network Operations (DISA GSM-O II),GSM-O II,DISA,Leidos,"HOUSTON, TEXAS",NNJ09HD46C,6,Medium,"Keywords: global, network, operations",https://insightglobal.com/jobs/find_a_job/hawaii/aiea/sr-network-design-engineer/job-464235/
GPS Next-Gen Operational Control System,20,Apex Systems,3018535,Structural Mechanical/Professional Engineer,"Orlando, FL",ACTIVE TOP SECRET SECURITY CLEARANCE OR HIGHER AND BE ABL,Contract,1/16/2026,GPS Next-Gen Operational Control System,GPS OCX,Space Force,Raytheon Intelligence & Space,"AURORA, COLORADO",FA880710C0001,8,Medium,"Keywords: next, control, system",https://www.apexsystems.com/job/3018535_usa/structural-mechanicalprofessional-engineer
GPS Next-Gen Operational Control System,20,Apex Systems,2049305,Software Engineer - ENG05 - Cleared On-Site,"Aurora, CO",,Contract,10/12/2025,GPS Next-Gen Operational Control System,GPS OCX,Space Force,Raytheon Intelligence & Space,"AURORA, COLORADO",FA880710C0001,10,High,Keywords: system; State: CO; City: AURORA,https://www.apexsystems.com/job/2049305_usa/software-engineer---eng05---cleared-on-site
GPS Next-Gen Operational Control System,20,Insight Global,482286,SECRET INTEGRATION AND TEST ENGINEER - LEVEL 4,"Aurora, Colorado",Secret,"Contract,Perm Possible",13-Jan-26,GPS Next-Gen Operational Control System,GPS OCX,Space Force,Raytheon Intelligence & Space,"AURORA, COLORADO",FA880710C0001,8,Medium,State: CO; City: AURORA,https://insightglobal.com/jobs/find_a_job/colorado/aurora/secret-integration-and-test-engineer-level-4/job-482286/
