piid,description,obligated,fiscal_year,awarding_agency,awarding_department,funding_agency,funding_department,dod_match_reason,prime_contractor,period_start,period_end,ultimate_completion,performance_city,performance_state,target_firms,naics_code
47QFCA24F0043,AWARD LOGISTICS INTELLIGENCE SURVEILLANCE AND RECONNAISSANCE ISR AND NEXTGEN TECHNOLOGY (LOGIX),445678584.8,2024,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding,HII MISSION TECHNOLOGIES CORP,9/16/2024,9/15/2026,9/15/2029,MCLEAN,VIRGINIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541990
47QFCA23F0046,INDOPACIFIC COMMAND TECHNOLOGY EXPERIMENTATION ANALYSIS AND MANAGEMENT SERVICES (ITEAMS) BASE AWARD.,164261551,2023,Federal Acquisition Service,General Services Administration,Department of the Navy,Department of Defense,DoD Funding,"AMENTUM SERVICES, INC.",9/25/2023,8/31/2026,8/31/2028,CAMP H M SMITH,HAWAII,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541330
47QFCA24F0018,GLOBAL OPERATIONAL SUPPORT INFORMATION INSIGHT AND THREAT GOSIIT,117151534.1,2024,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding,"CACI, INC. - FEDERAL",5/20/2024,5/19/2026,5/19/2029,ABERDEEN PROVING GROUND,MARYLAND,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541990
N0001921C0020,FY21-23 GLOBAL F-35 AIR SYSTEM SUSTAINMENT,7953264131,2021,Department of the Navy,Department of Defense,Department of the Navy,Department of Defense,DoD Awarding,LOCKHEED MARTIN CORPORATION,12/31/2020,12/30/2027,12/30/2027,FORT WORTH,TEXAS,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336411
W31P4Q21F0054,"SINGLE AWARD TO AGAINST GSA OASIS SB (POOL 5B) FOR ENGINEERING AND PROFESSIONAL SERVICES SUPPORTING AVIATION AND MISSILE ELEMENT MODELS, SIMULATIONS, AND ANALYSIS FOR THE CCDC AVMC, S3I DIRECTORATE, M&S AREA.",364616596.7,2021,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,TORCH TECHNOLOGIES INC,1/20/2021,9/18/2026,11/11/2026,HUNTSVILLE,ALABAMA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541712
47QFCA23F0017,DCSA ONE IT TASK ORDER,316909051,2023,Federal Acquisition Service,General Services Administration,Defense Counterintelligence and Security Agency,Department of Defense,DoD Funding,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,3/2/2023,3/1/2026,3/1/2028,QUANTICO,VIRGINIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541512
FA821421F0009,625TH STRATEGIC OPERATIONS SQUADRON AND INTERCONTINENTAL BALLISTIC MISSILE OPERATIONAL SOFTWARE SUSTAINMENT PROGRAM/ CONTRACTOR LOGISTICS SUPPORT,120666419,2021,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding,NORTHROP GRUMMAN SYSTEMS CORPORATION,9/1/2021,8/31/2026,8/31/2026,HILL AFB,UTAH,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541330
W31P4Q21F0038,"SINGLE AWARD TO AGAINST GSA OASIS SB R POOL 5B FOR HWIL SYSTEMS OF SYSTEMS TO ACQUIRE ENGINEERING SERVICES FOR THE AVIATION AND MISSILE CENTER, S3I DIRECTORATE, HWIL / VIRTUAL SIMULATORS MISSION AREA.",546768605.7,2021,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,TORCH TECHNOLOGIES INC,1/15/2021,9/16/2026,5/11/2028,HUNTSVILLE,ALABAMA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541712
N0002424C4406,USS MESA VERDE (LPD 19) FY24 SRA,177068354,2024,Department of the Navy,Department of Defense,Department of the Navy,Department of Defense,DoD Awarding,"MARINE HYDRAULICS INTERNATIONAL, LLC",2/28/2024,2/5/2026,2/5/2026,PORTSMOUTH,VIRGINIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336611
FA868223CB003,JOINT AIR TO SURFACE STANDOFF MISSILE LOT 21,765847312,2023,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding,LOCKHEED MARTIN CORPORATION,5/18/2023,3/9/2026,3/9/2026,ORLANDO,FLORIDA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336414
47QFCA24F0039,ARMY GLOBAL UNIFIED NETWORK  INCREMENT 1,114839876,2024,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding,"Leidos, Inc.",9/6/2024,3/5/2026,9/5/2029,FORT SHAFTER,HAWAII,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541512
47QFCA24F0007,TECHNICAL SUPPORT SERVICES TSS,157955320,2024,Federal Acquisition Service,General Services Administration,U.S. Special Operations Command,Department of Defense,DoD Funding,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",12/18/2023,6/17/2026,12/17/2028,TAMPA,FLORIDA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541330
47QFCA22F0039,THE PURPOSE OF THIS TO IS TO PROVIDE TECHNOLOGY INTEGRATED SERVICES TO NSIN AND ITS MISSION PARTNERS FOR THE PURPOSE OF COUNTERING AND DETERRING CURRENT AND EMERGING GLOBAL THREATS.,589275564.1,2022,Federal Acquisition Service,General Services Administration,Immediate Office of the Secretary of Defense,Department of Defense,DoD Funding,HII MISSION TECHNOLOGIES CORP,7/25/2022,7/24/2026,7/24/2027,ALEXANDRIA,VIRGINIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541330
FA872124FB001,"PROCUREMENT OF ENGINEERING, PROFESSIONAL, AND ADMINISTRATIVE SUPPORT SERVICES FOR GB DIRECTORATE.",142036072.1,2024,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding,TORCH TECHNOLOGIES INC,4/1/2024,3/31/2026,3/31/2028,HUNTSVILLE,ALABAMA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541712
47QFCA24F0009,THE PURPOSE OF THIS IS TO INCREMENTALLY FUND AND AWARD THE CITS TASK ORDER.,272625557,2024,Federal Acquisition Service,General Services Administration,Department of the Air Force,Department of Defense,DoD Funding,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",2/5/2024,2/4/2026,2/4/2030,TAMPA,FLORIDA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541512
W912DR21C0023,"RECAPITALIZATION OF POWER GENERATION PLANT AND SUPERVISORY CONTROL AND DATA ACQUISITION (SCADA), LOCATED ON BUCKLEY AFB, CO",207244984,2021,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,"M. C. DEAN, INC.",9/30/2021,1/17/2027,1/17/2027,AURORA,COLORADO,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,238210
W519TC24F0158,LIGHTWEIGHT 30 XM1211 HIGH EXPLOSIVE PROXIMITY (HEP) CARTRIDGES. THE LIGHTWEIGHT (LW) 30MM XM1211 HIGH EXPLOSIVE PROXIMITY (HEP) URGENT MATERIEL RELEASE CARTRIDGE SUPPORTS GROUND-BASED PLATFORMS UTILIZING THE XM914 CHAIN GUN.,273530052.5,2024,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,NORTHROP GRUMMAN SYSTEMS CORPORATION,5/14/2024,3/31/2030,3/31/2030,MINNEAPOLIS,MINNESOTA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,332993
N0002416C2427,"DETAIL DESIGN AND CONSTRUCTION (DD&C) FOR LHA 8 (INITIAL EFFORT LIMITED TO PLANNING, ADVANCED ENGINEERING AND PROCUREMENT OF LONG LEAD TIME MATERIAL)",3271676557,2016,Department of the Navy,Department of Defense,Department of the Navy,Department of Defense,DoD Awarding,HUNTINGTON INGALLS INCORPORATED,6/30/2016,7/31/2026,7/31/2026,PASCAGOULA,MISSISSIPPI,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336611
N0002418C2406,LPD 30 LLTM,4627589105,2018,Department of the Navy,Department of Defense,Department of the Navy,Department of Defense,DoD Awarding,HUNTINGTON INGALLS INCORPORATED,8/2/2018,3/1/2031,3/1/2031,PASCAGOULA,MISSISSIPPI,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336611
FA820419C0005,MINUTEMAN (LGM-30G) PAYLOAD TRANSPORTER REPLACEMENT (PTR) PRODUCTION PROGRAM,222272420.8,2019,Department of the Air Force,Department of Defense,Department of the Air Force,Department of Defense,DoD Awarding,ARMORWORKS ENTERPRISES INC,6/18/2019,12/31/2026,12/31/2026,CHANDLER,ARIZONA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336120
N0001921C0723,AIM-9X LOT 21-23 PRODUCTION,1368878887,2021,Department of the Navy,Department of Defense,Department of the Navy,Department of Defense,DoD Awarding,RAYTHEON COMPANY,6/30/2021,8/31/2026,8/31/2026,TUCSON,ARIZONA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336414
HQ086223F0003,FY23/24 ANTPY-2 O&S TO AWARD,302114556,2023,Missile Defense Agency,Department of Defense,Missile Defense Agency,Department of Defense,DoD Awarding,RAYTHEON COMPANY,11/1/2022,9/30/2026,10/31/2026,WOBURN,MASSACHUSETTS,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,811219
W31P4Q24F0168,THIS DELIVERY ORDER IS ISSUED IN SUPPORT OF HYDRA 70 ROCKETS AND MOTORS.,164279353,2024,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,"General Dynamics-Ots, Inc.",9/5/2024,6/30/2027,6/30/2027,WILLISTON,VERMONT,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,332993
N0001924C0039,CY24 AVSC SUPPLY SUPPORT,4697952588,2024,Department of the Navy,Department of Defense,Department of the Navy,Department of Defense,DoD Awarding,LOCKHEED MARTIN CORPORATION,6/28/2024,9/30/2033,9/30/2033,ARLINGTON,VIRGINIA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,336411
N0003024C1005,CONSOLIDATION AND FOLLOW-ON TO 22C1003 AND 22C1005. FY24 FIRE CONTROL OMNIBUS.,795960453.7,2024,Department of the Navy,Department of Defense,Department of the Navy,Department of Defense,DoD Awarding,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",10/1/2023,10/1/2030,10/1/2030,PITTSFIELD,MASSACHUSETTS,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541330
47QFCA23F0016,BASIC TASK ORDER AWARD,461698978,2023,Federal Acquisition Service,General Services Administration,Department of the Army,Department of Defense,DoD Funding,HII MISSION TECHNOLOGIES CORP,3/1/2023,2/27/2027,2/28/2030,,,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541990
W31P4Q24FC001,TECHNICAL AND ENGINEERING SUPPORT,163704998.9,2024,Department of the Army,Department of Defense,Department of the Army,Department of Defense,DoD Awarding,TORCH TECHNOLOGIES INC,1/31/2024,9/29/2026,7/30/2029,HUNTSVILLE,ALABAMA,APEX_SYSTEMS; INSIGHT_GLOBAL; TEKSYSTEMS; BELCAN; SHINE_SYSTEMS; DCI_SOLUTIONS; PATRIOT_DEFENSE; AKINA,541715
