Job Title,Program,Prime,Location,Hiring Manager Search,Program Manager Search,Recruiter Search,Subcontracts Search,HR BP Search
TS/SCI SYSTEMS ADMINISTRATOR,DIA Information Systems Engineering Offi,Leidos,"Dayton, Ohio","""Hiring Manager"" AND ""Leidos"" AND ""Dayton""","""Program Manager"" AND ""Leidos"" AND ""Dayton""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Dayton""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Dayton"""
SECRET CUSTOMER SUPPORT ADMIN,GBS (Global Broadcast Service),L3Harris,"Vista, California","""Hiring Manager"" AND ""L3Harris"" AND ""Vista""","""Program Manager"" AND ""L3Harris"" AND ""Vista""","(""Recruiter"" OR ""Talent Acquisition"") AND ""L3Harris"" AND ""Vista""","(""Subcontracts"" OR ""Supplier Management"") AND ""L3Harris""","""HR Business Partner"" AND ""L3Harris"" AND ""Vista"""
RUST DEVELOPER,DIA Information Systems Engineering Offi,Leidos,"Camden, New Jersey","""Hiring Manager"" AND ""Leidos"" AND ""Camden""","""Program Manager"" AND ""Leidos"" AND ""Camden""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Camden""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Camden"""
DIGITAL HARDWARE ENGINEER,NGEN-R SMIT – Navy Next Generation Enter,Leidos,"Greece, New York","""Hiring Manager"" AND ""Leidos"" AND ""Greece""","""Program Manager"" AND ""Leidos"" AND ""Greece""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Greece""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Greece"""
SENIOR POSTGRES DATABASE ENGINEER,Global Command and Control System – Join,Leidos,"Windsor Mill, Maryland","""Hiring Manager"" AND ""Leidos"" AND ""Windsor Mill""","""Program Manager"" AND ""Leidos"" AND ""Windsor Mill""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Windsor Mill""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Windsor Mill"""
SALES SUPPORT SPECIALIST,Army Backbone Infrastructure Modernizati,CACI,"Sully, Virginia","""Hiring Manager"" AND ""CACI"" AND ""Sully""","""Program Manager"" AND ""CACI"" AND ""Sully""","(""Recruiter"" OR ""Talent Acquisition"") AND ""CACI"" AND ""Sully""","(""Subcontracts"" OR ""Supplier Management"") AND ""CACI""","""HR Business Partner"" AND ""CACI"" AND ""Sully"""
TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON),Project Convergence (JADC2 Experiments),SAIC,"Montgomery, Alabama","""Hiring Manager"" AND ""SAIC"" AND ""Montgomery""","""Program Manager"" AND ""SAIC"" AND ""Montgomery""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""Montgomery""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""Montgomery"""
TS/SCI NETWORK ADMINISTRATOR III (WAN) (DAY SHIFT),Project Convergence (JADC2 Experiments),SAIC,"Montgomery, Alabama","""Hiring Manager"" AND ""SAIC"" AND ""Montgomery""","""Program Manager"" AND ""SAIC"" AND ""Montgomery""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""Montgomery""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""Montgomery"""
SECRET ISSO,Global Service Management – Operations I,Leidos,"Albuquerque, New Mexico","""Hiring Manager"" AND ""Leidos"" AND ""Albuquerque""","""Program Manager"" AND ""Leidos"" AND ""Albuquerque""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Albuquerque""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Albuquerque"""
BLASTER / PAINTER,Global Service Management – Operations I,Leidos,"Kings Bay, Georgia","""Hiring Manager"" AND ""Leidos"" AND ""Kings Bay""","""Program Manager"" AND ""Leidos"" AND ""Kings Bay""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Kings Bay""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Kings Bay"""
LINUX SYSTEMS ENGINEER (TS),Army Integrated Battle Command System Su,Northrop Grumman,"Chantilly, Virginia","""Hiring Manager"" AND ""Northrop Grumman"" AND ""Chantilly""","""Program Manager"" AND ""Northrop Grumman"" AND ""Chantilly""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Northrop Grumman"" AND ""Chantilly""","(""Subcontracts"" OR ""Supplier Management"") AND ""Northrop Grumman""","""HR Business Partner"" AND ""Northrop Grumman"" AND ""Chantilly"""
DATA ENGINEER,MSS Smart Systems (Palantir contract),Palantir,"Norfolk, Virginia","""Hiring Manager"" AND ""Palantir"" AND ""Norfolk""","""Program Manager"" AND ""Palantir"" AND ""Norfolk""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Palantir"" AND ""Norfolk""","(""Subcontracts"" OR ""Supplier Management"") AND ""Palantir""","""HR Business Partner"" AND ""Palantir"" AND ""Norfolk"""
TS/SCI + POLY CLEARED LINUX ADMIN/TEST ENGINEER,DIA Information Systems Engineering Offi,Leidos,"Hanover, Maryland","""Hiring Manager"" AND ""Leidos"" AND ""Hanover""","""Program Manager"" AND ""Leidos"" AND ""Hanover""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Hanover""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Hanover"""
TOP SECRET TECHNICAL LEAD ENGINEERING SYSTEM,Battlefield Information Collection & Exp,GDIT,"Norfolk, Virginia","""Hiring Manager"" AND ""GDIT"" AND ""Norfolk""","""Program Manager"" AND ""GDIT"" AND ""Norfolk""","(""Recruiter"" OR ""Talent Acquisition"") AND ""GDIT"" AND ""Norfolk""","(""Subcontracts"" OR ""Supplier Management"") AND ""GDIT""","""HR Business Partner"" AND ""GDIT"" AND ""Norfolk"""
TOP SECRET SOFTWARE ENGINEER,Air Force Cyber Operations / Platform On,SAIC,"Washington, District Of Columbia","""Hiring Manager"" AND ""SAIC"" AND ""Washington""","""Program Manager"" AND ""SAIC"" AND ""Washington""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""Washington""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""Washington"""
SECRET NON-DESTRUCTIVE TEST TECHNICIAN 2/3,GBS (Global Broadcast Service),L3Harris,"Palmdale, California","""Hiring Manager"" AND ""L3Harris"" AND ""Palmdale""","""Program Manager"" AND ""L3Harris"" AND ""Palmdale""","(""Recruiter"" OR ""Talent Acquisition"") AND ""L3Harris"" AND ""Palmdale""","(""Subcontracts"" OR ""Supplier Management"") AND ""L3Harris""","""HR Business Partner"" AND ""L3Harris"" AND ""Palmdale"""
SECRET NETWORK ADMINISTRATOR II (WAN) (AFTERNOONS),Project Convergence (JADC2 Experiments),SAIC,"Montgomery, Alabama","""Hiring Manager"" AND ""SAIC"" AND ""Montgomery""","""Program Manager"" AND ""SAIC"" AND ""Montgomery""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""Montgomery""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""Montgomery"""
SUPPLY CHAIN SYSTEMS ENGINEER,Defense Enterprise Office 365 Migration ,Microsoft,"Mclean, Virginia","""Hiring Manager"" AND ""Microsoft"" AND ""Mclean""","""Program Manager"" AND ""Microsoft"" AND ""Mclean""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Microsoft"" AND ""Mclean""","(""Subcontracts"" OR ""Supplier Management"") AND ""Microsoft""","""HR Business Partner"" AND ""Microsoft"" AND ""Mclean"""
SCHEDULER,"EDIS – Engineering, Development, Integra",SAIC,"Colorado Springs, Colorado","""Hiring Manager"" AND ""SAIC"" AND ""Colorado Springs""","""Program Manager"" AND ""SAIC"" AND ""Colorado Springs""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""Colorado Springs""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""Colorado Springs"""
POWER PLATFORM DEVELOPER,Data Center & Cloud Optimization,Peraton / Leidos,"Alexandria, Virginia","""Hiring Manager"" AND ""Peraton / Leidos"" AND ""Alexandria""","""Program Manager"" AND ""Peraton / Leidos"" AND ""Alexandria""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Peraton / Leidos"" AND ""Alexandria""","(""Subcontracts"" OR ""Supplier Management"") AND ""Peraton / Leidos""","""HR Business Partner"" AND ""Peraton / Leidos"" AND ""Alexandria"""
TS/SCI ENGINEERING TECHNICIAN,Army AESD Enterprise Service Desk,SAIC,"San Antonio, Texas","""Hiring Manager"" AND ""SAIC"" AND ""San Antonio""","""Program Manager"" AND ""SAIC"" AND ""San Antonio""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""San Antonio""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""San Antonio"""
SOFTWARE ENGINEER,Cloud One (USAF Cloud Program),SAIC,"Dayton, Ohio","""Hiring Manager"" AND ""SAIC"" AND ""Dayton""","""Program Manager"" AND ""SAIC"" AND ""Dayton""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""Dayton""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""Dayton"""
TSSCI TIER 1 NETWORK MONITOR (EAST COAST),Battlefield Information Collection & Exp,GDIT,"Hampton, Virginia","""Hiring Manager"" AND ""GDIT"" AND ""Hampton""","""Program Manager"" AND ""GDIT"" AND ""Hampton""","(""Recruiter"" OR ""Talent Acquisition"") AND ""GDIT"" AND ""Hampton""","(""Subcontracts"" OR ""Supplier Management"") AND ""GDIT""","""HR Business Partner"" AND ""GDIT"" AND ""Hampton"""
TS/SCI LOGISTICS SPECIALIST,Army AESD Enterprise Service Desk,SAIC,"San Antonio, Texas","""Hiring Manager"" AND ""SAIC"" AND ""San Antonio""","""Program Manager"" AND ""SAIC"" AND ""San Antonio""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""San Antonio""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""San Antonio"""
TOP SECRET SPLUNK ENGINEER,Army Enterprise Service Management Frame,SAIC,"Vienna, Virginia","""Hiring Manager"" AND ""SAIC"" AND ""Vienna""","""Program Manager"" AND ""SAIC"" AND ""Vienna""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""Vienna""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""Vienna"""
TOP SECRET AWS ENGINEER,CMS Enterprise Cloud Infrastructure Serv,Peraton / SAIC,"Vienna, Virginia","""Hiring Manager"" AND ""Peraton / SAIC"" AND ""Vienna""","""Program Manager"" AND ""Peraton / SAIC"" AND ""Vienna""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Peraton / SAIC"" AND ""Vienna""","(""Subcontracts"" OR ""Supplier Management"") AND ""Peraton / SAIC""","""HR Business Partner"" AND ""Peraton / SAIC"" AND ""Vienna"""
ELECTRICAL ENGINEER,Global Command and Control System – Join,Leidos,"Cockeysville, Maryland","""Hiring Manager"" AND ""Leidos"" AND ""Cockeysville""","""Program Manager"" AND ""Leidos"" AND ""Cockeysville""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Cockeysville""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Cockeysville"""
TS/SCI PROGRAM MANAGER,Army AESD Enterprise Service Desk,SAIC,"San Antonio, Texas","""Hiring Manager"" AND ""SAIC"" AND ""San Antonio""","""Program Manager"" AND ""SAIC"" AND ""San Antonio""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""San Antonio""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""San Antonio"""
TRANSPORTATION AND SHIPPING COORDINATOR,Defense Enterprise Office 365 Migration ,Microsoft,"Mclean, Virginia","""Hiring Manager"" AND ""Microsoft"" AND ""Mclean""","""Program Manager"" AND ""Microsoft"" AND ""Mclean""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Microsoft"" AND ""Mclean""","(""Subcontracts"" OR ""Supplier Management"") AND ""Microsoft""","""HR Business Partner"" AND ""Microsoft"" AND ""Mclean"""
TS/SCI CI POLY SOFTWARE ENGINEER,Army Enterprise Service Management Frame,SAIC,"Colorado Springs, Colorado","""Hiring Manager"" AND ""SAIC"" AND ""Colorado Springs""","""Program Manager"" AND ""SAIC"" AND ""Colorado Springs""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""Colorado Springs""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""Colorado Springs"""
TS/SCI C++ SOFTWARE ENGINEER,Next-Gen OPIR (Ground + Payload),Northrop Grumman,"Redondo Beach, California","""Hiring Manager"" AND ""Northrop Grumman"" AND ""Redondo Beach""","""Program Manager"" AND ""Northrop Grumman"" AND ""Redondo Beach""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Northrop Grumman"" AND ""Redondo Beach""","(""Subcontracts"" OR ""Supplier Management"") AND ""Northrop Grumman""","""HR Business Partner"" AND ""Northrop Grumman"" AND ""Redondo Beach"""
TS/SCI SYSTEM ADMINISTRATOR,Global Network Operations (DISA GSM-O II,Leidos,"Grand Forks, North Dakota","""Hiring Manager"" AND ""Leidos"" AND ""Grand Forks""","""Program Manager"" AND ""Leidos"" AND ""Grand Forks""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Grand Forks""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Grand Forks"""
SYSTEMS ENGINEER - LEVEL 3,GBS (Global Broadcast Service),L3Harris,"Anaheim, California","""Hiring Manager"" AND ""L3Harris"" AND ""Anaheim""","""Program Manager"" AND ""L3Harris"" AND ""Anaheim""","(""Recruiter"" OR ""Talent Acquisition"") AND ""L3Harris"" AND ""Anaheim""","(""Subcontracts"" OR ""Supplier Management"") AND ""L3Harris""","""HR Business Partner"" AND ""L3Harris"" AND ""Anaheim"""
SR NETWORK DESIGN ENGINEER,Global Network Operations (DISA GSM-O II,Leidos,"'Aiea, Hawaii","""Hiring Manager"" AND ""Leidos"" AND ""'Aiea""","""Program Manager"" AND ""Leidos"" AND ""'Aiea""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""'Aiea""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""'Aiea"""
SECRET KNOWLEDGE MANAGEMENT SPECIALIST,Global Service Management – Operations I,Leidos,"Suffolk, Virginia","""Hiring Manager"" AND ""Leidos"" AND ""Suffolk""","""Program Manager"" AND ""Leidos"" AND ""Suffolk""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Suffolk""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Suffolk"""
DATA ENGINEER,DIA Information Systems Engineering Offi,Leidos,"Scott Air Force Base, Illinois","""Hiring Manager"" AND ""Leidos"" AND ""Scott Air Force Base""","""Program Manager"" AND ""Leidos"" AND ""Scott Air Force Base""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Scott Air Force Base""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Scott Air Force Base"""
SECRET NETWORK ADMINISTRATOR II (MIDNIGHTS),Project Convergence (JADC2 Experiments),SAIC,"Montgomery, Alabama","""Hiring Manager"" AND ""SAIC"" AND ""Montgomery""","""Program Manager"" AND ""SAIC"" AND ""Montgomery""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""Montgomery""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""Montgomery"""
DATA ANALYST,NARSIL – Advanced Research for System In,Peraton,"O'fallon, Illinois","""Hiring Manager"" AND ""Peraton"" AND ""O'fallon""","""Program Manager"" AND ""Peraton"" AND ""O'fallon""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Peraton"" AND ""O'fallon""","(""Subcontracts"" OR ""Supplier Management"") AND ""Peraton""","""HR Business Partner"" AND ""Peraton"" AND ""O'fallon"""
FULL STACK ENGINEER,Army IT Enterprise Mgmt Systems Solution,CACI,"Arlington, Virginia","""Hiring Manager"" AND ""CACI"" AND ""Arlington""","""Program Manager"" AND ""CACI"" AND ""Arlington""","(""Recruiter"" OR ""Talent Acquisition"") AND ""CACI"" AND ""Arlington""","(""Subcontracts"" OR ""Supplier Management"") AND ""CACI""","""HR Business Partner"" AND ""CACI"" AND ""Arlington"""
PRE-DEPLOYMENT MANAGER,DIA Information Systems Engineering Offi,Leidos,"Frederick, Maryland","""Hiring Manager"" AND ""Leidos"" AND ""Frederick""","""Program Manager"" AND ""Leidos"" AND ""Frederick""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Frederick""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Frederick"""
SOFTWARE ARCHITECT,Air Force Advanced Battle Management Sys,"Multiple: SAIC, Leidos, B","Alexandria, Virginia","""Hiring Manager"" AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton"" AND ""Alexandria""","""Program Manager"" AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton"" AND ""Alexandria""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton"" AND ""Alexandria""","(""Subcontracts"" OR ""Supplier Management"") AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton""","""HR Business Partner"" AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton"" AND ""Alexandria"""
TSSCI TIER 1 NETWORK MONITOR,GBS (Global Broadcast Service),L3Harris,"Beale AFB, California","""Hiring Manager"" AND ""L3Harris"" AND ""Beale AFB""","""Program Manager"" AND ""L3Harris"" AND ""Beale AFB""","(""Recruiter"" OR ""Talent Acquisition"") AND ""L3Harris"" AND ""Beale AFB""","(""Subcontracts"" OR ""Supplier Management"") AND ""L3Harris""","""HR Business Partner"" AND ""L3Harris"" AND ""Beale AFB"""
SHIPWRIGHT,DISA Global Service Mgmt – Ops II,Leidos,"Kings Bay, Georgia","""Hiring Manager"" AND ""Leidos"" AND ""Kings Bay""","""Program Manager"" AND ""Leidos"" AND ""Kings Bay""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Kings Bay""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Kings Bay"""
PROJECT MANAGER,DIA Information Systems Engineering Offi,Leidos,"Madison, Alabama","""Hiring Manager"" AND ""Leidos"" AND ""Madison""","""Program Manager"" AND ""Leidos"" AND ""Madison""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Madison""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Madison"""
SECRET CLEARED SOLUTIONS ARCHITECT,Global Solutions Management – Operations,Leidos,"Saint Louis, Missouri","""Hiring Manager"" AND ""Leidos"" AND ""Saint Louis""","""Program Manager"" AND ""Leidos"" AND ""Saint Louis""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Saint Louis""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Saint Louis"""
SENIOR INTEGRATION SPECIALIST,Data Center & Cloud Optimization,Peraton / Leidos,"Manassas, Virginia","""Hiring Manager"" AND ""Peraton / Leidos"" AND ""Manassas""","""Program Manager"" AND ""Peraton / Leidos"" AND ""Manassas""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Peraton / Leidos"" AND ""Manassas""","(""Subcontracts"" OR ""Supplier Management"") AND ""Peraton / Leidos""","""HR Business Partner"" AND ""Peraton / Leidos"" AND ""Manassas"""
SECRET APPLICATION DEVELOPER,Army IT Enterprise Mgmt Systems Solution,CACI,"Fairfax, Virginia","""Hiring Manager"" AND ""CACI"" AND ""Fairfax""","""Program Manager"" AND ""CACI"" AND ""Fairfax""","(""Recruiter"" OR ""Talent Acquisition"") AND ""CACI"" AND ""Fairfax""","(""Subcontracts"" OR ""Supplier Management"") AND ""CACI""","""HR Business Partner"" AND ""CACI"" AND ""Fairfax"""
EMBEDDED SOFTWARE ENGINEER,"EDIS – Engineering, Development, Integra",SAIC,"Broomfield, Colorado","""Hiring Manager"" AND ""SAIC"" AND ""Broomfield""","""Program Manager"" AND ""SAIC"" AND ""Broomfield""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""Broomfield""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""Broomfield"""
TSSCI CYBER ANALYST,Global Service Management – Operations I,Leidos,"Hampton, Virginia","""Hiring Manager"" AND ""Leidos"" AND ""Hampton""","""Program Manager"" AND ""Leidos"" AND ""Hampton""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Hampton""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Hampton"""
ISSO- TOP SECRET- ON SITE,Air Force Advanced Battle Management Sys,"Multiple: SAIC, Leidos, B","Oakton, Virginia","""Hiring Manager"" AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton"" AND ""Oakton""","""Program Manager"" AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton"" AND ""Oakton""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton"" AND ""Oakton""","(""Subcontracts"" OR ""Supplier Management"") AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton""","""HR Business Partner"" AND ""Multiple: SAIC, Leidos, Booz Allen Hamilton"" AND ""Oakton"""
CYBER SECURITY ENGINEER,Army Enterprise Service Management Frame,SAIC,"Groton, Connecticut","""Hiring Manager"" AND ""SAIC"" AND ""Groton""","""Program Manager"" AND ""SAIC"" AND ""Groton""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""Groton""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""Groton"""
SAFETY ENGINEER,GBS (Global Broadcast Service),L3Harris,"El Segundo, California","""Hiring Manager"" AND ""L3Harris"" AND ""El Segundo""","""Program Manager"" AND ""L3Harris"" AND ""El Segundo""","(""Recruiter"" OR ""Talent Acquisition"") AND ""L3Harris"" AND ""El Segundo""","(""Subcontracts"" OR ""Supplier Management"") AND ""L3Harris""","""HR Business Partner"" AND ""L3Harris"" AND ""El Segundo"""
TSSCI CYBER CAPABILITIES TRAINER,Global Service Management – Operations I,Leidos,"Hampton, Virginia","""Hiring Manager"" AND ""Leidos"" AND ""Hampton""","""Program Manager"" AND ""Leidos"" AND ""Hampton""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Hampton""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Hampton"""
HARDWARE LAB STRING ENGINEER,Global Service Management – Operations I,Leidos,"Woburn, Massachusetts","""Hiring Manager"" AND ""Leidos"" AND ""Woburn""","""Program Manager"" AND ""Leidos"" AND ""Woburn""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Woburn""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Woburn"""
TS/SCI PROGRAM ADMINISTRATOR,Army AESD Enterprise Service Desk,SAIC,"San Antonio, Texas","""Hiring Manager"" AND ""SAIC"" AND ""San Antonio""","""Program Manager"" AND ""SAIC"" AND ""San Antonio""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""San Antonio""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""San Antonio"""
SUPPORT COUNSELOR,GBS (Global Broadcast Service),L3Harris,"Santa Cruz, California","""Hiring Manager"" AND ""L3Harris"" AND ""Santa Cruz""","""Program Manager"" AND ""L3Harris"" AND ""Santa Cruz""","(""Recruiter"" OR ""Talent Acquisition"") AND ""L3Harris"" AND ""Santa Cruz""","(""Subcontracts"" OR ""Supplier Management"") AND ""L3Harris""","""HR Business Partner"" AND ""L3Harris"" AND ""Santa Cruz"""
"TOP SECRET FSR ANALYST (WASHINGTON, DC & FT. CAMPBELL, KY)",Advanced Battle Management System,Multi,"Washington, District Of Columbia","""Hiring Manager"" AND ""Multi"" AND ""Washington""","""Program Manager"" AND ""Multi"" AND ""Washington""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Multi"" AND ""Washington""","(""Subcontracts"" OR ""Supplier Management"") AND ""Multi""","""HR Business Partner"" AND ""Multi"" AND ""Washington"""
SYSTEM ADMINISTRATOR II (BIG IP F5),Project Convergence (JADC2 Experiments),SAIC,"Montgomery, Alabama","""Hiring Manager"" AND ""SAIC"" AND ""Montgomery""","""Program Manager"" AND ""SAIC"" AND ""Montgomery""","(""Recruiter"" OR ""Talent Acquisition"") AND ""SAIC"" AND ""Montgomery""","(""Subcontracts"" OR ""Supplier Management"") AND ""SAIC""","""HR Business Partner"" AND ""SAIC"" AND ""Montgomery"""
SECRET CLEARED WINDOWS AND LINUX ADMIN,Advanced Battle Management System,Multi,"Pearl City, Hawaii","""Hiring Manager"" AND ""Multi"" AND ""Pearl City""","""Program Manager"" AND ""Multi"" AND ""Pearl City""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Multi"" AND ""Pearl City""","(""Subcontracts"" OR ""Supplier Management"") AND ""Multi""","""HR Business Partner"" AND ""Multi"" AND ""Pearl City"""
UH-60 SHEET METAL AIRCRAFT MECHANIC IIII,DISA Global Service Mgmt – Ops II,Leidos,"Meridianville, Alabama","""Hiring Manager"" AND ""Leidos"" AND ""Meridianville""","""Program Manager"" AND ""Leidos"" AND ""Meridianville""","(""Recruiter"" OR ""Talent Acquisition"") AND ""Leidos"" AND ""Meridianville""","(""Subcontracts"" OR ""Supplier Management"") AND ""Leidos""","""HR Business Partner"" AND ""Leidos"" AND ""Meridianville"""
PROJECT CONTROLS,Mission Partner Environment (Field Ops /,GDIT,"Dhs, Virginia","""Hiring Manager"" AND ""GDIT"" AND ""Dhs""","""Program Manager"" AND ""GDIT"" AND ""Dhs""","(""Recruiter"" OR ""Talent Acquisition"") AND ""GDIT"" AND ""Dhs""","(""Subcontracts"" OR ""Supplier Management"") AND ""GDIT""","""HR Business Partner"" AND ""GDIT"" AND ""Dhs"""
