Job Source,Job Number,Job Title,Job Location,Security Clearance,Employment Type,Date Posted,Matched Program,Program Acronym,Program Agency,Prime Contractor,Program Location,Contract Number,Match Score,Match Confidence,Match Reasons,Job URL
Insight Global,313138,ELECTRICAL ENGINEER,"Cockeysville, Maryland",Secret,Contract-to-perm,"Sep 25, 2023",Global Command and Control System – Joint (Variant),GCCS-J,DISA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,9,Medium,"Keywords: system, control, global; State: MD",https://insightglobal.com/jobs/find_a_job/maryland/cockeysville/electrical-engineer/job-313138/
Insight Global,479108,TS/SCI PROGRAM MANAGER,"San Antonio, Texas",TS/SCI,Contract-to-perm,"Jan 06, 2026",Army AESD Enterprise Service Desk,AESD,Army,SAIC,"SAN ANTONIO, TEXAS",FA877319FA023,10,High,Keywords: service; State: TX; City: SAN ANTONIO,https://insightglobal.com/jobs/find_a_job/texas/san-antonio/ts-sci-program-manager/job-479108/
Insight Global,480003,TRANSPORTATION AND SHIPPING COORDINATOR,"Mclean, Virginia",,Perm,"Jan 07, 2026",Defense Enterprise Office 365 Migration / DoD365,DOD365,DISA,Microsoft,"MCLEAN, VIRGINIA",47QFCA22F0047,10,High,Keywords: office; State: VA; City: MCLEAN,https://insightglobal.com/jobs/find_a_job/virginia/mclean/transportation-and-shipping-coordinator/job-480003/
Insight Global,480203,TS/SCI CI POLY SOFTWARE ENGINEER,"Colorado Springs, Colorado",TS/SCI Poly,Contract,"Jan 08, 2026",Army Enterprise Service Management Framework,AESMF,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,12,High,"Keywords: framework, service; State: CO; City: COLORADO SPRINGS",https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/ts-sci-ci-poly-software-engineer/job-480203/
Insight Global,461070,TS/SCI C++ SOFTWARE ENGINEER,"Redondo Beach, California",TS/SCI,Contract-to-perm,"Oct 28, 2025",Next-Gen OPIR (Ground + Payload),Next-Gen OPIR,Space Force,Northrop Grumman,"REDONDO BEACH, CALIFORNIA",FA881018C0006,10,High,Keywords: ground; State: CA; City: REDONDO BEACH,https://insightglobal.com/jobs/find_a_job/california/redondo-beach/ts-sci-c-software-engineer/job-461070/
Insight Global,478425,TS/SCI SYSTEM ADMINISTRATOR,"Grand Forks, North Dakota",TS/SCI,Contract-to-perm,"Jan 05, 2026",Global Network Operations (DISA GSM-O II),GSM-O II,DISA,Leidos,"HOUSTON, TEXAS",NNJ09HD46C,6,Medium,"Keywords: global, network, operations",https://insightglobal.com/jobs/find_a_job/north-dakota/grand-forks/ts-sci-system-administrator/job-478425/
Insight Global,481705,SYSTEMS ENGINEER - LEVEL 3,"Anaheim, California",Secret,"Contract,Perm Possible","Jan 12, 2026",GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),"ANAHEIM, CALIFORNIA",N0003022C2001,12,High,"Keywords: service, global; State: CA; City: ANAHEIM",https://insightglobal.com/jobs/find_a_job/california/anaheim/systems-engineer-level-3/job-481705/
Insight Global,464235,SR NETWORK DESIGN ENGINEER,"'Aiea, Hawaii",Secret,Contract-to-perm,"Nov 05, 2025",Global Network Operations (DISA GSM-O II),GSM-O II,DISA,Leidos,"HOUSTON, TEXAS",NNJ09HD46C,6,Medium,"Keywords: global, network, operations",https://insightglobal.com/jobs/find_a_job/hawaii/aiea/sr-network-design-engineer/job-464235/
Insight Global,481743,SECRET KNOWLEDGE MANAGEMENT SPECIALIST,"Suffolk, Virginia",Secret,Contract-to-perm,"Jan 12, 2026",Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,8,Medium,"Keywords: service, global, operations",https://insightglobal.com/jobs/find_a_job/virginia/suffolk/secret-knowledge-management-specialist/job-481743/
Insight Global,479588,DATA ENGINEER,"Scott Air Force Base, Illinois",Top Secret,Contract-to-perm,"Jan 07, 2026",DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: engineering, information, systems",https://insightglobal.com/jobs/find_a_job/illinois/scott-air-force-base/data-engineer/job-479588/
Insight Global,479717,SECRET NETWORK ADMINISTRATOR II (MIDNIGHTS),"Montgomery, Alabama",Secret,Contract-to-perm,"Jan 07, 2026",Project Convergence (JADC2 Experiments),PC,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,10,High,Acronym: PC,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/secret-network-administrator-ii-midnights-/job-479717/
Insight Global,483603,DATA ANALYST,"O'fallon, Illinois",Secret,Contract-to-perm,"Jan 16, 2026",NARSIL – Advanced Research for System Intelligence & Learning,NARSIL,IC,Peraton,"HERNDON, VIRGINIA",80GSFC19C0063,8,Medium,"Keywords: learning, research, advanced",https://insightglobal.com/jobs/find_a_job/illinois/ofallon/data-analyst/job-483603/
Insight Global,479003,FULL STACK ENGINEER,"Arlington, Virginia",TS/SCI,Contract-to-perm,"Jan 06, 2026",Army IT Enterprise Mgmt Systems Solution,ITEMSS,Army,CACI,"ARLINGTON, VIRGINIA",47QFRA19F0011,10,High,Keywords: systems; State: VA; City: ARLINGTON,https://insightglobal.com/jobs/find_a_job/virginia/arlington/full-stack-engineer/job-479003/
Insight Global,482779,PRE-DEPLOYMENT MANAGER,"Frederick, Maryland",,Contract,"Jan 14, 2026",DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,16,High,"Keywords: engineering, office, information; State: MD; City: FREDERICK",https://insightglobal.com/jobs/find_a_job/maryland/frederick/pre-deployment-manager/job-482779/
Insight Global,477171,SOFTWARE ARCHITECT,"Alexandria, Virginia",Secret,Contract,"Dec 18, 2025",Air Force Advanced Battle Management System,ABMS,Air Force,"Multiple: SAIC, Leidos, Booz Allen Hamilton","HERNDON, VIRGINIA",36C10B21N10150056,7,Medium,"Keywords: system, management; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/alexandria/software-architect/job-477171/
Insight Global,483240,TSSCI TIER 1 NETWORK MONITOR,"Beale AFB, California",TS/SCI,Contract-to-perm,"Jan 15, 2026",GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),"ANAHEIM, CALIFORNIA",N0003022C2001,7,Medium,"Keywords: service, global; State: CA",https://insightglobal.com/jobs/find_a_job/california/beale-afb/tssci-tier-1-network-monitor/job-483240/
Insight Global,477104,SHIPWRIGHT,"Kings Bay, Georgia",,Contract,"Dec 18, 2025",DISA Global Service Mgmt – Ops II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,4,Low,"Keywords: service, global",https://insightglobal.com/jobs/find_a_job/georgia/kings-bay/shipwright/job-477104/
Insight Global,436063,PROJECT MANAGER,"Madison, Alabama",,Perm,"Aug 21, 2025",DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: engineering, information, systems",https://insightglobal.com/jobs/find_a_job/alabama/madison/project-manager/job-436063/
Insight Global,296131,SECRET CLEARED SOLUTIONS ARCHITECT,"Saint Louis, Missouri",Secret,"Contract,Perm Possible","Jun 27, 2023",Global Solutions Management – Operations II,GSMO II,DISA,Leidos,"HOUSTON, TEXAS",NNJ09HD46C,6,Medium,"Keywords: global, management, solutions",https://insightglobal.com/jobs/find_a_job/missouri/saint-louis/secret-cleared-solutions-architect/job-296131/
Insight Global,461572,SENIOR INTEGRATION SPECIALIST,"Manassas, Virginia",Top Secret,Perm,"Oct 29, 2025",Data Center & Cloud Optimization,DCCO,DHS,Peraton / Leidos (indicative),"MC LEAN, VIRGINIA",GST0011AJ0025,9,Medium,"Keywords: center, data, cloud; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/manassas/senior-integration-specialist/job-461572/
Insight Global,453512,SECRET APPLICATION DEVELOPER,"Fairfax, Virginia",Secret,Contract-to-perm,"Oct 09, 2025",Army IT Enterprise Mgmt Systems Solution,ITEMSS,Army,CACI,"ARLINGTON, VIRGINIA",47QFRA19F0011,9,Medium,"Keywords: enterprise, solution, systems; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/fairfax/secret-application-developer/job-453512/
Insight Global,239458,EMBEDDED SOFTWARE ENGINEER,"Broomfield, Colorado",TS/SCI,Perm,"Nov 10, 2022","EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,SAIC,"COLORADO SPRINGS, COLORADO",FA251822F0034,7,Medium,"Keywords: engineering, development; State: CO",https://insightglobal.com/jobs/find_a_job/colorado/broomfield/embedded-software-engineer/job-239458/
Insight Global,483067,TSSCI CYBER ANALYST,"Hampton, Virginia",TS/SCI,Contract-to-perm,"Jan 15, 2026",Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,8,Medium,"Keywords: service, global, operations",https://insightglobal.com/jobs/find_a_job/virginia/hampton/tssci-cyber-analyst/job-483067/
Insight Global,481235,ISSO- TOP SECRET- ON SITE,"Oakton, Virginia",Top Secret,Contract-to-perm,"Jan 12, 2026",Air Force Advanced Battle Management System,ABMS,Air Force,"Multiple: SAIC, Leidos, Booz Allen Hamilton","HERNDON, VIRGINIA",36C10B21N10150056,7,Medium,"Keywords: system, management; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/oakton/isso-top-secret-on-site/job-481235/
Insight Global,481938,CYBER SECURITY ENGINEER,"Groton, Connecticut",,Contract-to-perm,"Jan 13, 2026",Army Enterprise Service Management Framework,AESMF,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,9,Medium,"Keywords: service, enterprise, management; State: CO",https://insightglobal.com/jobs/find_a_job/connecticut/groton/cyber-security-engineer/job-481938/
Insight Global,479788,SAFETY ENGINEER,"El Segundo, California",TS/SCI,Contract-to-perm,"Jan 07, 2026",GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),"ANAHEIM, CALIFORNIA",N0003022C2001,7,Medium,"Keywords: service, global; State: CA",https://insightglobal.com/jobs/find_a_job/california/el-segundo/safety-engineer/job-479788/
Insight Global,483098,TSSCI CYBER CAPABILITIES TRAINER,"Hampton, Virginia",TS/SCI,Contract-to-perm,"Jan 15, 2026",Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,6,Medium,"Keywords: service, global, operations",https://insightglobal.com/jobs/find_a_job/virginia/hampton/tssci-cyber-capabilities-trainer/job-483098/
Insight Global,479181,HARDWARE LAB STRING ENGINEER,"Woburn, Massachusetts",,Contract-to-perm,"Jan 06, 2026",Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,8,Medium,"Keywords: service, global, operations",https://insightglobal.com/jobs/find_a_job/massachusetts/woburn/hardware-lab-string-engineer/job-479181/
Insight Global,479672,TS/SCI PROGRAM ADMINISTRATOR,"San Antonio, Texas",TS/SCI,Contract-to-perm,"Jan 07, 2026",Army AESD Enterprise Service Desk,AESD,Army,SAIC,"SAN ANTONIO, TEXAS",FA877319FA023,10,High,Keywords: service; State: TX; City: SAN ANTONIO,https://insightglobal.com/jobs/find_a_job/texas/san-antonio/ts-sci-program-administrator/job-479672/
Insight Global,479037,SUPPORT COUNSELOR,"Santa Cruz, California",,Perm,"Jan 06, 2026",GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),"ANAHEIM, CALIFORNIA",N0003022C2001,7,Medium,"Keywords: service, global; State: CA",https://insightglobal.com/jobs/find_a_job/california/santa-cruz/support-counselor/job-479037/
Insight Global,467119,"TOP SECRET FSR ANALYST (WASHINGTON, DC & FT. CAMPBELL, KY)","Washington, District Of Columbia",Top Secret,Contract,"Nov 13, 2025",Advanced Battle Management System,ABMS,Air Force,Multi (SAIC supports parts),"COLORADO SPRINGS, COLORADO",FA251822F0034,7,Medium,"Keywords: system, advanced; State: CO",https://insightglobal.com/jobs/find_a_job/district-of-columbia/washington/top-secret-fsr-analyst-washington-dc-ft-campbell-ky-/job-467119/
Insight Global,468922,SYSTEM ADMINISTRATOR II (BIG IP F5),"Montgomery, Alabama",Secret,Contract-to-perm,"Nov 19, 2025",Project Convergence (JADC2 Experiments),PC,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,10,High,Acronym: PC,https://insightglobal.com/jobs/find_a_job/alabama/montgomery/system-administrator-ii-big-ip-f5-/job-468922/
Insight Global,478431,SECRET CLEARED WINDOWS AND LINUX ADMIN,"Pearl City, Hawaii",Secret,Contract-to-perm,"Jan 05, 2026",Advanced Battle Management System,ABMS,Air Force,Multi (SAIC supports parts),"COLORADO SPRINGS, COLORADO",FA251822F0034,6,Medium,"Keywords: system, advanced, management",https://insightglobal.com/jobs/find_a_job/hawaii/pearl-city/secret-cleared-windows-and-linux-admin/job-478431/
Insight Global,482651,UH-60 SHEET METAL AIRCRAFT MECHANIC IIII,"Meridianville, Alabama",Secret,Contract-to-perm,"Jan 14, 2026",DISA Global Service Mgmt – Ops II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,4,Low,"Keywords: service, global",https://insightglobal.com/jobs/find_a_job/alabama/meridianville/uh-60-sheet-metal-aircraft-mechanic-iiii/job-482651/
Insight Global,402196,PROJECT CONTROLS,"Dhs, Virginia",Public Trust,Contract-to-perm,"Feb 12, 2025",Mission Partner Environment (Field Ops / MPCO),MPE / MPCO,Air Force,GDIT,"SPRINGFIELD, VIRGINIA",19AQMM18C0185,7,Medium,"Keywords: environment, field; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/dhs/project-controls/job-402196/
Insight Global,474162,DEPUTY PROGRAM MANAGER,"Chambersburg, Pennsylvania",Secret,Perm,"Dec 08, 2025",Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,8,Medium,"Keywords: service, global, operations",https://insightglobal.com/jobs/find_a_job/pennsylvania/chambersburg/deputy-program-manager/job-474162/
Insight Global,474958,"INFORMATION SYSTEM SECURITY MANAGER (ISSM) - WARREN, MICHIGAN","Sterling Heights, Michigan",,Contract-to-perm,"Dec 10, 2025",Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,6,Medium,"Keywords: service, global, management",https://insightglobal.com/jobs/find_a_job/michigan/sterling-heights/information-system-security-manager-issm-warren-michigan/job-474958/
Insight Global,476039,AEROMECHANICAL ENGINEER,"Solana Beach, California",Secret,Contract,"Dec 15, 2025",GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),"ANAHEIM, CALIFORNIA",N0003022C2001,7,Medium,"Keywords: service, global; State: CA",https://insightglobal.com/jobs/find_a_job/california/solana-beach/aeromechanical-engineer/job-476039/
Insight Global,476770,CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I,"Wailuku, Hawaii",Top Secret,Perm,"Dec 17, 2025",DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,4,Low,"Keywords: information, systems",https://insightglobal.com/jobs/find_a_job/hawaii/wailuku/construction-surveillance-technician-cst-i/job-476770/
Insight Global,482180,SR. SOFTWARE ENGINEER W/ POLYGRAPH,"Sully, Virginia",TS/SCI Poly,Perm,"Jan 13, 2026",CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,Peraton / SAIC (indicative),"HERNDON, VIRGINIA",47QFCA20F0015,9,Medium,"Keywords: infrastructure, cloud, enterprise; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/sully/sr-software-engineer-w-polygraph/job-482180/
Insight Global,477098,SHIPFITTER,"Kings Bay, Georgia",,Contract,"Dec 18, 2025",Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,6,Medium,"Keywords: service, global, operations",https://insightglobal.com/jobs/find_a_job/georgia/kings-bay/shipfitter/job-477098/
Insight Global,483144,QUALITY ENGINEER,"Cleveland, Ohio",,Contract-to-perm,"Jan 15, 2026",DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: engineering, information, systems",https://insightglobal.com/jobs/find_a_job/ohio/cleveland/quality-engineer/job-483144/
Insight Global,453521,SECRET SATELLITE SYSTEMS ENGINEER,"Grand Forks, North Dakota",Secret,Contract-to-perm,"Oct 09, 2025",DIA Information Systems Engineering Office,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,6,Medium,"Keywords: engineering, information, systems",https://insightglobal.com/jobs/find_a_job/north-dakota/grand-forks/top-secret-satellite-systems-engineer/job-453521/
Insight Global,459677,TOP SECRET OPERATIONS SUPPORT ENGINEER,"Huntsville, Alabama",Top Secret,Contract,"Oct 24, 2025",Project Convergence (JADC2 Experiments),PC,Army,SAIC,"COLORADO SPRINGS, COLORADO",W15QKN19F1290,10,High,Acronym: PC,https://insightglobal.com/jobs/find_a_job/alabama/huntsville/top-secret-operations-support-engineer/job-459677/
Insight Global,479699,SECRET DATABASE ENGINEER,"Herndon, Virginia",Secret,Contract,"Jan 07, 2026",NARSIL – Advanced Research for System Intelligence & Learning,NARSIL,IC,Peraton,"HERNDON, VIRGINIA",80GSFC19C0063,18,High,"Keywords: learning, intelligence, research; State: VA; City: HERNDON",https://insightglobal.com/jobs/find_a_job/virginia/herndon/secret-database-engineer/job-479699/
Insight Global,436233,SECRET DATACENTER SME,"Suffolk, Virginia",Secret,Contract-to-perm,"Aug 20, 2025",CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,Peraton / SAIC (indicative),"HERNDON, VIRGINIA",47QFCA20F0015,9,Medium,"Keywords: infrastructure, cloud, enterprise; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/suffolk/secret-datacenter-sme/job-436233/
Insight Global,454385,"SECRET FSR ANALYST (CALIBAN: SAN FRANCISCO, CA; MIAMI, FL; JUNEAU, AK)","San Francisco, California",Secret,Contract,"Oct 12, 2025",Intelligence Systems Enterprise Operations,ISEO,DIA,Leidos,"FREDERICK, MARYLAND",HHSN261200800001E,8,Medium,"Keywords: intelligence, operations, enterprise",https://insightglobal.com/jobs/find_a_job/california/san-francisco/secret-fsr-analyst-washington-dc-/job-454385/
Insight Global,483590,AIR MOBILITY OPERATIONS SME,"O'fallon, Illinois",Top Secret,Contract-to-perm,"Jan 16, 2026",Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,8,Medium,"Keywords: service, global, operations",https://insightglobal.com/jobs/find_a_job/illinois/ofallon/air-mobility-operations-sme/job-483590/
Insight Global,477769,ELECTRO-MECHANICAL ASSEMBLY TECHNICIAN,"San Diego, California",Secret,Contract-to-perm,"Dec 23, 2025",GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),"ANAHEIM, CALIFORNIA",N0003022C2001,7,Medium,"Keywords: service, global; State: CA",https://insightglobal.com/jobs/find_a_job/california/san-diego/electro-mechanical-assembly-technician/job-477769/
Insight Global,350529,SENIOR MECHANICAL EQUIPMENT & TOOL ENGINEER,"Seattle, Washington",Top Secret,"Contract,Perm Possible","Apr 10, 2024","EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,SAIC,"COLORADO SPRINGS, COLORADO",FA251822F0034,6,Medium,"Keywords: engineering, integration, development",https://insightglobal.com/jobs/find_a_job/washington/seattle/senior-mechanical-equipment-tool-engineer/job-350529/
Insight Global,475841,SUPERINTENDENT - MILCON,"Fort Bliss, Texas",Secret,Contract-to-perm,"Dec 15, 2025",Global Solutions Management – Operations II,GSMO II,DISA,Leidos,"HOUSTON, TEXAS",NNJ09HD46C,9,Medium,"Keywords: global, operations, solutions; State: TX",https://insightglobal.com/jobs/find_a_job/texas/fort-bliss/superintendent-milcon/job-475841/
Insight Global,479753,V-22 AIRCRAFT MAINTENANCE AND MODIFICATION TECHNICIAN,"San Diego, California",Secret,Contract,"Jan 07, 2026",GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),"ANAHEIM, CALIFORNIA",N0003022C2001,7,Medium,"Keywords: service, global; State: CA",https://insightglobal.com/jobs/find_a_job/california/san-diego/v-22-aircraft-maintenance-and-modification-technician/job-479753/
Insight Global,482139,SECRET LEAD F-16 SIMULATOR TECHNICIAN,"Sunset, Utah",Secret,Contract-to-perm,"Jan 13, 2026",Global Command and Control System – Joint,GCCS-J,DISA,Northrop Grumman,"ROY, UTAH",FA821920C0006,7,Medium,"Keywords: system, global; State: UT",https://insightglobal.com/jobs/find_a_job/utah/sunset/secret-lead-f-16-simulator-technician/job-482139/
Insight Global,460481,TS/SCI - SENIOR SURVIVABILITY ENGINEER,"Huntsville, Alabama",TS/SCI,Perm,"Oct 28, 2025",Aegis Ballistic Missile Defense / Aegis Program,Aegis,Navy,Lockheed Martin,"FORT WORTH, TEXAS",N0001917C0001,6,Medium,"Keywords: missile, program, defense",https://insightglobal.com/jobs/find_a_job/alabama/huntsville/ts-sci-senior-survivability-engineer/job-460481/
Insight Global,483792,SECRET SOFTWARE ENGINEER,"Colorado Springs, Colorado",Top Secret,Contract,"Jan 16, 2026","EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,SAIC,"COLORADO SPRINGS, COLORADO",FA251822F0034,14,High,"Keywords: engineering, integration, development; State: CO; City: COLORADO SPRINGS",https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/secret-software-engineer/job-483792/
Insight Global,314201,CLEARED ELECTRONIC WARFARE ENGINEER,"Manchester, New Hampshire",Top Secret,Perm,"Sep 29, 2023","EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,SAIC,"COLORADO SPRINGS, COLORADO",FA251822F0034,8,Medium,"Keywords: engineering, integration, sustainment",https://insightglobal.com/jobs/find_a_job/new-hampshire/manchester/cleared-electronic-warfare-engineer/job-314201/
Insight Global,455231,CYBER SYSTEMS & NETWORK OPERATIONS SPECIALIST- TS,"Lincoln, Massachusetts",Top Secret,Contract,"Oct 14, 2025","NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Navy,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,10,High,"Keywords: integration, service, network",https://insightglobal.com/jobs/find_a_job/massachusetts/lincoln/cyber-systems-network-operations-specialist-ts/job-455231/
Insight Global,462446,SECRET AMPHIBIOUS RAIDS INSTRUCTOR,"Jacksonville, North Carolina",Secret,Perm,"Oct 31, 2025",GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),"ANAHEIM, CALIFORNIA",N0003022C2001,7,Medium,"Keywords: service, global; State: CA",https://insightglobal.com/jobs/find_a_job/north-carolina/jacksonville/secret-amphibious-raids-instructor/job-462446/
Insight Global,479658,TS/SCI SENIOR DEVSECOPS ENGINEER,"Hanahan, South Carolina",TS/SCI,Contract-to-perm,"Jan 07, 2026",GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),"ANAHEIM, CALIFORNIA",N0003022C2001,7,Medium,"Keywords: service, global; State: CA",https://insightglobal.com/jobs/find_a_job/south-carolina/hanahan/ts-sci-senior-devsecops-engineer/job-479658/
Insight Global,449101,CBP GCP PLATFORM ENGINEER (MID-LEVEL),"Broad Run, Virginia",Top Secret,Perm,"Sep 26, 2025",CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,Peraton / SAIC (indicative),"HERNDON, VIRGINIA",47QFCA20F0015,9,Medium,"Keywords: infrastructure, cloud, services; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/broad-run/cbp-gcp-platform-engineer-mid-level-/job-449101/
Insight Global,437999,TS/SCI - GCCS SYSTEMS ENGINEER,"Colorado Springs, Colorado",TS/SCI,Contract-to-perm,"Aug 04, 2025","EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,SAIC,"COLORADO SPRINGS, COLORADO",FA251822F0034,12,High,"Keywords: sustainment, development; State: CO; City: COLORADO SPRINGS",https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/ts-sci-gccs-systems-engineer/job-437999/
Insight Global,476933,TOP SECRET ELECTRONICS EXPLOITATION DEPLOYER,"Aberdeen Proving Ground, Maryland",TS/SCI,Contract-to-perm,"Dec 18, 2025",DISA JWCC – Joint Warfighting Cloud Capability,JWCC,DISA,Amazon; Microsoft; Google; Oracle,"ABERDEEN PROVING GROUND, MARYLAND",W91CRB20F0448,8,Medium,State: MD; City: ABERDEEN PROVING GROUND,https://insightglobal.com/jobs/find_a_job/maryland/aberdeen-proving-ground/top-secret-electronics-exploitation-deployer/job-476933/
Insight Global,453153,ELECTRICAL ENGINEER 4,"Tucson, Arizona",Secret,Contract,"Oct 08, 2025",Integrated Digital Engineering Environment,IDEE,Air Force,Northrop Grumman,"ROY, UTAH",FA821920C0006,8,Medium,"Keywords: engineering, environment, integrated",https://insightglobal.com/jobs/find_a_job/arizona/tucson/electrical-engineer-4/job-453153/
Insight Global,478759,CAPTURE MANAGER,"Huntsville, Alabama",Secret,Contract-to-perm,"Jan 05, 2026",Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,8,Medium,"Keywords: service, global, operations",https://insightglobal.com/jobs/find_a_job/alabama/huntsville/capture-manager/job-478759/
Insight Global,481972,SECRET NETWORK ENGINEER,"Fairfax, Virginia",Secret,Contract-to-perm,"Jan 13, 2026","NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Navy,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,10,High,"Keywords: next, generation, service",https://insightglobal.com/jobs/find_a_job/virginia/fairfax/secret-network-engineer/job-481972/
Insight Global,476455,COLDFUSION DEVELOPER,"New York, New York",,Contract-to-perm,"Dec 17, 2025",Global Service Management – Operations II,GSM-O II,DISA,Leidos,"MORGANTOWN, WEST VIRGINIA",89243318CFE000003,6,Medium,"Keywords: service, global, management",https://insightglobal.com/jobs/find_a_job/new-york/new-york/coldfusion-developer/job-476455/
Insight Global,476549,CNC PROGRAMMER,"Jacksonville, Florida",,Contract,"Dec 17, 2025",Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment,AMRAAM,Air Force,Raytheon,"ANDOVER, MASSACHUSETTS",W31P4Q15C0022,4,Low,"Keywords: production, range",https://insightglobal.com/jobs/find_a_job/florida/jacksonville/cnc-programmer/job-476549/
Insight Global,479258,JUNIOR NUCLEAR HARDNESS ELECTRICAL ENGINEER,"Hill AFB, Utah",Secret,Contract,"Jan 06, 2026",SPICE (Space Payload Integration & Cyber Eng),SPICE,Space Force,SAIC / LinQuest (indicative),"SAN ANTONIO, TEXAS",FA877319FA023,14,High,"Acronym: SPICE; Keywords: spice, integration",https://insightglobal.com/jobs/find_a_job/utah/hill-afb/junior-nuclear-hardness-electrical-engineer/job-479258/
Insight Global,477425,SIMULATION SYSTEMS ENGINEER II,"Suffolk, Virginia",,Contract-to-perm,"Dec 19, 2025",NARSIL – Advanced Research for System Intelligence & Learning,NARSIL,IC,Peraton,"HERNDON, VIRGINIA",80GSFC19C0063,11,High,"Keywords: learning, research, system; State: VA",https://insightglobal.com/jobs/find_a_job/virginia/suffolk/simulation-systems-engineer-ii/job-477425/
Insight Global,426530,CLEARED GNC SR. PRINCIPAL ENGINEER,"Chandler, Arizona",,Contract-to-perm,"Jun 25, 2025",Hypersonic & Ballistic Tracking Space Sensor,HBTSS,MDA,Northrop & L3Harris (co-primes),"CHANDLER, ARIZONA",HQ085621C0003,14,High,"Keywords: hypersonic, space, tracking; State: AZ; City: CHANDLER",https://insightglobal.com/jobs/find_a_job/arizona/chandler/cleared-gnc-sr-principal-engineer/job-426530/
