program_name,full_name,agency,piid,recipient_name,award_amount,description,start_date,end_date,awarding_agency,awarding_sub_agency,source,urgency
SEWP,Solutions for Enterprise-Wide Procurement V,NASA,19AQMM25F0979,"THUNDERCAT TECHNOLOGY, LLC",43731177.36,NASA SEWP AGENCY CATALOGUE-BASED DELIVERY ORDER SERVICENOW ELA RENEWAL.,2025-06-29,2026-06-28,Department of State,Department of State,USAspending,HIGH - 6 months
STRATCOM,Strategic Command,DoD,47QFCA25F0018,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",37594174.0,STRATEGIC COMMAND INFORMATION TECHNOLOGY LIFECYCLE SUPPORT (SCITLS) TASK ORDER AWARD,2025-06-30,2026-06-29,General Services Administration,Federal Acquisition Service,USAspending,HIGH - 6 months
CYBERCOM,Cyber Command,DoD,FA830725FB089,"MAXIMUS FEDERAL SERVICES, INC.",4518650.87,JOINT CYBER COMMAND AND CONTROL ENTERPRISE SERVICE CENTER,2025-06-30,2026-06-29,Department of Defense,Department of the Air Force,USAspending,HIGH - 6 months
NGA,National Geospatial-Intelligence Agency,DoD,FA862623F0004,RTX CORPORATION,373845353.65,PRATT & WHITNEY NGAP PROTOTYPING,2023-01-26,2026-06-30,Department of Defense,Department of the Air Force,USAspending,HIGH - 6 months
V-22,V-22 Osprey,DoD,N0001921F0327,BELL BOEING JOINT PROJECT OFFICE,190848627.11,NON-RECURRING ENGINEERING (NRE)FOR V-22 FLIGHT CONTROL SYSTEM.,2021-09-30,2026-06-30,Department of Defense,Department of the Navy,USAspending,HIGH - 6 months
OASIS,One Acquisition Solution for Integrated Services,GSA,DTFAWA15C00006,"L3HARRIS TECHNOLOGIES, INC.",115763415.11,OPERATIONAL AND SUPPORTABILITY IMPLEMENTATION SYSTEM (OASIS) II  IGF::OT::IGF,2014-12-24,2026-06-30,Department of Transportation,Federal Aviation Administration,USAspending,HIGH - 6 months
EIS,Enterprise Infrastructure Solutions,GSA,693KA820F00178,"AT&T ENTERPRISES, LLC",51413286.48,TELECOMMUNICATION SERVICES FOR THE DOT SCOPE OF WORK FROM THE GSA GWAC ENTERPRISE INFRASTRUCTURE SOLUTIONS (EIS) PROGRAM.,2020-09-27,2026-06-30,Department of Transportation,Federal Highway Administration,USAspending,HIGH - 6 months
INDOPACOM,Indo-Pacific Command,DoD,47QFPA21F0045,VALIANT GLOBAL DEFENSE SERVICES INC.,21225017.04,ID09210019  INDOPACOM TECHNICAL MANAGEMENT AND ANALYTIC SUPPORT SERVICES,2021-07-01,2026-06-30,General Services Administration,Federal Acquisition Service,USAspending,HIGH - 6 months
EIS,Enterprise Infrastructure Solutions,GSA,1305M424F0046,VERIZON BUSINESS NETWORK SERVICES LLC,16035935.0,THIS IS A FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT TASK ORDER FOR THE NATIONAL WEATHER SERVICE FOR TELECOMMUNICATIONS INFRASTRUCTURE TRANSITION TO THE ENTERPRISE INFRASTRUCTURE SOLUTIONS (EIS) IDIQ CONTRACT.,2024-07-01,2026-06-30,Department of Commerce,National Oceanic and Atmospheric Administration,USAspending,HIGH - 6 months
GBSD,Ground Based Strategic Deterrent,DoD,W9123823F0048,"BURNS & MCDONNELL ENGINEERING COMPANY, INC.",7466658.27,"PROJECT TITLE AND LOCATION:  GROUND BASED STRATEGIC DETERRENT (GBSD) RE-ENTRY VEHICLE FACILITY, VANDENBERG SPACE FORCE BASE (SFB), CA",2023-08-16,2026-06-30,Department of Defense,Department of the Army,USAspending,HIGH - 6 months
DEOS,Defense Enterprise Office Solutions,DoD,47QFHA23F0014,DELL MARKETING L.P.,7077846.58,DMDC O365 SUBSCRIPTION LICENSES  DEOS,2023-07-01,2026-06-30,General Services Administration,Federal Acquisition Service,USAspending,HIGH - 6 months
ABMS,Advanced Battle Management System,DoD,W9128A21F0038,"FUNG ASSOCIATES, INC.",4752511.0,"FY21 ABMC INTERPRETIVE CENTER NATIONAL MEMORIAL CEMETERY OF THE PACIFIC, OAHU, HAWAII",2021-05-28,2026-06-30,Department of Defense,Department of the Army,USAspending,HIGH - 6 months
SOUTHCOM,Southern Command,DoD,W91QEX22P0021,"RED RIVER SCIENCE & TECHNOLOGY, LLC",1068529.5,"THIS IS A NON PERSONAL SERVICES CONTRACT TO PROVIDE LOGISTICS SUPPORT SERVICES FOR LOGISTICS READINESS CENTER (LRC) MIAMI IN SUPPORT OF US SOUTHERN COMMAND (USSOUTHCOM), TENANT UNITS, AND US ARMY GARRISON MIAMI (USAGM).",2022-07-01,2026-06-30,Department of Defense,Department of the Army,USAspending,HIGH - 6 months
OASIS,One Acquisition Solution for Integrated Services,GSA,W31P4Q21F0033,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,508476696.68,"SINGLE AWARD TO AGAINST GSA OASIS UR (POOL 5A) FOR  HWIL AVIATION SYSTEMS ENGINEERING SERVICES TO PROVIDE FULL LIFE CYCLE SUPPORT FOR HIGH FIDELITY AVIATION SYSTEM SIMULATORS, HWIL CAPABILITIES, AND ASSOCIATED TEST TOOLS IN SUPPORT OF S3I.",2021-01-06,2026-07-05,Department of Defense,Department of the Army,USAspending,HIGH - 6 months
EIS,Enterprise Infrastructure Solutions,GSA,2032H520F00242,"GRANITE TELECOMMUNICATIONS, LLC",15926393.25,LOCAL SERVICE AGREEMENTS ENTERPRISE INFRASTRUCTURE SOLUTIONS (LSAEIS) TRANSITION PROJECT,2020-07-10,2026-07-09,Department of the Treasury,Internal Revenue Service,USAspending,HIGH - 6 months
CENTCOM,Central Command,DoD,W58P0524C0004,"ECHELON SERVICES, LLC",26118910.0,"CISCO SYSTEMS, INC. (CISCO) COMMERCIAL OFF-THE SHELF (COTS) CROSS ARCHITECTURE CROSS ARCHITECTURE ENTERPRISE AGREEMENT (EA) BUNDLE (THE CISCO EA BUNDLE) IN SUPPORT OF REQUIRING AGENCY US AIR FORCES CENTRAL COMMAND (AFCENT)",2024-07-12,2026-07-11,Department of Defense,Department of the Army,USAspending,HIGH - 6 months
CENTCOM,Central Command,DoD,W58P0524C0005,"ECHELON SERVICES, LLC",19023734.0,"CISCO SYSTEMS, INC. (CISCO) COMMERCIAL OFF-THE SHELF (COTS) NUTANIX ENTERPRISE AGREEMENT (EA) BUNDLE (THE CISCO EA BUNDLE) IN SUPPORT OF REQUIRING AGENCY US AIR FORCE CENTRAL COMMAND",2024-07-12,2026-07-11,Department of Defense,Department of the Army,USAspending,HIGH - 6 months
SeaPort,SeaPort Next Generation,DoD,N6600122F3509,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,34090327.06,ISEA NEN SEAPORT,2022-07-13,2026-07-12,Department of Defense,Department of the Navy,USAspending,HIGH - 6 months
ECMA,Enterprise Cloud Management Agency,DoD,W519TC25FA065,"NEW TECH SOLUTIONS, INC.",132961.5,THE ENTERPRISE CLOUD MANAGEMENT AGENCY (ECMA) REQUESTS A FIRM-FIXED-PRICE DELIVERY ORDER FOR ONE SONARSOURCE SONARQUBE ENTERPRISE SOFTWARE LICENSE. ACC-RI WILL EXECUTE THIS ACTION AGAINST THE CHESS ITES-SW2 ORDERING VEHICLE.,2025-07-13,2026-07-12,Department of Defense,Department of the Army,USAspending,HIGH - 6 months
ECMO,Enterprise Cloud Management Office,DoD,36C26125N0482,ECMO PRN LLC,96525.0,ECMO TRANSPORTATION,2025-07-15,2026-07-14,Department of Veterans Affairs,Department of Veterans Affairs,USAspending,HIGH - 6 months
Sentinel,LGM-35A Sentinel ICBM,DoD,FA820723F0010,"TECOLOTE RESEARCH, INC.",26355210.91,SENTINEL SYSTEMS DIRECTORATE FINANCIAL MANAGEMENT ADVISORY AND ASSISTANCE SERVICES SUPPORT,2023-07-06,2026-07-15,Department of Defense,Department of the Air Force,USAspending,HIGH - 6 months
SPACECOM,Space Command,DoD,FA930124P0038,"INTEGRATED DATA SERVICES, LLC",1837368.16,COMPREHENSIVE COST AND REQUIREMENTS SYSTEM SPACECOM,2024-07-26,2026-07-25,Department of Defense,Department of the Air Force,USAspending,MEDIUM - 1 year
OASIS,One Acquisition Solution for Integrated Services,GSA,FA462621F0027,"DUCOM, INCORPORATED",3185423.36,ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES FOR MALMSTROM AIR FORCE BASE,2021-07-20,2026-07-27,Department of Defense,Department of the Air Force,USAspending,MEDIUM - 1 year
DARPA,Defense Advanced Research Projects Agency,DoD,HR001125F0451,THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC,46994259.0,DARPA RESEARCH PROGRAM SUPPORT SERVICES,2024-10-25,2026-07-28,Department of Defense,Defense Advanced Research Projects Agency,USAspending,MEDIUM - 1 year
CYBERCOM,Cyber Command,DoD,N0017822F3015,"RITE-SOLUTIONS, INC.",32799288.06,"A40 CYBER ASSURANCE. FOLLOW-ON TO N00178-14-D-7758/0002 (INFO RELIANCE CORP.). THE SCOPE OF THIS TASK ORDER COVERS ENGINEERING SUPPORT FOR CYBER SITUATIONAL AWARENESS (SA),CYBER COMMAND AND CONTROL (C2), MISSION ASSURANCE, AND HOMELAND DEFENSE.",2022-07-29,2026-07-28,Department of Defense,Department of the Navy,USAspending,MEDIUM - 1 year
SeaPort,SeaPort Next Generation,DoD,N6426724F3008,"CACI, INC. - FEDERAL",28733232.27,"THE NSWC CORONA DIVISION, ANTICIPATES A TASK ORDER REQUIREMENT UNDER SEAPORT NXG MAC TO PROVIDE ENGINEERING SUPPORT SERVICES TO THE PERFORMANCE ASSESSMENT (PA) AND ACQUISITION AND READINESS (AR) DEPARTMENTS.",2024-07-31,2026-07-30,Department of Defense,Department of the Navy,USAspending,MEDIUM - 1 year
INDOPACOM,Indo-Pacific Command,DoD,W912BV25FA025,JG&A-TSG JV,606725.33,US INDO PACIFIC COMMAND (INDOPACOM) FY25 AMMO FACILITIES DD1391S,2025-07-31,2026-07-30,Department of Defense,Department of the Army,USAspending,MEDIUM - 1 year
EUCOM,European Command,DoD,FA564121F0016,PARSONS GOVERNMENT SERVICES INC.,50196554.32,THE CONTRACTOR SHALL PARTICIPATE IN THE ONGOING RADSIL DEVELOPMENT ACTIVITIES TO ENSURE THE DESIGN OF AN EFFECTIVE AND SUSTAINABLE ABAD CAPABILITY TO BE PRODUCED IN SUBSEQUENT PHASES FOR RAMSTEIN AND ACROSS THE DESIGNATED BASES WITHIN EUCOM/AFRICOM.,2021-08-01,2026-07-31,Department of Defense,Department of the Air Force,USAspending,MEDIUM - 1 year
AFRICOM,Africa Command,DoD,FA564121F0016,PARSONS GOVERNMENT SERVICES INC.,50196554.32,THE CONTRACTOR SHALL PARTICIPATE IN THE ONGOING RADSIL DEVELOPMENT ACTIVITIES TO ENSURE THE DESIGN OF AN EFFECTIVE AND SUSTAINABLE ABAD CAPABILITY TO BE PRODUCED IN SUBSEQUENT PHASES FOR RAMSTEIN AND ACROSS THE DESIGNATED BASES WITHIN EUCOM/AFRICOM.,2021-08-01,2026-07-31,Department of Defense,Department of the Air Force,USAspending,MEDIUM - 1 year
INDOPACOM,Indo-Pacific Command,DoD,47QFCA25F0010,DELOITTE CONSULTING LLP,31348085.0,THE PURPOSE OF THIS AWARD IS TO PROVIDE ENTERPRISE-WIDE PROFESSIONAL SERVICES TO SUPPORT UNITED STATES INDO-PACIFIC COMMAND.,2025-03-01,2026-07-31,General Services Administration,Federal Acquisition Service,USAspending,MEDIUM - 1 year
EIS,Enterprise Infrastructure Solutions,GSA,05GA0A23F0032,"LUMEN TECHNOLOGIES GOVERNMENT SOLUTIONS, INC.",25875639.3,"THE PURPOSE OF THIS ACTION IS TO ESTABLISH A TASK ORDER AGAINST GSAS ENTERPRISE INFRASTRUCTURE SOLUTIONS (EIS) CONTRACT WITH A BASE AND EIGHT (8) OPTION PERIODS, FOR GAO NETWORK/DATA, VOICE AND MANAGED SERVICES.",2023-08-01,2026-07-31,Government Accountability Office,"GAO, Except Comptroller General",USAspending,MEDIUM - 1 year
SPACECOM,Space Command,DoD,FA251825F0035,"BOWHEAD TOTAL ENTERPRISE SOLUTIONS, LLC",16134499.49,PRIMARY INFORMATION TECHNOLOGY AND CYBER RELATED DATA-SYSTEMS II FOR US SPACE COMMAND,2025-07-03,2026-07-31,Department of Defense,Department of the Air Force,USAspending,MEDIUM - 1 year
SeaPort,SeaPort Next Generation,DoD,N6660421F3008,"RITE-SOLUTIONS, INC.",15230808.19,"SERVICE BASED SEAPORT TASK ORDER TO PROVIDE TECHNICAL SERVICES PERTAINING TO THE DEVELOPMENT, INTEGRATION, TEST AND EVALUATION, MODERNIZATION, AND SUSTAINMENT OF THE SUBLAN AND CANES SUBMARINE NETWORKS.",2021-07-23,2026-07-31,Department of Defense,Department of the Navy,USAspending,MEDIUM - 1 year
ABMS,Advanced Battle Management System,DoD,FA489023F0076,VECTOR CSP LLC,7608910.98,"PROVIDE ACC/A5Y WITH EXPERTISE IN AREAS SUCH AS JCIDS AND PPBE IN SUPPORT OF MAINTAINING, SUSTAINING ALL CURRENT A5Y C2 WEAPONS SYSTEMS AND ADVANCING THE E-7 ABMS CAPABILITY THAT CURRENTLY RESIDES WITHIN THE E-3 AWACS.",2023-08-01,2026-07-31,Department of Defense,Department of the Air Force,USAspending,MEDIUM - 1 year
V-22,V-22 Osprey,DoD,N0042124F3014,"WARD ENG SUPPORT SERVICES, INC.",7316410.43,PMA-275 V-22 OSPREY PROGRAM PROJECT MANAGEMENT,2024-05-24,2026-07-31,Department of Defense,Department of the Navy,USAspending,MEDIUM - 1 year
STRATCOM,Strategic Command,DoD,FA807525F0051,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,6919452.09,"P1 24 2591 TECHNOLOGY INSERTION, SYSTEMS ENGINEERING, TRAINING, AND ANALYSIS FOR THE UNITED STATES STRATEGIC COMMAND",2025-08-01,2026-07-31,Department of Defense,Department of the Air Force,USAspending,MEDIUM - 1 year
EIS,Enterprise Infrastructure Solutions,GSA,36C10A25F0009,MANHATTAN TELECOMMUNICATIONS CORPORATION LLC,4148352.0,VA ENTERPRISE INFRASTRUCTURE SOLUTIONS PLAIN OLD TELEPHONE SERVICE (POTS) REPLACEMENT SERVICES,2025-08-01,2026-07-31,Department of Veterans Affairs,Department of Veterans Affairs,USAspending,MEDIUM - 1 year
INDOPACOM,Indo-Pacific Command,DoD,W912BV24F0094,"ALLIANCE WSP JV, LLC",1057694.87,US INDO PACIFIC COMMAND (INDOPACOM) PAPUA NEW GUINEA FULL JOINT AREA DEVELOPMENT PLAN,2024-08-01,2026-07-31,Department of Defense,Department of the Army,USAspending,MEDIUM - 1 year
CMMC,Cybersecurity Maturity Model Certification,DoD,HC102825F0772,BOOZ ALLEN HAMILTON INC,473992.27,ENTERPRISE MISSION ASSURANCE SUPPORT SERVICE OPERATION AND SUSTAINMENT FOR CYBERSECURITY MATURITY MODEL CERTIFICATION - CROSS DOMAIN SOLUTION,2025-08-04,2026-08-03,Department of Defense,Defense Information Systems Agency,USAspending,MEDIUM - 1 year
NGAD,Next Generation Air Dominance,DoD,W911QY24C0048,NEWTON LLC,1541983.99,"BAA WITH NEWTON, NGADS PROJECT.",2024-08-08,2026-08-07,Department of Defense,Department of the Army,USAspending,MEDIUM - 1 year
SeaPort,SeaPort Next Generation,DoD,N6339421F3008,"JSL TECHNOLOGIES, INC.",32907374.71,THE PERIOD OF PERFORMANCE FOR THE BASE PERIOD STARTS AUGUST 9 2021. THIS REQUIREMENT IS A COST-PLUS-FIXED-FEE (CPFF) LEVEL-OF-EFFORT (LOE) COMPETED UNDER THE SEAPORT-NXG TASK ORDER AS A 100% SMALL BUSINESS SET-ASIDE FOR LOGISTICS SUPPORT SERVICES.,2021-08-09,2026-08-08,Department of Defense,Department of the Navy,USAspending,MEDIUM - 1 year
CH-53K,CH-53K King Stallion,DoD,N0042123F0619,"ADAMS COMMUNICATION & ENGINEERING TECHNOLOGY, INC.",21953389.51,CH-53K CONTRACTOR MAINTENANCE SUPPOR.,2023-08-15,2026-08-14,Department of Defense,Department of the Navy,USAspending,MEDIUM - 1 year
OASIS,One Acquisition Solution for Integrated Services,GSA,FA204124FB006,"ODYSSEY SYSTEMS CONSULTING GROUP, LTD.",40606928.86,PROFESSIONAL ADVISORY AND ASSISTANCE SERVICES FOR AFNWC/NC3 TO BE PROCURED THROUGH GENERAL SERVICES ADMINISTRATION ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) SMALL BUSINESS INDEFINITE DELIVERY INDEFINITE QUANTITY CONTRACT VEHICLE.,2024-08-16,2026-08-15,Department of Defense,Department of the Air Force,USAspending,MEDIUM - 1 year
Zero Trust,Zero Trust Architecture Initiative,DoD,FA489025F0076,CREDENCE MANAGEMENT SOLUTIONS LIMITED LIABILITY COMPANY,6700479.95,DEPARTMENT OF THE AIR FORCE (DAF) ZERO TRUST (ZT) FUNCTIONAL MANAGEMENT OFFICE (FMO) SUPPORT SERVICES.,2025-08-16,2026-08-15,Department of Defense,Department of the Air Force,USAspending,MEDIUM - 1 year
OASIS,One Acquisition Solution for Integrated Services,GSA,W31P4Q21F0057,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,95021262.85,"SINGLE AWARD TO AGAINST GSA OASIS U (POOL 5B) FOR ENGINEERING AND PROFESSIONAL SERVICES SUPPORTING SYSTEMS-OF-SYSTEMS, LVC AND BATTLESPACE EFFECTIVENESS MODELS, SIMULATIONS, AND ANALYSIS FOR THE CCDC AVMC, S3I DIRECTORATE, M&S AREA.",2021-02-17,2026-08-16,Department of Defense,Department of the Army,USAspending,MEDIUM - 1 year
INDOPACOM,Indo-Pacific Command,DoD,140D0425F0761,"GREAT HILL SOLUTIONS, LLC",624855.24,INDOPACOM JOINT FIRES CENTER (IJFC) AGILE REACTION TEST (ART),2025-08-18,2026-08-17,Department of the Interior,Departmental Offices,USAspending,MEDIUM - 1 year
SPACECOM,Space Command,DoD,FA251822F0030,DELTA SOLUTIONS & STRATEGIES LLC,120855720.25,ADVISORY AND ASSISTANCE SERVICES AND KNOWLEDGE BASED SERVICES TO SUPPORT HEADQUARTERS US SPACE COMMAND.,2022-07-12,2026-08-21,Department of Defense,Department of the Air Force,USAspending,MEDIUM - 1 year
DARPA,Defense Advanced Research Projects Agency,DoD,N6523623C8004,PERATON LABS INC,47122235.5,DARPA JANUS PROGRAM,2022-10-21,2026-08-21,Department of Defense,Department of the Navy,USAspending,MEDIUM - 1 year
OASIS,One Acquisition Solution for Integrated Services,GSA,89243422FEE400293,"ICF INCORPORATED, L.L.C.",3599835.76,"TASK ORDER IN ACCORDANCE WITH FAR 16.5, AGAINST ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS), POOL 1 USING NORTH AMERICAN INDUSTRY CLASSIFICATION SYSTEM (NAICS) 541330. TO SUPPORT THE U.S. DEPARTMENT OF ENERGY (DOE), OFFICE OF ENERGY EFFI",2022-08-16,2026-08-21,Department of Energy,Department of Energy,USAspending,MEDIUM - 1 year
STRATCOM,Strategic Command,DoD,47QFDA22F0034,"SCHATZ PUBLISHING GROUP, LLC",6533327.03,GNMA STRATEGIC COMMUNICATION SERVICES STRATCOMM AWARD,2022-08-24,2026-08-23,General Services Administration,Federal Acquisition Service,USAspending,MEDIUM - 1 year
SPACECOM,Space Command,DoD,FA251824F0007,"FEDERAL ACQUISITION SERVICES TEAM OASIS JV, LLC",6918941.77,THIS CONTRACT IS FOR ADVISORY & ASSISTANCE SERVICES FOR SPACE OPERATIONS COMMAND AND US SPACE COMMAND,2024-02-26,2026-08-24,Department of Defense,Department of the Air Force,USAspending,MEDIUM - 1 year
NGA,National Geospatial-Intelligence Agency,DoD,N6523623F3032,"M. C. DEAN, INC.",1454159.95,"NATIONAL GEOSPATIAL-INTELLIGENCE AGENCY (NGA) CHEMICAL, BIOLOGICAL, RADIOLOGICAL, NUCLEAR, EXPLOSIVE (CBRNE) MANAGEMENT SYSTEM (CMS) LIFE CYCLE OPTIMIZATION (LCO)",2023-08-25,2026-08-24,Department of Defense,Department of the Navy,USAspending,MEDIUM - 1 year
INDOPACOM,Indo-Pacific Command,DoD,N0001425FT239,THE CNA CORPORATION,600000.0,INDOPACOM DUAL CRISIS; 0007.6006.F771.01,2025-02-25,2026-08-24,Department of Defense,Department of the Navy,USAspending,MEDIUM - 1 year
EIS,Enterprise Infrastructure Solutions,GSA,16PBGC19F0050,"LUMEN TECHNOLOGIES GOVERNMENT SOLUTIONS, INC.",18063132.52,ENTERPRISE INFRASTRUCTURE SOLUTIONS (EIS) - TELECOMMUNICATIONS,2019-08-27,2026-08-26,Pension Benefit Guaranty Corporation,Pension Benefit Guaranty Corporation,USAspending,MEDIUM - 1 year
B-21,B-21 Raider Bomber,DoD,FA520922F0210,AMERICAN ENGINEERING CORPORATION,2225031.98,"PROJECT NO. A-21-101/B-21-200/D-21-300, REPAIR FIRE ALARM RECEIVING PANEL, BLDG.238 & 1018 AT CZ/BLDG.146 AT SFHA/BLDG.143-5 AT SAGAMI GENERAL DEPOT, JAPAN",2022-07-20,2026-08-26,Department of Defense,Department of the Air Force,USAspending,MEDIUM - 1 year
JADC2,Joint All-Domain Command and Control,DoD,HC105023F0020,"AMAZON WEB SERVICES, INC.",97189.43,JOINT STAFF J6 C3OD2 JADC2 DEMONSTRATION ENVIRONMENT,2023-08-22,2026-08-27,Department of Defense,Defense Information Systems Agency,USAspending,MEDIUM - 1 year
JADC2,Joint All-Domain Command and Control,DoD,M6890921F7625,LUMBEE TRIBE ENTERPRISES LLC,10730020.12,JADC2 SERVICES,2021-09-30,2026-08-29,Department of Defense,Department of the Navy,USAspending,MEDIUM - 1 year
JWCC,Joint Warfighting Cloud Capability,DoD,SP470123F0190,"AMAZON WEB SERVICES, INC.",277236.2,JOINT WARFIGHTING CLOUD CAPABILITY (JWCC) TASK ORDER FOR DEFENSE AUTOMATIC ADDRESSING SYSTEM (DAAS),2023-08-30,2026-08-29,Department of Defense,Defense Logistics Agency,USAspending,MEDIUM - 1 year
NASA,National Aeronautics and Space Administration,NASA,NNM06AA75C,SOUTHWEST RESEARCH INSTITUTE,184270441.0,"THE NATIONAL AERONAUTICS AND SPACE ADMINISTRATION HAS SELECTED JUNO NEW FRONTIERS MISSION UNDER THE DIRECTION OF PRINCIPAL INVESTIGATOR (PI) DR. SCOTT BOLTON TO CONTINUE DEVELOPMENT WITH THE EXPECTATION THAT THE JUNO MISSION WILL ENTER PHASE B IN EARLY FISCAL YEAR 2006.  THE JUNO MISSION WILL BE MANAGED BY THE MARSHALL SPACE FLIGHT CENTER, NEW FRONTIERS PROGRAM OFFICE.  KEY JUNO TEAM MEMBERS INCLUDE DR. BOLTON'S HOME INSTITUTION, THE SOUTHWEST RESEARCH INSTITUTE (SWRI), THE JUNO IMPLEMENTATION T",2006-02-23,2026-08-31,National Aeronautics and Space Administration,National Aeronautics and Space Administration,USAspending,MEDIUM - 1 year
VC-25B,Air Force One Replacement,DoD,FA864121C0002,HERMEUS CORP,23770000.0,VC-25B HYPERSONIC SBIR PHASE 2,2021-07-30,2026-08-31,Department of Defense,Department of the Air Force,USAspending,MEDIUM - 1 year
EIS,Enterprise Infrastructure Solutions,GSA,91003122F0002,VERIZON BUSINESS NETWORK SERVICES LLC,21318937.11,THE PURPOSE OF THIS CONTRACT IS TO AWARD THE ENTERPRISE INFRASTRUCTURE SOLUTIONS (EIS) FOR THE ACQUISITION AND TRANSITION OF FSA'S DATA AND VOICE TELECOMMUNICATIONS SERVICES. FSA EIS WILL BE RESPONSIBLE FOR PROVIDING EIS MANAGED NETWORK SERVICES.,2022-04-28,2026-08-31,Department of Education,Department of Education,USAspending,MEDIUM - 1 year
DISA,Defense Information Systems Agency,DoD,FA706025F0099,"ALUTIIQ LOGISTICS & MAINTENANCE SERVICES, LLC",3878672.9,"PKA - PERFORMANCE-BASED SERVICE ACQUISITION FOR BASE OPERATIONS SUPPORT (BOS) AT MARINE HELICOPTER SQUADRON ONE (HMX-1) AND DEFENSE INFORMATION SYSTEMS AGENCY (DISA), JOINT BASE ANACOSTIA-BOLLING, WASHINGTON DC.",2025-09-01,2026-08-31,Department of Defense,Department of the Air Force,USAspending,MEDIUM - 1 year
CYBERCOM,Cyber Command,DoD,HC104723F4062,NOVA-DINE LLC,3283843.12,"DEFENSE INFORMATION SYSTEMS AGENCY (DISA) HEADQUARTERS, OPERATIONS CENTER, AND U.S. CYBER COMMAND (U.S. CYBERCOM) DEFENSE RED SWITCH NETWORK (DRSN) SUPPORT",2023-09-01,2026-08-31,Department of Defense,Defense Information Systems Agency,USAspending,MEDIUM - 1 year
GBSD,Ground Based Strategic Deterrent,DoD,W9128F24C0009,HENSEL PHELPS CONSTRUCTION CO,107261481.0,"CONSTRUCTION OF GBSD INTEGRATED COMMAND CENTER, F. E. WARREN AFB",2024-01-25,2026-09-01,Department of Defense,Department of the Army,USAspending,MEDIUM - 1 year
AFRICOM,Africa Command,DoD,W52P1J19F0403,"FLUOR INTERCONTINENTAL, INC",324679575.22,LOGISTICS CIVIL AUGMENTATION PROGRAM (LOGCAP) V SUPPORT SERVICES IN SUPPORT OF AFRICOM.,2019-04-12,2026-09-02,Department of Defense,Department of the Army,USAspending,MEDIUM - 1 year
JWCC,Joint Warfighting Cloud Capability,DoD,HS002124F0043,SALIENT FEDERAL-SGIS INC,11065956.24,JWCC AMAZON WEB SERVICES,2024-09-05,2026-09-04,Department of Defense,Defense Counterintelligence and Security Agency,USAspending,MEDIUM - 1 year
OASIS,One Acquisition Solution for Integrated Services,GSA,70Z08523FIBCT0109,"INSIGHT TECHNOLOGY SOLUTIONS, LLC",3504134.91,TASK ORDER UNDER GSA ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS)FOR AVAILABILITY PROJECT MANAGER (APM) AND DATA ANALYST (DA) SERVICES,2023-09-05,2026-09-04,Department of Homeland Security,U.S. Coast Guard,USAspending,MEDIUM - 1 year
INDOPACOM,Indo-Pacific Command,DoD,HC102824F1164,MICROSOFT CORPORATION,2435892.55,MICROSOFT UNIFIED SUPPORT FOR HEADQUARTERS UNITED STATES INDO-PACIFIC COMMAND (HQ USINDOPACOM),2024-09-06,2026-09-05,Department of Defense,Defense Information Systems Agency,USAspending,MEDIUM - 1 year
B-21,B-21 Raider Bomber,DoD,W9128F22F0130,JACOBS ENGINEERING GROUP INC.,3363420.0,DESIGN B-21 WEAPONS LOADER TRNG FACILITY,2022-06-24,2026-09-06,Department of Defense,Department of the Army,USAspending,MEDIUM - 1 year
INDOPACOM,Indo-Pacific Command,DoD,HC102823F1222,MICROSOFT CORPORATION,1997273.68,"MICROSOFT PREMIER SUPPORT FOR HEADQUARTERS UNITED STATES INDO-PACIFIC COMMAND (USINDOPACOM), J73, K. MARK TAKAI PACIFIC WARFIGHTING CENTER (KMT PWC)",2023-09-07,2026-09-06,Department of Defense,Defense Information Systems Agency,USAspending,MEDIUM - 1 year
EUCOM,European Command,DoD,W56KGY23C0008,LOCKHEED MARTIN CORPORATION,33566331.0,UKRAINE CONTRACT IS IN SUPPORT OF PRODUCT MANAGER TERRESTRIAL SPECTRUM WARFARE ACQUISITION OF TERRESTRIAL LAYER SYSTEM BRIGADE COMBAT TEAM IN SUPPORT OF V CORPS AND UNITED STATES FORCES IN UNITED STATES EUROPEAN COMMAND,2023-03-31,2026-09-08,Department of Defense,Department of the Army,USAspending,MEDIUM - 1 year
