program_name,program_full_name,category,mention_count
Eric does not work on one program he is used as a strategic advisor across multiple,Eric does not work on one program he is used as a strategic advisor across multiple,General,1
NSA work,NSA work,General,1
IPTS,IPTS,General,1
Meeting to dig for more info on Nasa,Meeting to dig for more info on Nasa,General,1
Contract is for two years and,Contract is for two years and,General,1
ITPS,ITPS,General,1
Navy Seaport Enhanced,Navy Seaport Enhanced,General,1
DOD clearence to get candiates,DOD clearence to get candiates,General,1
Eric is a Vencore guy and his Positions are FTE at the moment bc that are SEAPORT,Eric is a Vencore guy and his Positions are FTE at the moment bc that are SEAPORT,General,1
GSMO,GSMO,General,1
how we can use the Mentor Protege Program with the Navy to benefit his,how we can use the Mentor Protege Program with the Navy to benefit his,General,1
Navy to benefit his Program,Navy to benefit his Program,General,1
Navy and NSA,Navy and NSA,General,1
DoD contracts,DoD contracts,General,1
cia on the Contract Management,cia on the Contract Management,General,1
Scott is Program Director over the,Scott is Program Director over the,General,1
BICES,BICES,General,1
John is Program Director and Kate is Deputy,John is Program Director and Kate is Deputy,General,1
IBDSS,IBDSS,General,1
MISO,MISO,General,1
IT-NCEZID,IT-NCEZID,General,1
ITSO,ITSO,General,1
GSA Schedule,GSA Schedule,General,1
EUCOM,European Command,General,1
AFRICOM,Africa Command,General,1
