budget_program_name,budget_amount,fiscal_year,budget_type
Other Helicopter Development,11101000.0,2016,R-1
"Command, Control, Communications Technology",36160000.0,2016,R-1
Consolidated Trng Sys Dev,39087000.0,2016,R-1
Foreign Materiel Acquisition and Exploitation,46781000.0,2016,R-1
Ocean Wrfghtg Env Applied Res,42252000.0,2016,R-1
Test & Evaluation Support,351912000.0,2016,R-1
JT Tact Radio Sys (JTRS),25071000.0,2016,R-1
Warfighter Information Network-Tactical - DEM/VAL,118256000.0,2016,R-1
Ground Attack Weapons Fuze Development,17271000.0,2016,R-1
Advanced Tank Armament System (ATAS),54259000.0,2016,R-1
Missile Defense Integration and Operations Center (MDIOC),49211000.0,2016,R-1
(U)Unman Carrier Launch A/B Surv & Strk(UCLASS)Sys,134708000.0,2016,R-1
Nuclear and Conventional Physical Security/Countering Nuclear Threats,8800000.0,2016,R-1
Advanced Above Water Sensors,43914000.0,2016,R-1
Studies and Analysis Support - OSD,3015000.0,2016,R-1
Cyber Security Initiative,1979000.0,2016,R-1
Ballistic Missile Defense Terminal Defense Segment Test,26225000.0,2016,R-1
Microelectronics Technology Development and Support  (DMEA),79037000.0,2016,R-1
Studies & Analysis Supt - Navy,4011000.0,2016,R-1
Aviation Improvements,117759000.0,2016,R-1
Foreign Comparative Testing,11877000.0,2016,R-1
Small Business Innovation Research/Small Business Technology Transfer Program,2177000.0,2016,R-1
Airborne Mine Countermeasures (AMCM),11647000.0,2016,R-1
TRACTOR EGGS,2431000.0,2016,R-1
Other Missile Product Improvement Programs,35951000.0,2016,R-1
Ship Concept Advanced Design,11888000.0,2016,R-1
Submunitions,2506000.0,2016,R-1
Strat War Planning System - USSTRATCOM,28481000.0,2016,R-1
TRACTOR CAGE,10999000.0,2016,R-1
Airborne Reconnaissance Systems,22870000.0,2016,R-1
Intelligence Systems Development,6866000.0,2016,R-1
(U)Future Naval Capabilities Advanced Tech Dev,258860000.0,2016,R-1
Joint FIRES Integration and Interoperability Team,7102000.0,2016,R-1
Ocean Engineering Tech Dev,4520000.0,2016,R-1
Joint Electronic Advanced Technology,43966000.0,2016,R-1
Defense Research Sciences,329721000.0,2016,R-1
Aviation Technology,56884000.0,2016,R-1
NETWORK-CENTRIC WARFARE TECHNOLOGY,452861000.0,2016,R-1
Warfighter Protection Adv Tech,4807000.0,2016,R-1
Aircraft Modifications/Product Improvement Programs,227333000.0,2016,R-1
Joint Strike Fighter Follow On Development - Navy,47579000.0,2016,R-1
Presidential Aircraft Replacement (PAR),11006000.0,2016,R-1
(U)SPECIAL PROCESSES,17408000.0,2016,R-1
C-130 Airlift Squadron,33962000.0,2016,R-1
V-22A,87918000.0,2016,R-1
C2ISR Tactical Data Link,1681000.0,2016,R-1
Emerging Technologies from NIE,2481000.0,2016,R-1
Joint Tactical Information Distribution System (JTIDS),14285000.0,2016,R-1
Missile Technology,45053000.0,2016,R-1
Sustainment Science and Technology (S&T),18378000.0,2016,R-1
Automatic Test Equipment Development,8960000.0,2016,R-1
Small Business Innovation Research,9700000.0,2016,R-1
Human Effectiveness Applied Research,100530000.0,2016,R-1
Financing for Cancelled Account Adjustments,527000.0,2016,R-1
Test and Evaluation Support,673908000.0,2016,R-1
"Counterproliferation Initiatives - Proliferation, Prevention and Defeat",290654000.0,2016,R-1
Exploitation of Foreign Items,10396000.0,2016,R-1
Aerospace Sensors,147291000.0,2016,R-1
MANAGEMENT HQ - R&D,71571000.0,2016,R-1
WWMCCS/Global Command and Control System,7053000.0,2016,R-1
Operational Test Activities and Analyses,46838000.0,2016,R-1
Integrated Broadcast Service,79000.0,2016,R-1
International Intelligence Technology and Architectures,2270000.0,2016,R-1
Air Crew Systems Development,12679000.0,2016,R-1
Materiel Systems Analysis,20403000.0,2016,R-1
P-3 Modernization Program,1514000.0,2016,R-1
Small Business Innovative Research (SBIR),5829000.0,2016,R-1
Joint Strike Fighter Follow On Development - MC,59265000.0,2016,R-1
Long Range Discrimination Radar (LRDR),137564000.0,2016,R-1
Tactical Cryptologic Systems,17785000.0,2016,R-1
Defense Agency Initiatives (DAI) - Financial System,31660000.0,2016,R-1
JT Non-Lethal Wpns Applied Res,6119000.0,2016,R-1
Space Tracking and Surveillance System,31632000.0,2016,R-1
Israeli Cooperative Programs,102795000.0,2016,R-1
Minuteman Squadrons,178929000.0,2016,R-1
Net-Centric Enterprise Services (NCES),444000.0,2016,R-1
Space Application Advanced Technology,5554000.0,2016,R-1
Insider Threat,11733000.0,2016,R-1
MQ-1 Unmanned Aerial Vehicle (UAV),641000.0,2016,R-1
(U)RETRACT LARCH,28819000.0,2016,R-1
H-1 Upgrades,27235000.0,2016,R-1
MK-48 ADCAP,42206000.0,2016,R-1
Army Integrated Air and Missile Defense (AIAMD),214099000.0,2016,R-1
Environmental Quality Technology Mgmt Support,3186000.0,2016,R-1
MQ-8 UAV,52770000.0,2016,R-1
Biometrics Enabled Intelligence,1973000.0,2016,R-1
Assessments & Evaluations,28674000.0,2016,R-1
(U)Ohio Replacement,971393000.0,2016,R-1
Space Technology,116122000.0,2016,R-1
Small Business Innovation Research (SBIR)/Small Business Technology Transfer (STTR),2169000.0,2016,R-1
(U)RQ-21A,6435000.0,2016,R-1
WWMCCS/GLOBAL COMMAND AND CONTROL SYSTEM,294000.0,2016,R-1
GPS III Space Segment,180902000.0,2016,R-1
Special Programs,3401000.0,2016,R-1
Support of Operational Testing,49337000.0,2016,R-1
(U)MARINE CORPS DATA SYSTEMS,34000.0,2016,R-1
AF Defensive Cyberspace Operations,7681000.0,2016,R-1
Cyber Operations Technology Development,4938000.0,2016,R-1
Air Control,57928000.0,2016,R-1
Environmental Quality Technology Demonstrations,10727000.0,2016,R-1
JT Cntr Radio Controlled IED Elec War (JCREW),3817000.0,2016,R-1
Night Vision Systems - Eng Dev,67582000.0,2016,R-1
Tact Air Dir Infrared CM (TADIRCM),18969000.0,2016,R-1
F-15 EPAWSS,38944000.0,2016,R-1
Department of Defense Corrosion Program,1518000.0,2016,R-1
Directed Energy Technology,115604000.0,2016,R-1
Logistics Information Technology (LOGIT),112676000.0,2016,R-1
INFORMATION & COMMUNICATIONS TECHNOLOGY,356358000.0,2016,R-1
JSPOC Mission System,81911000.0,2016,R-1
Small Business Innovative Research,294649000.0,2016,R-1
Quick Reactions Special Projects (QRSP),90500000.0,2016,R-1
B-2 Defensive Management System,271961000.0,2016,R-1
Operational Test & Eval Capability,17985000.0,2016,R-1
Blackhawk Product Improvement Program,66653000.00000001,2016,R-1
Threat Simulator Development,20035000.0,2016,R-1
Logistics Support Activities (LSA),1770000.0,2016,R-1
Logistics Automation,1673000.0,2016,R-1
Ship to Shore Connector (SSC),7778000.0,2016,R-1
Service Support to STRATCOM - Space Activities,8090000.0,2016,R-1
Manned Ground Vehicle,49247000.0,2016,R-1
Joint Integrated Air & Missile Defense Organization (JIAMDO),35471000.0,2016,R-1
Spacelift Range System  (SPACE),6902000.0,2016,R-1
Cryptologic Direct Support,1915000.0,2016,R-1
Ballistic Missile Defense Terminal Defense Segment,228021000.0,2016,R-1
Materials,125234000.0,2016,R-1
Target Systems Development,16684000.000000002,2016,R-1
LPD-17 Class Systems Integration,747000.0,2016,R-1
Tactical Command System,81553000.0,2016,R-1
RQ-11 UAV,635000.0,2016,R-1
Countering Weapons of Mass Destruction (CWMD) Systems,42488000.0,2016,R-1
Weapons Technology,45389000.0,2016,R-1
MATERIALS AND BIOLOGICAL TECHNOLOGY,220115000.0,2016,R-1
NATO Research and Development,4736000.0,2016,R-1
AF Offensive Cyberspace Operations,12874000.0,2016,R-1
(U)ASE Self Protection Optimization,7874000.0,2016,R-1
C-5 Airlift Squadrons (IF),42864000.0,2016,R-1
Software Engineering Institute (SEI) Applied Research,8824000.0,2016,R-1
Information Systems Security Program,46599000.0,2016,R-1
Defense Readiness Reporting System (DRRS),5581000.0,2016,R-1
Small Business Innovation Research,304921000.0,2016,R-1
Emerging Capabilities Technology Development,33515000.0,2016,R-1
"Personnel, Trng, Sim, & Human Factors",7686000.0,2016,R-1
RQ-4 UAV,227188000.0,2016,R-1
AMF Joint Tactical Radio System (JTRS),12987000.0,2016,R-1
Distributed Common Ground/Surface Systems,3239000.0,2016,R-1
CH-53K,632092000.0,2016,R-1
Joint Systems Integration,7002000.0,2016,R-1
Tactical Data Links,149997000.0,2016,R-1
National Defense Education Program (NDEP),49453000.0,2016,R-1
TRACTOR PULL,9461000.0,2016,R-1
Night Vision Advanced Technology,40929000.0,2016,R-1
Facilities Operation - Administrative,3798000.0,2016,R-1
OUSD(C) IT Development Initiative,5962000.0,2016,R-1
Small Business Innovation Research - MDA,74888000.0,2016,R-1
Strategic Technical Support,3258000.0,2016,R-1
Management HQ - MDA,35871000.0,2016,R-1
CHEMICAL/BIOLOGICAL DEFENSE (ACD&P),172754000.0,2016,R-1
Aviation Advanced Technology,89736000.0,2016,R-1
Guided Multiple-Launch Rocket System (GMLRS),17527000.0,2016,R-1
Defense-Wide Electronic Procurement Capabilities,7209000.0,2016,R-1
(U)UAS Integration and Interoperability,41831000.0,2016,R-1
Navy Space & Electr Warfare Supt,5316000.0,2016,R-1
Defense Research Sciences,239118000.0,2016,R-1
Space Based Infrared System (SBIRS) High EMD,292235000.0,2016,R-1
"Command, Control, Communications Systems - Eng Dev",2726000.0,2016,R-1
ASW Systems Development - MIP,9835000.0,2016,R-1
Global Video Surveillance Activities,3933000.0,2016,R-1
RQ-11 UAV,758000.0,2016,R-1
JT Precision Approach & Ldg Sys,91479000.0,2016,R-1
Foreign Comparative Testing,21782000.0,2016,R-1
Ballistic Missile Defense System Space Programs,23289000.0,2016,R-1
C-130J Program,31010000.0,2016,R-1
Logistics Research and Development Technology (Log R&D),16543000.0,2016,R-1
Next Generation Training & Simulation Systems,17425000.0,2016,R-1
Industrial Base Analysis and Sustainment Support,22576000.0,2016,R-1
Weapons and Munitions Technology,48340000.0,2016,R-1
Special Applications Program,35905000.0,2016,R-1
Advanced Pilot Training,11395000.0,2016,R-1
(U)RETRACT MAPLE,360065000.0,2016,R-1
NAVSTAR Global Positioning System (User Equipment) (SPACE),142288000.0,2016,R-1
Space Situation Awareness Systems,32374000.000000004,2016,R-1
(U)Distributed Common Ground/Surface Systems,1105000.0,2016,R-1
Air/Ocean Equipment Engineering,4515000.0,2016,R-1
TACTICAL TECHNOLOGY,314582000.0,2016,R-1
High Energy Laser Research Initiatives,13778000.0,2016,R-1
Cyber Security Initiative,963000.0,2016,R-1
Electronics and Electronic Devices,55301000.0,2016,R-1
Advanced Submarine System Development,87160000.0,2016,R-1
Manned Reconnaissance Systems,13245000.0,2016,R-1
Tactical Unmanned Aerial Vehicles,13225000.0,2016,R-1
ADVANCED ELECTRONICS TECHNOLOGIES,79021000.0,2016,R-1
Information Technology Development,67358000.0,2016,R-1
Joint Tactical Network Center (JTNC),13357000.0,2016,R-1
Polar MILSATCOM (SPACE),72084000.0,2016,R-1
Defense Wide Manufacturing Science and Technology Program,157056000.0,2016,R-1
Weather Service,29955000.0,2016,R-1
SPACE PROGRAMS AND TECHNOLOGY,126692000.0,2016,R-1
BIOMEDICAL TECHNOLOGY,114262000.0,2016,R-1
Constructive Simulation Systems Development,23364000.0,2016,R-1
Land Attack Tech,887000.0,2016,R-1
University Research Initiatives,72603000.0,2016,R-1
Tactical Data Networks Enterprise,60256000.0,2016,R-1
Paladin Integrated Management (PIM),152288000.0,2016,R-1
Dominant Information Sciences and Methods,164909000.0,2016,R-1
Counterspace Systems,24208000.0,2016,R-1
Joint DOD/DOE Munitions Technology Development,18802000.0,2016,R-1
"Space Innovation, Integration and Rapid Technology Development",1543000.0,2016,R-1
New Design SSN,122556000.0,2016,R-1
Joint Mission Environment Test Capability (JMETC),45235000.0,2016,R-1
KC-46,602364000.0,2016,R-1
Joint Direct Attack Munition,2417000.0,2016,R-1
B-2 SQUADRONS,108183000.0,2016,R-1
Target Systems Development,112606000.0,2016,R-1
Defense Spectrum Organization,20342000.0,2016,R-1
Harm Improvement,52708000.0,2016,R-1
Manned Destructive Suppression,14860000.0,2016,R-1
Cyber Security Advanced Research,11150000.0,2016,R-1
Small Business Innovative Research,10446000.0,2016,R-1
High Performance Computing Modernization Program,177159000.0,2016,R-1
Control and Reporting Center (CRC),559000.0,2016,R-1
Rapid Cyber Acquisition,3149000.0,2016,R-1
Net Centricity,18130000.0,2016,R-1
Satellite Communications (Space),53239000.0,2016,R-1
Ballistic Missile Defense Test,274323000.0,2016,R-1
Joint Munitions Advanced Technology,25915000.0,2016,R-1
Aircraft Survivability Development,18112000.0,2016,R-1
DCMO Policy and Integration,2223000.0,2016,R-1
Common Kill Vehicle Technology,46753000.0,2016,R-1
MC Ground Cmbt Spt Arms Sys,56769000.0,2016,R-1
(U)Precision Strike Weapons Development Program,9595000.0,2016,R-1
Planning and Decision Aid System (PDAS),3061000.0,2016,R-1
Cybersecurity Initiative,2976000.0,2016,R-1
Carrier Systems Development,8348000.000000001,2016,R-1
End Item Industrial Preparedness Activities,48442000.0,2016,R-1
Electronic Warfare Development,12686000.0,2016,R-1
Advanced Weapons Technology,29428000.0,2016,R-1
Acoustic Search Sensors,35763000.0,2016,R-1
CHEMICAL/BIOLOGICAL DEFENSE (BASIC RESEARCH),46261000.0,2016,R-1
Depot Maintenance (NON-IF),24185000.0,2016,R-1
Integrated Broadcast Service (IBS),7860000.0,2016,R-1
Major T&E Investment,62580000.0,2016,R-1
COCOM Exercise Engagement and Training Transformation (CE2T2),43811000.0,2016,R-1
Next Generation Fighter,5000000.0,2016,R-1
Global Force Management - Data Initiative,2470000.0,2016,R-1
Operational Nuclear Power Sys,101323000.0,2016,R-1
(U)RETRACT ELM,37944000.0,2016,R-1
WMD Defeat Technologies,155415000.0,2016,R-1
SEW Architecture/Eng Support,29581000.0,2016,R-1
Financing for Cancelled Account Adjustments,941000.0,2016,R-1
Aerospace Propulsion,182326000.0,2016,R-1
Tactical Unmanned Aer Vehicles,8550000.0,2016,R-1
Networked Communications Capability,6980000.0,2016,R-1
(U)Executive Helo Development,507093000.0,2016,R-1
Soldier Systems - Advanced Development,22194000.0,2016,R-1
All Source Analysis System,4309000.0,2016,R-1
NextGen JSTARS,44343000.0,2016,R-1
Automated Test Systems,14563000.0,2016,R-1
(U)CHALK EAGLE,511802000.0,2016,R-1
(U)Remote Minehunting System (RMS),20089000.0,2016,R-1
Combating Terrorism Technology Support,71171000.0,2016,R-1
Global Sensor Integrated on Network (GSIN),5974000.0,2016,R-1
Technology Maturation Initiatives,96300000.0,2016,R-1
Facilities Restoration and Modernization - Test and Evaluation Support,40518000.0,2016,R-1
MQ-9 UAV,123439000.0,2016,R-1
Infantry Support Weapons,74128000.0,2016,R-1
Special Program - MDA Technology,64708000.0,2016,R-1
Large Aircraft IR Countermeasures (LAIRCM),6802000.0,2016,R-1
Weapons and Munitions Product Improvement Programs,4945000.0,2016,R-1
MQ-9 Unmanned Aerial Vehicle (UAV),18151000.0,2016,R-1
Airborne SIGINT Enterprise,112775000.0,2016,R-1
Discrimination Sensor Technology,28200000.0,2016,R-1
Maui Space Surveillance System (MSSS),12853000.0,2016,R-1
Joint Air-to-ground Missile (JAGM),25898000.0,2016,R-1
Surface Combatant Cmbt Sys Eng,443433000.0,2016,R-1
Global Combat Support System,12274000.0,2016,R-1
Science and Technology (S&T) Analytic Assessments,14645000.0,2016,R-1
SOF Advanced Technology Development,57741000.0,2016,R-1
Submarine Acoustic War Dev,3900000.0,2016,R-1
Advanced IT Services Joint Program Office (AITS-JPO),23424000.0,2016,R-1
Defense Technical Information Center,51775000.0,2016,R-1
Support to Networks and Information Integration,12482000.0,2016,R-1
(U)PILOT FISH,123246000.0,2016,R-1
Marine Corps Comms Systems,67763000.0,2016,R-1
Power Projection Advanced Technology,37093000.0,2016,R-1
RQ-7 UAV,688000.0,2016,R-1
Integrated Base Defense (Budget Activity 4),4473000.0,2016,R-1
Defense Info. Infrastructure Engineering and Integration,10186000.0,2016,R-1
Deployment and Distribution Enterprise Technology,29888000.0,2016,R-1
Navy Logistic Productivity,3866000.0,2016,R-1
(U)Joint Theater Air and Missile Defense Org,6995000.0,2016,R-1
Surface ASW Cmbt Sys Integr,24460000.0,2016,R-1
Cyber Security Research,13727000.0,2016,R-1
Specialized Undergraduate Flight Training,13324000.0,2016,R-1
Combat Training Ranges,15795000.0,2016,R-1
Tactical Electronic Surveillance System - Adv Dev,13472000.0,2016,R-1
Family of Advanced BLoS Terminals (FAB-T),3907000.0,2016,R-1
Aircraft Engine Component Improvement Program,103942000.0,2016,R-1
Mid-tier Networking Vehicular Radio (MNVR),8763000.0,2016,R-1
Space and Missile Center (SMC) Civilian Workforce,185305000.0,2016,R-1
"Ballistic Missile Defense Command and Control, Battle Management & Communication",450085000.0,2016,R-1
Army Technical Test Instrumentation and Targets,51550000.0,2016,R-1
Precision Attack Systems Procurement,1105000.0,2016,R-1
Electronic Combat Technology,47032000.0,2016,R-1
Undersea Warfare Applied Res,123750000.0,2016,R-1
Lightweight Torpedo Development,33738000.0,2016,R-1
Next Generation Air Dominance,8830000.0,2016,R-1
Submarine Tactical Warfare System,48213000.0,2016,R-1
Army Test Ranges and Facilities,277646000.0,2016,R-1
Aerostat Joint Project - EMD,57976000.0,2016,R-1
Environmental Quality Technology - Operational System Dev,280000.0,2016,R-1
RQ-11 UAV,5984000.0,2016,R-1
DoD Enterprise Systems Development and Demonstration,13412000.0,2016,R-1
Defense Retired and Annuitant Pay System 2 (DRAS),13085000.0,2016,R-1
Threat Simulator Development,23844000.0,2016,R-1
Maneuver Control System,15445000.0,2016,R-1
Environmental Protection,20711000.0,2016,R-1
University Research Initiatives,116196000.0,2016,R-1
TRACTOR SMOKE,7569000.0,2016,R-1
University and Industry Research Centers,100340000.0,2016,R-1
C3 Advanced Technology,37816000.0,2016,R-1
Intercontinental Ballistic Missile - EMD,118504000.0,2016,R-1
Combating Terrorism - Technology Development,27520000.0,2016,R-1
Meteorological Support to RDT&E Activities,8303000.000000001,2016,R-1
Technical Studies Support and Analysis,24936000.0,2016,R-1
CWMD Systems: Operational Systems Development,1901000.0,2016,R-1
Maritime Tech (MARITECH),4321000.0,2016,R-1
Global Combat Support System,692000.0,2016,R-1
JT Military Intel Programs,6207000.0,2016,R-1
Ballistic Missile Defense Technology,14223000.0,2016,R-1
Life Support Systems,8186999.999999999,2016,R-1
Environmental Quality Technology,20850000.0,2016,R-1
ENTEPRISE INFORMATION SERVICES (EIS),4841000.0,2016,R-1
Agile Combat Support,57678000.0,2016,R-1
Joint Surveillance/Target Attack Radar System (JSTARS),27308000.0,2016,R-1
AV-8B Aircraft - Engine Dev,39878000.0,2016,R-1
Full Combat Mission Training,18082000.0,2016,R-1
"Air Defense Command, Control and Intelligence - Eng Dev",24569000.0,2016,R-1
"Brigade Analysis, Integration and Evaluation",99242000.0,2016,R-1
International Intelligence Technology and Architectures,9956000.0,2016,R-1
Air Force Studies and Analysis Agency,1103000.0,2016,R-1
Advanced Sensors Applications Program,15900000.0,2016,R-1
Minimum Essential Emergency Communications Network (MEECN),13735000.0,2016,R-1
Operationally Responsive Space,6457000.0,2016,R-1
TRACTOR HIP,6879000.0,2016,R-1
Combat Vehicle Improvement Programs,257166999.99999997,2016,R-1
General Skill Training,1315000.0,2016,R-1
Systems Engineering,37655000.0,2016,R-1
Coalition Warfare,10350000.0,2016,R-1
Agile Transportation for the 21st Century (AT21) Theater Capability,2679000.0,2016,R-1
Lower Tier Air and Missile Defense (AMD) System,64159000.00000001,2016,R-1
COGNITIVE COMPUTING SYSTEMS,15847000.0,2016,R-1
B-1B Squadrons,2245000.0,2016,R-1
Retract Larch,18625000.0,2016,R-1
TACTICAL UNMANNED GROUND VEHICLE,40374000.0,2016,R-1
Combat Vehicle and Automotive Advanced Technology,113071000.0,2016,R-1
AF Integrated Personnel and Pay System (AF-IPPS),69694000.0,2016,R-1
Three Dimensional Long-Range Radar (3DELRR),14939000.0,2016,R-1
Cyber Intelligence,6579000.0,2016,R-1
Depot Maintenance (Non-IF),1525000.0,2016,R-1
Logistics and Engineer Equipment - Eng Dev,48339000.0,2016,R-1
Regarding Trench,9583000.0,2016,R-1
Operational Enhancements,63008000.0,2016,R-1
CHEMICAL/BIOLOGICAL DEFENSE (APPLIED RESEARCH),208111000.0,2016,R-1
Airborne Reconnaissance Systems,50154000.0,2016,R-1
DTRA Basic Research Initiative,38436000.0,2016,R-1
Medical Systems - Adv Dev,31962000.0,2016,R-1
Long Range Standoff Weapon,36643000.0,2016,R-1
Joint Counter RCIED Electronic Warfare,300000.0,2016,R-1
Ship Self Def (Engage: Hard Kill),99619000.0,2016,R-1
Human Social Culture Behavior (HSCB) Modeling Applied Research,2000000.0,2016,R-1
Armament/Ordnance Development,40154000.0,2016,R-1
Defense Research Sciences,451606000.0,2016,R-1
Next Generation Jammer (NGJ),411767000.0,2016,R-1
Weapons and Munitions Advanced Technology,57663000.0,2016,R-1
Weather System Follow-on,76108000.0,2016,R-1
Family of Biometrics,13237000.0,2016,R-1
Teleport Program,1736000.0,2016,R-1
Strategic Sub & Wpns Sys Supt,107039000.0,2016,R-1
Compass Call,14249000.0,2016,R-1
National Military Command System-Wide Support,963000.0,2016,R-1
Hard and Deeply Buried Target Defeat System (HDBTDS) Program,54637000.0,2016,R-1
Joint Automated Deep Operation Coordination System (JADOCS),35719000.0,2016,R-1
Rand Arroyo Center,20853000.0,2016,R-1
JT Service Explosive Ordn Dev,18260000.0,2016,R-1
Homeland Security Presidential Directive (HSPD-12) Initiative,191000.0,2016,R-1
Shipboard Aviation Systems,120217000.0,2016,R-1
Marine Corps Program Wide Supt,13649000.0,2016,R-1
Airborne Electronic Attack,8358000.000000001,2016,R-1
Physical Security Equipment,5973000.0,2016,R-1
(U)LITTORAL COMBAT SHIP,118416000.0,2016,R-1
Aerospace Propulsion and Power Technology,168821000.0,2016,R-1
Mine Development,15122000.0,2016,R-1
Aerospace Vehicle Technologies,123438000.0,2016,R-1
"Armed, Deployable Helos",26000000.0,2016,R-1
SSN-688 & Trident Modernization,109908000.0,2016,R-1
Space and Missile Test and Evaluation Center,3162000.0,2016,R-1
Analysis Of Alternatives,9805000.0,2016,R-1
Operational Support Airlift,48453000.0,2016,R-1
AF TENCAP,31428000.0,2016,R-1
RQ-4 UAV,208053000.0,2016,R-1
Wargaming and Simulation Centers,6035000.0,2016,R-1
B-52 SQUADRONS,74520000.0,2016,R-1
Marine Corps Cmbt Services Supt,20729000.0,2016,R-1
TRACTOR NAIL,2381000.0,2016,R-1
Human Social Culture Behavior (HSCB) Modeling Advanced Development,2000000.0,2016,R-1
Physical Security Equipment,3874000.0,2016,R-1
CSAR HH-60 Recapitalization,156085000.0,2016,R-1
Special Tactics / Combat Control,7963000.0,2016,R-1
"Assured Positioning, Navigation and Timing (PNT)",30058000.0,2016,R-1
Advanced Spacecraft Technology,54897000.0,2016,R-1
Electromagnetic Systems Applied Research,115051000.0,2016,R-1
NATO AGS,197486000.0,2016,R-1
NUDET Detection System (SPACE),14447000.0,2016,R-1
Defense Rapid Innovation Program,225000000.0,2016,R-1
SMALL BUSINESS INNOVATIVE RESEARCH (SBIR),14967000.0,2016,R-1
High Energy Laser Research,42037000.0,2016,R-1
WHS - Mission Operations Support - IT,1072000.0,2016,R-1
Software Engineering Institute (SEI),15202000.0,2016,R-1
Soldier Support and Survivability,7758000.0,2016,R-1
Patriot Product Improvement,105816000.0,2016,R-1
Management Headquarters WHS,612000.0,2016,R-1
TECHNOLOGY MATURATION INITIATIVES,40917000.0,2016,R-1
SOF Tactical Vehicles,3212000.0,2016,R-1
Missile and Rocket Advanced Technology,49449000.0,2016,R-1
(U)Future Naval Capabilities Applied Research,179686000.0,2016,R-1
USAF Modeling and Simulation,24994000.0,2016,R-1
Retract Larch,118666000.0,2016,R-1
Aviation - Adv Dev,12112000.0,2016,R-1
Armored Multi-Purpose Vehicle (AMPV),230210000.0,2016,R-1
Radar Development,12309000.0,2016,R-1
Elect Warfare Readiness Supt,46609000.0,2016,R-1
Multi-Mssn Helicopter Upgrade Dev,21358000.0,2016,R-1
Surface ASW,1096000.0,2016,R-1
Medical Development,9443000.0,2016,R-1
DoD Modeling and Simulation Management Office,2995000.0,2016,R-1
Presidential Aircraft Replacement (PAR),102620000.0,2016,R-1
E-4B National Airborne Operations Center (NAOC),80360000.0,2016,R-1
Joint Light Tactical Vehicle - ED,32485999.999999996,2016,R-1
Combined Arms Tactical Trainer (CATT) Core,21622000.0,2016,R-1
Maritime Systems,63597000.0,2016,R-1
International Activities,2315000.0,2016,R-1
Counter Narco-Terrorism Program Office,510000.0,2016,R-1
Small Diameter Bomb (SDB)  - EMD,32624000.000000004,2016,R-1
Mine and Expeditionary Warfare Advanced Technology,1991000.0,2016,R-1
Ship Prel Design & Feasibility Studies,4332000.0,2016,R-1
(U)CARRIER ONBOARD DELIVERY (COD) FOLLOW ON,8873000.0,2016,R-1
Navy Strategic Comms,16568999.999999998,2016,R-1
Common Data Link Executive Agent (CDL EA),43986000.0,2016,R-1
F-15 EPAWSS,186481000.0,2016,R-1
Family of Heavy Tactical Vehicles,28321000.0,2014,R-1
Space Technology,98229000.0,2015,R-1
Joint Surveillance/Target Attack Radar System (JSTARS),23148000.0,2015,R-1
MATERIALS AND BIOLOGICAL TECHNOLOGY,160389000.0,2015,R-1
Logistics Automation,3654000.0,2015,R-1
BALLISTICS TECHNOLOGY,85597000.0,2015,R-1
Mission Planning Systems,60679000.0,2015,R-1
Facilities Restoration and Modernization - Test and Evaluation Support,46955000.0,2015,R-1
MILITARY ENGINEERING TECHNOLOGY,63311000.0,2015,R-1
Aerial Targets,8639000.0,2015,R-1
Force Protection Applied Res,139496000.0,2015,R-1
Cyber Security Advanced Research,9667000.0,2015,R-1
P-3 Modernization Program,1710000.0,2015,R-1
Nuclear and Conventional Physical Security/Equipment RDT&E ADC&P,41072000.0,2015,R-1
Navy Energy Program,69415000.0,2015,R-1
Electronic Warfare Technology,26057000.0,2015,R-1
Deployable JT Cmd & Control,2991000.0,2015,R-1
Combat System Integration,20881000.0,2015,R-1
TRACTOR HIKE,7492000.0,2015,R-1
"Air Defense Command, Control and Intelligence - Eng Dev",15906000.0,2015,R-1
Information Sys Security Program,23053000.0,2015,R-1
Manned Reconnaissance Systems,13516000.0,2015,R-1
WMD Defeat Technologies,151737000.0,2015,R-1
New Design SSN,72695000.0,2015,R-1
Medical Systems - Adv Dev,23659000.0,2015,R-1
Defense Operations Security Initiative,1956000.0,2015,R-1
Ship Self Def (Engage: Hard Kill),96937000.0,2015,R-1
Defense Exportability Program,3244000.0,2015,R-1
Information Technology Development,69761000.0,2015,R-1
Advanced Concepts and Simulation,27435000.0,2015,R-1
CHEMICAL/BIOLOGICAL DEFENSE (ATD),132674000.0,2015,R-1
CHEMICAL/BIOLOGICAL DEFENSE (BASIC RESEARCH),48261000.0,2015,R-1
General Skill Training,1425000.0,2015,R-1
Army Integrated Air and Missile Defense (AIAMD),142584000.0,2015,R-1
Aircraft Engine Component Improvement Program,109664000.0,2015,R-1
Industrial Base Analysis and Sustainment Support,14778000.0,2015,R-1
CSAR HH-60 Recapitalization,333558000.0,2015,R-1
AEGIS BMD,929208000.0,2015,R-1
Mine and Expeditionary Warfare Advanced Technology,2000000.0,2015,R-1
Power Proj Applied Research,95753000.0,2015,R-1
Long-Haul Communications - DCS,25355000.0,2015,R-1
Space Superiority Intelligence,12218000.0,2015,R-1
International Space Cooperative R&D,833000.0,2015,R-1
Service Support to STRATCOM - Space Activities,2779000.0,2015,R-1
Management Headquarters,4409000.0,2015,R-1
Directed Energy and Electric Weapon System,58696000.0,2015,R-1
Rapid Technology Transition (RTT),12480000.0,2015,R-1
Aviation - Adv Dev,5015000.0,2015,R-1
