acronym,program_name,piid,prime_contractor,total_contract_value,obligated,agency,department,clearance,city,state,locations,typical_roles,functional_areas,naics_code,naics_description,psc_code,pop_start,pop_end,bd_score,bd_status,contact_coverage,sub_count,staffing_firms_present,greenfield_type,discovery_strategy,data_sources
EPICS,IGF::OT::IGF  EPICS UNRESTRICTED CONTRACT; NOBLIS; # DTFAWA-17-D-00014 ON TASK ORDER # 0005 ENTERPRISE ENGINEERING SERVICES SUPPORT,5,"NOBLIS, INC.",297193945.8,264196958.1,Federal Aviation Administration,Department of Transportation,,WASHINGTON,DISTRICT OF COLUMBIA,,,,541330,,R425,3/23/2017,8/9/2026,44,PROSPECT,GAP,227,,,S4_EXPIRING,DISCOVERY
LOGISTICAL,"LOGISTICAL SUPPORT, PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES/AMISON SOMALIA",19AQMM19F0009,"PAE GOVERNMENT SERVICES, INC.",236494382.2,186548643.4,Department of State,Department of State,,,,,,,541618,,R706,11/14/2018,9/26/2026,44,PROSPECT,GAP,501,,,S4_EXPIRING,DISCOVERY
CRITICAL,CRITICAL FUNCTIONS: PORTFOLIO OF INTEGRATED VALUE-ORIENTED TECHNOLOGIES - INTEGRATION (PIVOT-I) - THE PIVOT-I CONTRACTOR IS RESPONSIBLE FOR THE TECHNICAL MANAGEMENT AND INTEGRATION OF PIVOT IT INFRASTRUCTURE SERVICES.,91990018F0014,"SRA INTERNATIONAL, INC.",194709222.4,176936384.7,Department of Education,Department of Education,,FALLS CHURCH,VIRGINIA,,,,541512,,D313,3/1/2018,4/30/2026,44,PROSPECT,GAP,162,,,S4_EXPIRING,DISCOVERY
THIS,"IGF::OT::IGF  - THIS TASK ORDER, 36C10B18N0006, IS HEREBY ISSUED ON A FIRM FIXED PRICED BASIS TO CERNER GOVERNMENT SERVICES, INC. (CERNER), UNDER THE TERMS AND CONDITIONS OF THE DEPARTMENT OF VETERANS AFFAIRS (VA) INDEFINITE DELIVERY, INDEFINITE QUANTITY (ID/IQ) CONTRACT NUMBER 36C10B18D5000, TITLED ELECTRONIC HEALTH RECORD MODERNIZATION (EHRM).  THIS TASK ORDER SHALL CONDUCT IOC DEPLOYMENT ACTIVITIES FOR THE FOLLOWING VISN 20 INITIAL OPERATING CAPABILITY (IOC) SITES AND ASSOCIATED FACILITIES:",36C10B18N0006,"ORACLE HEALTH GOVERNMENT SERVICES, INC.",161899664.8,161398991.2,Department of Veterans Affairs,Department of Veterans Affairs,,SEATTLE,WASHINGTON,,,,541512,,D318,9/27/2018,6/30/2026,44,PROSPECT,GAP,112,,,S4_EXPIRING,DISCOVERY
MANAGEMENT,"IGF::CL,CT::IGF MANAGEMENT AND OPERATING CONTRACT FOR Y-12 NATIONAL SECURITY COMPLEX, PANTEX PLANT, WITH AN OPTION FOR SAVANNAH RIVER TRITIUM OPERATIONS",DENA0001942,CONSOLIDATED NUCLEAR SECURITY LLC,53512366492,32198568960,,,,OAK RIDGE,TENNESSEE,,,,561210,,M1JZ,1/8/2013,9/30/2027,43,PROSPECT,GAP,45123,,,S4_EXPIRING,DISCOVERY
EGLIN,EGLIN - OPERATION&MAINTENANCE SERVICES (E-OMS),FA248616C0002,"RELIANCE TEST & TECHNOLOGY, LLC",740784612.2,1232635638,Department of the Air Force,Department of Defense,,CRESTVIEW,FLORIDA,,,,541330,,H210,4/1/2016,9/30/2026,42,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
NAVAL,NAVAL REACTORS,N0002418C2124,"BECHTEL PLANT MACHINERY, INC.",681958926,681958926,Department of the Navy,Department of Defense,,MONROEVILLE,PENNSYLVANIA,,,,332410,,4470,12/15/2017,11/30/2026,42,PROSPECT,GAP,53,,,S4_EXPIRING,DISCOVERY
BUNDLE,EA BUNDLE,HC108421F0175,WORLD WIDE TECHNOLOGY LLC,628154062.1,606480438.4,Defense Information Systems Agency,Department of Defense,,SAINT LOUIS,MISSOURI,,,,541519,,DA10,6/29/2021,4/23/2026,42,PROSPECT,GAP,0,,,S1_BIG_FISH,DISCOVERY
LRIP,LRIP LOT 1&2 INTEGRATED LOGISTICS SUPPORT,N0001918C1007,GENERAL ELECTRIC COMPANY,580281342.8,646710610.8,Department of the Navy,Department of Defense,,LYNN,MASSACHUSETTS,,,,336412,,2850,11/16/2017,3/27/2026,42,PROSPECT,GAP,49,,,S4_EXPIRING,DISCOVERY
NAVAL,NAVAL REACTORS,N0002417C2120,"BECHTEL PLANT MACHINERY, INC.",575059980,575059980,Department of the Navy,Department of Defense,,MONROEVILLE,PENNSYLVANIA,,,,332410,,4470,11/9/2016,9/30/2026,42,PROSPECT,GAP,59,,,S4_EXPIRING,DISCOVERY
PROGRAM,"PROGRAM MANAGEMENT, FINANCIAL AND BUSINESS MANAGEMENT, TECHNICAL AND ENGINEERING MANAGEMENT, INTEGRATED LOGISTICS SUPPORT, AND FOREIGN MILITARY SALES SUPPORT",N6660422F3004,SERCO INC,432029423,290052448.4,Department of the Navy,Department of Defense,,WASHINGTON,DISTRICT OF COLUMBIA,,,,541330,,R408,2/1/2022,1/31/2027,42,PROSPECT,GAP,65,,,S4_EXPIRING,DISCOVERY
USS,USS BATAAN (LHD 5)FY 24 DSRA,N0002424C4418,METRO MACHINE CORP.,399508225,387864627,Department of the Navy,Department of Defense,,NORFOLK,VIRGINIA,,,,336611,,J998,3/22/2024,5/21/2026,42,PROSPECT,GAP,77,,,S4_EXPIRING,DISCOVERY
F110,F110 TAIWAN ENGINE COVID-19 DIB,FA862620F0029,GENERAL ELECTRIC COMPANY,389318896,389318896,Department of the Air Force,Department of Defense,,CINCINNATI,OHIO,,,,336412,,2840,4/28/2020,12/31/2026,42,PROSPECT,GAP,119,,,S4_EXPIRING,DISCOVERY
JBE054,"JBE054 RUNWAY EXTENSION, JBER, ALASKA",W911KB22C0012,KIEWIT INFRASTRUCTURE WEST CO.,377620627.8,377077484.5,Department of the Army,Department of Defense,,JBER,ALASKA,,,,237310,,Y1BD,7/22/2022,9/21/2026,42,PROSPECT,GAP,386,,,S4_EXPIRING,DISCOVERY
STRYKER,STRYKER 30MM ECP MEDIUM CALIBER WEAPON SYSTEM UPGRADE FIRST D.O. FOR PRODUCTION AND MANUALS.,W56HZV21F0252,OSHKOSH DEFENSE LLC,361964069,361964069,Department of the Army,Department of Defense,,OSHKOSH,WISCONSIN,,,,336992,,2355,6/3/2021,1/31/2027,42,PROSPECT,GAP,118,,,S4_EXPIRING,DISCOVERY
AGM-88E,AGM-88E AARGM ALL UP ROUND (AUR),N0001919C0049,ALLIANT TECHSYSTEMS OPERATIONS LLC,360344528.9,351258060.8,Department of the Navy,Department of Defense,,NORTHRIDGE,CALIFORNIA,,,,336414,,1410,7/29/2019,12/31/2026,42,PROSPECT,GAP,118,,,S4_EXPIRING,DISCOVERY
LOT,LOT 17- PROCUREMENT OF 8 UH-1Y AND 4 AH-1Z AIRCRAFT FOR CZECH REPUBLIC.,N0001920C0061,BELL TEXTRON INC,325140677.3,325140677.3,Department of the Navy,Department of Defense,,FORT WORTH,TEXAS,,,,336411,,1520,9/4/2020,11/15/2026,42,PROSPECT,GAP,466,,,S4_EXPIRING,DISCOVERY
DESIGN,DESIGN BUILD CONSTRUCTION OF FACILITIES FORT LEONARD WOOD HOSPITAL REPLACEMENT,W912DQ19C4011,J. E. DUNN CONSTRUCTION COMPANY,319382955,319382955,Department of the Army,Department of Defense,,FORT LEONARD WOOD,MISSOURI,,,,236220,,Y1DA,8/8/2019,4/16/2026,42,PROSPECT,GAP,86,,,S4_EXPIRING,DISCOVERY
DDG,DDG 1000/1001 MODERNIZATION PERIOD PLANNING,N0002423C2324,HUNTINGTON INGALLS INCORPORATED,317854777,305159161,Department of the Navy,Department of Defense,,PASCAGOULA,MISSISSIPPI,,,,336611,,1905,1/6/2023,12/31/2026,42,PROSPECT,GAP,137,,,S4_EXPIRING,DISCOVERY
C-130H,C-130H AIRCREW TRAINING SYSTEM,FA862118F6260,CAE USA INC.,315959790.8,330042185.4,Department of the Air Force,Department of Defense,,TAMPA,FLORIDA,,,,336413,,J069,8/28/2018,8/24/2026,42,PROSPECT,GAP,118,,,S4_EXPIRING,DISCOVERY
MQ-9,MQ-9 FMS FRANCE CONTRACTOR LOGISTICS SUPPORT,FA868922C2017,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",227937953,181756123,Department of the Air Force,Department of Defense,,POWAY,CALIFORNIA,,,,541614,,R706,12/31/2023,6/30/2026,42,PROSPECT,GAP,72,,,S4_EXPIRING,DISCOVERY
BELGIUM,BELGIUM MQ-9B SKYGUARDIAN,FA868920C2013,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",227194875.4,227194875.4,Department of the Air Force,Department of Defense,,POWAY,CALIFORNIA,,,,336411,,1550,8/14/2020,4/1/2026,42,PROSPECT,GAP,62,,,S4_EXPIRING,DISCOVERY
PMS,"PMS 377,  PROFESSIONAL SUPPORT SERVICES (PSS) IN THE AREAS OF T&E, TECHNICAL MANAGEMENT SUPPORT, ACQUISITION AND LIFE CYCLE MANAGEMENT SUPPORT, LANDING CRAFT PLANNING YARD SUPPORT, INTEGRATED LOGISTICS SUPPORT (ILS), GFE SUPPORT, AND FLEET SUPPORT.",N0016419F3013,Serco-IPS Corporation,224819360.6,209850806.3,Department of the Navy,Department of Defense,,WASHINGTON NAVY YARD,DISTRICT OF COLUMBIA,,,,541330,,R425,9/9/2019,9/8/2026,42,PROSPECT,GAP,54,,,S4_EXPIRING,DISCOVERY
TECHNICAL,TECHNICAL SUPPORT FOR THE UTILITY HELICOPTERS PROJECT OFFICE,W31P4Q21FB001,"IRONMOUNTAIN SOLUTIONS, LLC",194263887.6,158018699.5,Department of the Army,Department of Defense,,HUNTSVILLE,ALABAMA,,,,541330,,R425,2/8/2021,8/8/2026,42,PROSPECT,GAP,13,,,S4_EXPIRING,DISCOVERY
DESIGN-BUILD,"DESIGN-BUILD (DB) HURRICANE FLORENCE RECOVERY MILCON PACKAGE 2, HQ FACILITIES AT MARINE CORPS BASE (MCB) CAMP LEJEUNE, NC",N4008520C0044,RQ-DPR JV,181776361.4,168351068.3,Department of the Navy,Department of Defense,,CAMP LEJEUNE,NORTH CAROLINA,,,,236220,,Y1JZ,7/24/2020,8/6/2026,42,PROSPECT,GAP,99,,,S4_EXPIRING,DISCOVERY
P-201,"P-201 DBB MACC TO JSF HANGAR MCAS MIRAMAR, CA",N6247324F4252,"HARPER CONSTRUCTION COMPANY, INC.",178577942.5,178577942.5,Department of the Navy,Department of Defense,,SAN DIEGO,CALIFORNIA,,,,236220,,Y1JZ,2/1/2024,11/23/2026,42,PROSPECT,GAP,309,,,S4_EXPIRING,DISCOVERY
MTV,MTV - OY6 ORDER FOR 1 TRUCK FOR ROMANIA,W56HZV23F0182,OSHKOSH DEFENSE LLC,157031907.6,206513991.4,Department of the Army,Department of Defense,,OSHKOSH,WISCONSIN,,,,336212,,2355,3/8/2023,10/31/2026,42,PROSPECT,GAP,125,,,S4_EXPIRING,DISCOVERY
SERVICES,SERVICES DELIVERY BRIDGE,HC102824F0386,"EMPOWER AI, INC.",135317275,105713454.1,Defense Information Systems Agency,Department of Defense,,WASHINGTON,DISTRICT OF COLUMBIA,,,,541611,,DE01,3/29/2024,6/29/2026,42,PROSPECT,GAP,16,,,S1_BIG_FISH,DISCOVERY
UNIFIED,UNIFIED VIDEO DISSEMINATION SYSTEM (UVDS) SUPPORT,HC102820F0135,CUBIC DIGITAL INTELLIGENCE INC,125654787,108700022.8,Defense Information Systems Agency,Department of Defense,,FORT GEORGE G MEADE,MARYLAND,,,,541512,,D399,2/7/2020,8/7/2026,42,PROSPECT,GAP,15,,,S1_BIG_FISH,DISCOVERY
FMTV,FMTV A2 ORDER,W56HZV23F0111,OSHKOSH DEFENSE LLC,123667690.8,159024798.3,Department of the Army,Department of Defense,,OSHKOSH,WISCONSIN,,,,336212,,2355,1/13/2023,9/30/2026,42,PROSPECT,GAP,113,,,S4_EXPIRING,DISCOVERY
TONN,"8 TONN TRUCKS FOR ISRAEL,  FMS CASE NO: IS-ZZC",W912CH25F0007,OSHKOSH DEFENSE LLC,88217238.12,176561027.2,Department of the Army,Department of Defense,,OSHKOSH,WISCONSIN,,,,336120,,2320,10/15/2024,4/30/2026,42,PROSPECT,GAP,57,,,S4_EXPIRING,DISCOVERY
PLANNING,PLANNING&MATERIAL (O&MN),N0002420C4312,ELECTRIC BOAT CORPORATION,1362219645,1331626815,Department of the Navy,Department of Defense,,GROTON,CONNECTICUT,,,,336611,,1905,8/14/2020,11/1/2027,41,PROSPECT,GAP,313,,,S4_EXPIRING,DISCOVERY
TASK,"IGF::OT::IGF TASK ORDER 36C10B18N0003 UNDER IDIQ CONTRACT 36C10B18D5000 FOR OPERATIONAL MANAGEMENT SERVICES, TO INCLUDE HOSTING, FOR THE EHRM APPLICATIONS, APPLICATION SERVICES, AND ALL SUPPORTING EHRM DATA.",36C10B18N0003,"ORACLE HEALTH GOVERNMENT SERVICES, INC.",1282850028,1276290795,Department of Veterans Affairs,Department of Veterans Affairs,,KANSAS CITY,KANSAS,,,,541512,,D318,5/17/2018,5/16/2026,41,PROSPECT,GAP,3,,,S4_EXPIRING,DISCOVERY
PURPOSE,"THE PURPOSE OF THIS CONTRACT IS TO ACQUIRE SCIENTIFIC RESEARCH SERVICES THAT CONCEIVES, DEVELOPS AND APPLIES SPACE, FIELD-DEPLOYED (I.E. AIRBORNE AND IN SITU) AND LABORATORY BASED TECHNOLOGIES AND OBSERVATIONS OF THE EARTH SYSTEMS.",80GSFC20C0044,"SCIENCE SYSTEMS AND APPLICATIONS, INC.",613875000,427978465.3,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,GREENBELT,MARYLAND,,,,541715,,AJ31,4/1/2020,9/30/2026,41,PROSPECT,GAP,271,,,S4_EXPIRING,DISCOVERY
OPERATIONS,IGF::OT::IGF OPERATIONS AND MAINTENANCE SUPPORT FOR UNION III COMPOUND IN BAGHDAD IRAQ- SUSTAINMENT PHASE,SAQMMA15F1245,"PAE GOVERNMENT SERVICES, INC.",419213451.9,273099472.2,,,,,,,,,561210,,S216,4/24/2015,3/31/2026,41,PROSPECT,GAP,229,,,S4_EXPIRING,DISCOVERY
WORLDWIDE,WORLDWIDE AVIATION SUPPORT SERVICES OY6,19AQMM24F0983,"AAR GOVERNMENT SERVICES, INC.",221911241.7,188888751.3,Department of State,Department of State,,PATRICK AFB,FLORIDA,,,,488190,,J015,6/1/2024,5/31/2026,41,PROSPECT,GAP,265,,,S4_EXPIRING,DISCOVERY
SYSTEMS,"SYSTEMS ENGINEERING, LOGISTICS, AND CYBERSECURITY (SELOCY)  THE NAVY HAS A REQUIREMENT FOR PROFESSIONAL, PERFORMANCE-BASED SERVICES IN SUPPORT OF THE PMW 240 SEA WARRIOR PROGRAM AND PMW 250 ENTERPRISE SYSTEMS AND SERVICES PROGRAM.",N0003921F3015,Millennium LLC,207636680.2,153712626.8,Department of the Navy,Department of Defense,,ARLINGTON,VIRGINIA,,,,541330,,R425,9/9/2021,3/9/2027,41,PROSPECT,GAP,108,,,S4_EXPIRING,DISCOVERY
NETWORK,"NETWORK ENGINEERING, DESIGN, IMPLEMENTATION AND INFRASTRUCTURE SUPPORT.",36C10B21N10180007,"Salient CRGT, Inc.",206998468.5,198909614.9,Department of Veterans Affairs,Department of Veterans Affairs,,FAIRFAX,VIRGINIA,,,,541512,,DG01,7/22/2021,6/21/2026,41,PROSPECT,GAP,84,,,S4_EXPIRING,DISCOVERY
LIFE,IGF::OT::IGF LIFE SUPPORT FOR THE UNION III COMPOUND IN BAGHDAD IRAQ- SUSTAINMENT PHASE,SAQMMA15F1246,"PAE GOVERNMENT SERVICES, INC.",197486209.3,197089634.8,,,,,,,,,561210,,S216,4/24/2015,3/31/2026,41,PROSPECT,GAP,127,,,S4_EXPIRING,DISCOVERY
PHASE,"PHASE A THROUGH F - ICON.  THIS CONTRACT IS FOR THE UNIVERSITY OF CALIFORNIA (UCB) AT BERKELEY SPACE SCIENCES LABORATORY, THE PRIME CONTRACTUAL INTERFACE FOR NASA FOR THE IONOSPHERIC CONNECTION EXPLORER (LCON) MISSION INVESTIGATION TEAM, THAT COVERS PHASE A OF THE MISSION. THE NASA AO IS NNHIIZDA0020. UNDER THE DIRECTION OF THE PRINCIPAL INVESTIGATOR (PI) DR. THOMAS IMMEL, UCB WILL BE THE PRINCIPAL CONTRACTOR TO NASA FOR ICON. UCB SHALL CONDUCT THE PHASE A CONCEPT STUDY IN ACCORDANCE WITH THE CO",NNG12FA45C,"Regents of the University of California, The",182059178.9,182059178.9,,,,BERKELEY,CALIFORNIA,,,,541712,,1820,1/11/2012,6/30/2026,41,PROSPECT,GAP,166,,,S4_EXPIRING,DISCOVERY
TANDEM,"THE TANDEM RECONNECTION AND CUSP ELECTRODYNAMICS RECONNAISSANCE SATELLITE (TRACERS) IS PROPOSED BY THE CONTRACTOR IN RESPONSE TO THE NATIONAL AERONAUTIC AND SPACE ADMINSTRATION'S (NASA) 2016 HELIOPHYSICS SMALL EXPLORER (SMEX) ANNOUNCEMENT OF OPPORTUNITY (AO). THIS STATEMENT OF WORK (SOW) DESCRIBES THE WORK TO BE CONDUCTED BY THE CONTRACTOR DURING THE PHASE A (TRACERS) PROJECT. THE CONTRACTOR SHALL PROVIDE THE NECESSARY PERSONNEL, MATERIALS, EQUIPMENT, AND FACILITIES TO PRODUCE THE TRACERS PHASE",80GSFC18C0008,THE UNIVERSITY OF IOWA,181644773.4,181434956.3,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,IOWA CITY,IOWA,,,,541713,,AR11,3/5/2018,3/31/2026,41,PROSPECT,GAP,300,,,S4_EXPIRING,DISCOVERY
OPERATION,"OPERATION OF THE KEYSTONE/RED ROCK JOB CORPS CENTERS, OUTREACH/ADMISSIONS, CAREER TRANSITION SERVICES",1605JE21C0003,ADAMS AND ASSOCIATES INC,171311209.6,149217647.3,Office of the Assistant Secretary for Administration and Management,Department of Labor,,DRUMS,PENNSYLVANIA,,,,611519,,U006,12/29/2020,7/31/2026,41,PROSPECT,GAP,270,,,S4_EXPIRING,DISCOVERY
VISN,"VISN 10 DEPLOYMENT ACTIVITIES FOR THE FOLLOWING SITES AND ASSOCIATED FACILITIES: CHALMERS P. WYLIE VETERAN OUTPATIENT CLINIC, CHILLICOTHE VAMC, DAYTON VAMC AND CINCINNATI VAMC, WHICH INCLUDES THE CINCINNATI-FORT THOMAS NURSING HOME AND DOMICILIARY.",36C10B20N0036EHRM,"ORACLE HEALTH GOVERNMENT SERVICES, INC.",170259387.3,170259387.3,Department of Veterans Affairs,Department of Veterans Affairs,,KANSAS CITY,KANSAS,,,,541512,,D399,8/27/2020,7/28/2026,41,PROSPECT,GAP,52,,,S4_EXPIRING,DISCOVERY
CDS,CDS BRIDGE CONTRACT  POP 09/08/2023 - 09/07/2025,70FA6023F00000039,INTERNATIONAL BUSINESS MACHINES CORPORATION,168145374.3,168145374.3,Federal Emergency Management Agency,Department of Homeland Security,,BETHESDA,MARYLAND,,,,541512,,R499,9/8/2023,3/7/2026,41,PROSPECT,GAP,62,,,S4_EXPIRING,DISCOVERY
DESIGN-BUILD-,"DESIGN-BUILD-BRIDGING CONSTRUCTION SERVICES FOR THE MODERNIZATION OF THE U.S. NATIONAL POULTRY RESEARCH CENTER (USNPRC), SEPRL CAMPUS IN ATHENS, GA  THIS IS A TWO-PHASE DESIGN-BUILD ACQUISITION. ONE SOLICITATION COVERS BOTH PHASES. PHASE I IS THE PRE-SELECTION PHASE IN WHICH THE GOVERNMENT WILL ""SHORTLIST"" MAXIMUM OF (4) OF THE MOST HIGHLY QUALIFIED OFFERORS. ONLY THOSE FIRMS SELECTED IN PHASE I WILL BE ALLOWED TO CONTINUE TO THE PHASE II. DETAILED DESIGN CRITERIA WILL THEN BE ADDED BY AMENDMENT",AG3K25C170001,M. A. MORTENSON COMPANY,149565662,149565662,Agricultural Research Service,Department of Agriculture,,ATHENS,GEORGIA,,,,236220,,Y1DB,7/31/2017,5/31/2026,41,PROSPECT,GAP,234,,,S4_EXPIRING,DISCOVERY
PURPOSE,THE PURPOSE OF THIS TO IS TO PROVIDE TECHNOLOGY INTEGRATED SERVICES TO NSIN AND ITS MISSION PARTNERS FOR THE PURPOSE OF COUNTERING AND DETERRING CURRENT AND EMERGING GLOBAL THREATS.,47QFCA22F0039,HII Mission Technologies Corp,813808663,590140505.1,Federal Acquisition Service,General Services Administration,,ALEXANDRIA,VIRGINIA,,,,541330,,R499,7/25/2022,7/24/2027,40,PROSPECT,GAP,411,,,S4_EXPIRING,DISCOVERY
,RECOVERY ACT FUNDS ARE BEING ADDED TO THE TASK ORDER,100,"CACI TECHNOLOGIES, LLC",7487007.06,0,,,,,,,,,,,,,,40,PROSPECT,DEEP,0,,,S3_PRIME_DEEP_DIVE,DISCOVERY
CONTRACT,CONTRACT W56HZV-20-C-0050 IS ISSUED TO PROVIDE CONTINUATION OF CONTRACT W56HZV-15-C-0095.,W56HZV20C0050,OSHKOSH DEFENSE LLC,19398225738,2066434770,Department of the Army,Department of Defense,,OSHKOSH,WISCONSIN,,,,336992,,2355,3/13/2020,9/25/2026,39,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
FY21,FY21 RCOH ACCOMPLISHMENT,N0002421C2106,HUNTINGTON INGALLS INC,3368736972,3354903639,Department of the Navy,Department of Defense,,NEWPORT NEWS,VIRGINIA,,,,336611,,1905,2/19/2021,10/6/2026,39,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
FY11,FY11,N0002411C2111,ELECTRIC BOAT CORPORATION,1345660290,913358953,Department of the Navy,Department of Defense,,GROTON,CONNECTICUT,,,,336611,,1904,10/1/2010,5/31/2026,39,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
TECHNICAL,TECHNICAL MANAGEMENT & ADVISORY SERVICES (TMAS 2) 96TH CTG,FA248622FA003,"Oasis Systems, LLC",971900046.1,329512146,Department of the Air Force,Department of Defense,,EGLIN AFB,FLORIDA,,,,541712,,R425,10/1/2022,9/30/2026,39,PROSPECT,GAP,97,,,S4_EXPIRING,DISCOVERY
AWARD,"AWARD OF THE VA LOUISVILLE MEDICAL CENTER - LOUISVILLE, KY",W912QR21C0027,WALSH - TURNER JV II,954910876,942101942,Department of the Army,Department of Defense,,LOUISVILLE,KENTUCKY,,,,236220,,Y1JZ,9/10/2021,4/16/2026,39,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
N105B,"N105B/PM3 AND PM5/ CREATED BY PAVELCHAK ON BEHALF OF WOOD, JAMES/ CONTRACT AWARD FOR THE OPERATION AND MAINTENANCE OF EIGHT GOVERNMENT-OWNED LARGE, MEDIUM-SPEED, ROLL-ON, ROLL-OFF (LMSR) VESSELS.",N3220521C3009,"PATRIOT CONTRACT SERVICES, LLC",915039725.2,866208958.9,Department of the Navy,Department of Defense,,CONCORD,CALIFORNIA,,,,483111,,V124,4/1/2021,3/31/2026,39,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
BIG,BIG SAFARI,FA862025FB072,"AEVEX AEROSPACE, LLC",892782221,645778830,Department of the Air Force,Department of Defense,,SOLANA BEACH,CALIFORNIA,,,,541715,,1410,12/2/2024,9/30/2026,39,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
ECB4,ECB4 DESIGN & CONSTRUCTION,W912DR22C0012,"BALFOUR BEATTY CONSTRUCTION, LLC",707813253,701720362.1,Department of the Army,Department of Defense,,FORT GEORGE G MEADE,MARYLAND,,,,236220,,Y1JZ,5/1/2022,5/11/2026,39,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
ZONE,"ZONE 1 TYNDALL AFB, FL",W9127822C0008,HENSEL PHELPS CONSTRUCTION CO,656255490.3,646246975.3,Department of the Army,Department of Defense,,PANAMA CITY,FLORIDA,,,,236220,,Y1JZ,5/20/2022,7/18/2026,39,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
OPERATIONS,"OPERATIONS, MAINTENANCE, AND DEFENSE OF ARMY COMMUNICATIONS (OMDAC) IN SOUTHWEST ASIA AND CENTRAL ASIA IN SUPPORT OF THE UNITED STATES NETWORK ENTERPRISE COMMAND (NETCOM).",W91RUS21C0001,VECTRUS SYSTEMS LLC,640897262.3,589286737.7,Department of the Army,Department of Defense,,,,,,,811213,,DG01,12/27/2020,4/30/2026,39,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
CONSTRUCTION,"CONSTRUCTION OF PHYSICAL SECURITY/SAFETY IMPROVEMENTS IN THE NEW YORK, NY AREA (MANHATTAN AND BROOKLYN BOROUGHS) ON AND AROUND LONG SPAN BRIDGES.",W912DS19C0015,KIEWIT INFRASTRUCTURE CO.,443701488,443701488,Department of the Army,Department of Defense,,NEW YORK,NEW YORK,,,,237310,,Y1LB,9/12/2019,7/23/2026,39,PROSPECT,GAP,19,,,S4_EXPIRING,DISCOVERY
MILLIMETER,40 MILLIMETER GRENADE AMMUNITION CONTRACT,W52P1J17C0051,AMTEC CORPORATION,442396495.5,539587646.9,Department of the Army,Department of Defense,,JANESVILLE,WISCONSIN,,,,332993,,1310,8/30/2017,4/2/2026,39,PROSPECT,GAP,0,,,S4_EXPIRING,DISCOVERY
FY20-24,FY20-24 IN-SERVICE SUBMARINE PLANNING YARD,N0002420C2109,HUNTINGTON INGALLS INC,440991602.9,436385616.9,Department of the Navy,Department of Defense,,NEWPORT NEWS,VIRGINIA,,,,336611,,1905,12/20/2019,6/30/2026,39,PROSPECT,GAP,22,,,S4_EXPIRING,DISCOVERY
ENGINEERING,ENGINEERING AND TECH SUPPORT RDTE FUNDS,HQ014719F0012,THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC,416777140,162679847.3,Missile Defense Agency,Department of Defense,,LAUREL,MARYLAND,,,,541715,,AC23,11/15/2018,12/31/2026,39,PROSPECT,GAP,41,,,S4_EXPIRING,DISCOVERY
THIS,"THIS IS A CONTINUED CONTRACT FOR FA2517-18-C-8000.  SOLID STATE PHASED ARRAY RADAR SYSTEM (SSPARS) ORIGINALLY AWARDED AS FA2517-18-C-8000, PROVIDING NON-PERSONAL SERVICES TO PERFORM OPERATIONS, MAINTENANCE AND SUPPORT 24/7 FOR THE SSPARS SYSTEM",FA251822C0001,"INDYNE, INC.",393052618.9,343342407.6,Department of the Air Force,Department of Defense,,LEXINGTON PARK,MARYLAND,,,,517919,,M1BG,3/24/2022,10/31/2026,39,PROSPECT,GAP,69,,,S4_EXPIRING,DISCOVERY
MQ-9,MQ-9 REAPER CONTRACTOR LOGISTICS SUPPORT (CLS) 2019-2023 FMS UNITED KINGDOM,FA862019C2003,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",349646742,309902212.6,Department of the Air Force,Department of Defense,,POWAY,CALIFORNIA,,,,541614,,R706,7/1/2019,3/31/2026,39,PROSPECT,GAP,36,,,S4_EXPIRING,DISCOVERY
ISS-J,ISS-J - BASE YEAR CONUS LABOR,H9240219C0006,"ACTIONABLE SOLUTIONS GROUP, LLC",340842301.2,222708387.9,U.S. Special Operations Command,Department of Defense,,FORT BRAGG,NORTH CAROLINA,,,,541990,,R423,5/20/2019,6/25/2026,39,PROSPECT,GAP,16,,,S4_EXPIRING,DISCOVERY
BUNDLE,EA BUNDLE,HC108421F0168,"IRON BOW TECHNOLOGIES, LLC",328626550,328626550,Defense Information Systems Agency,Department of Defense,,HERNDON,VIRGINIA,,,,541519,,DA10,7/1/2021,4/23/2026,39,PROSPECT,GAP,0,,,S1_BIG_FISH,DISCOVERY
