acronym,count,contexts,possible_meaning
OPT,3,"[' POP through 2028. Base period through april 2025 OPT 1 04/26 pt 2 04/27 opt 3 045/28 OPT 4 04/29 Erics', ' POP through 2028. Base period through april 2025 OPT 1 04/26 pt 2 04/27 opt 3 045/28 OPT 4 04/29 Erics', ' POP through 2028. Base period through april 2025 OPT 1 04/26 pt 2 04/27 opt 3 045/28 OPT 4 04/29 Erics']",
PHD,3,"['e for SME Policy Analyst. onsite at pentagon. SME/PHD in substance abuse specifically in the DOD. Secre', 'e for SME Policy Analyst. onsite at pentagon. SME/PHD in substance abuse specifically in the DOD. Secre', ' in Arlington. Mike Cahil is PM. was hiring for a PHD candidate in drug abuse specifically within the D']",
PRISM,3,"['SAIC: MISS OSD PNR PRISM Req intake for SME Policy Analyst. onsite at pent', 'SAIC: PRISM Tag up with Molly. trying to sell devops engineer', 'SAIC: PRISM Tag up with Mike. The are on held right now from ']",
TARC,3,"[' that needs to happen. supporting the OSUD at the TARC and pentagon.', 'John. new INFOSEC position on stie first month at TARC in arlington. heavy INFOSEC reporting direclty to', 'd. this is a hybrid role, 2-3 days on-site at the TARC in Arlington. 2 round interviews. 30 min prescree']",
GWAC,3,"['r current sub know on April. Alliant 2 contract - GWAC Vehicle GSA through April 2029.', 'r current sub know on April. Alliant 2 contract - GWAC Vehicle GSA through April 2029.', 'r current sub know on April. Alliant 2 contract - GWAC Vehicle GSA through April 2029.']",Government-Wide Acquisition Contract
RHEL,3,"['to interview ASAP. looking for JR sys admin heavy RHEL 9 and anslibe. stigging and patching systems that', 'gration team. very ccruicial member in many ways. RHEL and Amergint. with that. he was interested in Bas', 'ege grads etc. They however have not found a stud RHEL guy to join Ben and Brenden and going to potentia']",
GSC,3,"['NGC: DARC sr GSC for DARC. works with Dave porter a lot. office do', 'a hubzone on the dropdown and he does not know if GSC is going to go for onboarding another hub zone wh', 'e that wokred there 4 years ago. Sending over our GSC poc for NGC for him to send over an SOW for a few']",
STRIKE,3,"['NGC: INSITE/STRIKE TEAM Intro to Justin. He has a team of 5 that is ', 'NGC: INSITE / STRIKE tag up with Justin. offer for peter and pass on o', 'NGC: STRIKE Tag up with Justin and Tod. received funding for ']",
FPGA,3,"['elease next week. Has 1 more Firmware opening and FPGA (said he might have candidate for it though so ho', 'through volt or workday. have 1 more firmware and FPGA, not working if DP and 15% . going to reach out t', 'ce in Baltimore. has 3 employees 2 hardware and 1 FPGA engineer. no forecasted work. soccer season is in']",
AVI,3,"['AVI: intro to Nick. been with AVI for 10+ years. started off in Cincinatti as opps ', ' from Nick Felty who is the workforce manager for AVI and worked with Jeremy for years. Jeremy took a r', 'AVI: Tag up with Nick regarding MSA. he is going to h']",
JDAM,2,"[' 4:30pm - They will be supporting these programs: JDAM, and SDB, - Still Need a Bill rate. We are going ', 'ms Such as (VC-25B, T7 Trainer, F-47, F-18, F-15, JDAM, PAC-3 and have supported SDB in the Past. He is ']",Joint Direct Attack Munition
SDB,2,"['They will be supporting these programs: JDAM, and SDB, - Still Need a Bill rate. We are going to send h', ' F-47, F-18, F-15, JDAM, PAC-3 and have supported SDB in the Past. He is Team is 300 Engineers between ']",Small Diameter Bomb
ASNT,2,"['800 hours of exp No Degree needed Certifications: ASNT (Bible for NDT Qualifications) Tools - egress too', 'ons. Level III NDT: Making $150k a year Level III ASNT in ET, UT, PT, RT, MT Wants people coming out of ']",
EUS,2,"['SCi) - Chandler, AZ - Building the Core Stage and EUS (Exploration Upper Stage) of the Safe and Arm mec', 'rry McGee – Sr. Core Stage Manager James Savage – EUS Chief Engineer Jamie Velotta – Sr. Manager Avioni']",
CAM,2,"['leans) 1 in KSC (Titusville) They need 5-10 years CAM of Project Management Degree or Financial Analysi', 'leans) 1 in KSC (Titusville) They need 5-10 years CAM of Project Management Degree or Financial Analysi']",
EVMS,2,"['agement Degree or Financial Analysis Degree. Need EVMS (Earned Value Management Systems) Experience Rout', 'agement Degree or Financial Analysis Degree. Need EVMS (Earned Value Management Systems) Experience Rout']",
FAXX,2,"[' Launch in February or March Next big Program is (FAXX (Navy fighter plane) 1 billion dollar program Boe', ' Launch in February or March Next big Program is (FAXX (Navy fighter plane) 1 billion dollar program Boe']",
IDTA,2,"[""be using for Stress Analyst: Teamcenter (IE's and IDTA's) Simens NX Enovia May need a clearance They wan"", ""be using for Stress Analyst: Teamcenter (IE's and IDTA's) Simens NX Enovia May need a clearance They wan""]",
FSO,2,"['nternally. He also needs us to reconnect with his FSO to make sure we have the right DD254 for their pr', ' working towards the broader initiative. Palantir FSO was able to add some notes to the read on and fig']",
ADP,2,"['the dry desert in Texas. He supports ALIS & ODIN, ADP, C130, F22, F35 on Data Analytics & sustainment H', ""ns (EO) - Supports Engineering Aeronautics (C130, ADP skunkworks etc.) He's originally from Michigan & ""]",
NGA,2,"['er about 20 programs and $100m. TARPIN, NRO, NSA, NGA, DNI, Intell looking for two positions to start -', 's a new COR in place along with new leadership at NGA which forward thinking and new opportunities are ']",
SBSA,2,"['s someone who comes from an R&D background. Heavy SBSA (Site based Security Assessment). Gave them Micha', 's someone who comes from an R&D background. Heavy SBSA (Site based Security Assessment) and CI poly requ']",
CDS,2,"['y have been struggling with a strong Cyber SME w/ CDS and RTP. They need strong accreditation with RMF ', 'y have been struggling with a strong Cyber SME w/ CDS and RTP. They need strong accreditation with RMF ']",
NYE,2,"['ear old daughter and just went to NYC right after NYE. Huge traveler and her daughter plans all the tri', '. Only has the two days off during the Christmas/ NYE holiday. Business: Went to a conference to get up']",
USAF,2,"['Leidos - USAF/USSF - Sr. Director of Growth - 12 year old daugh', 'USAF- Reached out to Pat, he is no longer with Deloitt']",
CEO,2,"['t - Cyber Mission Sector - reports to the Peraton CEO)', 'n my future lol and how many seats I am under the CEO of Prime, told him literally reporting to Liam CF']",
GCC,2,"[""e separated by a door - Ben asked about Peraton's GCC contract that's under protest - he said Arcyber d"", 'eading the team building picking his people. Army GCC seems to have passed protest and CBOSS is another']",
HER,2,"["" 2nd is a technical interview) - hiring outlook = HER TEAM - won't be hiring any additional folks unles"", 'ork sustainability/health long term) SAID TO SEND HER PROPOSALS (RFQ) FOR PRIME TO DO THE IDF CLEANUPS ']",
ODNI,2,"['ry - CACI - Deputy Program Manager supporting the ODNI Intro Teams Meeting - Thursday, September 4th at ', 'for Office of Director of National Intelligence - ODNI. TS/SCI.']",
EMOC,2,"['y get will be ""Night Shift"" Tier 1 Service Desk - EMOC Tech (same as previous role, may be tweaked a lit', "" O365 and HCE Services and Help Desk experience - EMOC Technician title - same as we've supported him in""]",
FORGE,2,"['d Raytheon Supplier Supporting Raytheon programs: FORGE, EINSTEIN, M2C2, DOMino Also supporting Boeing’s ', 'NGC: FORGE Tag up with Sandy. she is in the midst of posting']",
SCIF,2,"[""ntro Teams Meeting (Turned Call because he's in a SCIF) - call 6162 number - Monday, September 15th at 9"", 'e they will be working. no name for building, new SCIF. wants to interview Paul Lucerelli on Tuesday at ']",
GROUND,2,"[""ickly - then they'd go the contractor route - his GROUND RADAR SYSTEMS team is jointly shared - supporting"", "" leads the Ground Systems Group in Seal Beach for GROUND TEAM (which he leads) - mentioned Dennis Gould's ""]",
UGA,2,"["" has a son - 18 - Sr. in HS - looking at going to UGA - he's going to the beach next week - St. Simons "", 'him so they went there for thanksgiving -TT about UGA vs AL game this weekend -They still are in holdin']",
UPENN,2,"['ly from New Jersey - went to Lehigh (undergrad) - UPENN (grad) and Harvard (Business School GM Program Al', 'ly from New Jersey - went to Lehigh (undergrad) - UPENN (grad) and Harvard (Business School GM Program Al']",
BIGGEST,2,"['er 6,500 people and roughly $4 billion business - BIGGEST STAFFING NEED = just won ESS (Evolved Strategic S', 'er 6,500 people and roughly $4 billion business - BIGGEST STAFFING NEED = just won ESS (Evolved Strategic S']",
BOB,2,"['t with Jimmy Boan to confirm what Denny said RTB (BOB - below) - no updates on the training solution. -', 't with Jimmy Boan to confirm what Denny said RTB (BOB - below) - no updates on the training solution. -']",
USE,2,"[""oring tools (creation and solutions) - THEY DON'T USE APPDEV or SOFTWARE DEVELOPERS - (not a Python or "", 'DONT USE THIS LADY.']",
DON,2,"["" monitoring tools (creation and solutions) - THEY DON'T USE APPDEV or SOFTWARE DEVELOPERS - (not a Pyth"", ""LMCO re: below ; HIRING MANAGER FOR ME AT LMCO DON'T CALL""]",
THEY,2,"[""s for monitoring tools (creation and solutions) - THEY DON'T USE APPDEV or SOFTWARE DEVELOPERS - (not a "", 'roles are to pipeline a bench of candidates - WHY THEY CREATED THIS REQUIREMENT: Boeing and BDS has a st']",
THIS,2,"['pipeline a bench of candidates - WHY THEY CREATED THIS REQUIREMENT: Boeing and BDS has a strong desire t', 'DONT USE THIS LADY.']",
INTRO,2,"['rningham (Software Engineering Manager - GSCCE) = INTRO and Req. Qual Call for their Software Integration', 'rningham (Software Engineering Manager - GSCCE) = INTRO and Req. Qual Call for their Software Integration']",
MILSATCOM,2,"['he pie"" is Mission Processing side - she supports MILSATCOM satellite and ground system and manage different ', ""neering, Integration and Test and Cybersecurity - MILSATCOM folks - PTES = supports U.S. Space Force's protec""]",
CALL,2,"['l from Cadence Call - Monday, 11/3 at 9:30am EST (CALL) Next Action Steps: 1) Follow-up first week in De', ""O re: below ; HIRING MANAGER FOR ME AT LMCO DON'T CALL""]",
SMS,2,"['pace Intel and Weapons Systems Group - previously SMS (Space Mission Systems) - was less than 100, but ', 'ents and full time subcontract agreements: - VAE, SMS, ANS Tim Norton runs the program Scott Williams i']",
PTES,2,"['Boeing - GSCCE & PTES Programs - David Vohs - Program Manager to both p', 'Boeing - PTES Program - Eric Zipple - Senior Software Engineeri']",
SAID,2,"[""ous training (real time, gamified, etc.) - BRANER SAID THE ARMY & NAT'L GUARD WORK WE'RE SUPPORTING = AG"", 'ositioned very well for her projects SPECIFICALLY SAID SHE WOULD BE LOOKING TO AWARD ENTIRE COLO’S LOVES']",
DFAS,2,"['Perton - DFAS - Greg Nash - Program Manager - Scheduled Call to', 'Peraton - DFAS - Greg reached out regarding our tester candidate']",
ATC,2,"[' won their huge FAA contract to win ""building the ATC system"" - $12 billion dollar contract - Peraton i', 'avannah. Peraton just won the next FAA contract - ATC contract. 31.5 billion dollar contract to moderni']",
JAN,2,"['ny DeZarn and David Barningham referral - Friday, JAN. 16th at 3pm ET - Braner was on this call. RTP: -', 'led Intro Call by way of Anny Lin (NGC) - Monday, JAN. 19 - 6pm ET **Keith sits in NGC - Redondo Beach ']",
CUDA,2,"['gs of all levels of experience - - also has PERL, CUDA, PYTHON Engineering needs as well - they use MAGN', 'te 3 follows that. Manny is giving us a shot on a CUDA developer role (see #9353). He does his own presc']",
DECOM,2,"[""CACI - VMOD Euro Stuttgart DECOM starting early October. We will need several FSE'"", ""ACI - VMOD2 Currently staffed but still will need DECOM FSE's. Trying to get our UC candidates and front ""]",
TDM,2,"[' of the interviews. Bringing Randy Holt over from TDM Europe to handle survey. Survey teams may be cros', 'Will utilize our O&M teams on base to support, 10 TDM Europe guys coming over for initial support befor']",
NIPR,2,"['nd ByLight front runners. 9 functional areas SIPR NIPR VOIP/Voice (VMOD 3 will be part of this award) WI', ' shift until February. TS/SCI JiRA and confluence NIPR and SIPR servers']",
UAS,2,"['CACI - C-UAS IDIQ Teaming agreemnt with C-UAS. Expected RFP by Christmas. Supports DHS The Cont', 'ed before (the team is heavy army) and being from UAS helps on the coyote side of things - Sentinel tec']",
CHAIN,2,"['ian taking over in the interim. still 3 needs for CHAIN', 'NGC: CHAIN discussion on windows Admin']",
JBLM,2,"['SAIC: IBCS new need for JBLM. FSE', 's. Needs to confirm travel requirement. Onsite at JBLM out in Washington.']",
DAFCW,2,"['NGC: DAFCW tag up with Lauree for dan. 1. rate approval 2. p', 'NGC: DAFCW help desk opening for DAFCW under lauree. 2nd and 3rd shfit. working first sh']",
CFO,2,"[' on lookout for call from carabou thunder. geting CFO involved for Jacob.', 'EO of Prime, told him literally reporting to Liam CFO haha he was definitely impressed, was giving him ']",
TDY,2,"['SAIC: richard going TDY. levock needing diff pay starting nex week. Alex ', 'eek of Jan. Mentioned some of his team will be on TDY and the others are at the point to where they hav']",
SIAC,2,"['SIAC: tag up with matt. wanted to see if still have ac', 'SIAC : tag up wtih John']",
TARS,2,"['S tag up with amber to discuss travel. non of our TARS though we dont have ability to submit.', 'all submissions. having to work around and create TARS in the rear and in advance for past travel. no ap']",
CLOUD,2,"['Grand Fork. Looking for IT positions to help with CLOUD and Onsite implementation to make sure systems ar', 'current performance with SAIC on RITS, Horizon 2, CLOUD 1, and EDIS. She mentioned SAIC as a whole is str']",
CMMC,2,"[' idea about timeline. He asked us about if we are CMMC 2 certified, we are not. CMMC 2 requires 3rd part', 'f DoD 8140 Cert requirements for ""work roles"" and CMMC requirements which will begin being implemented i']",
SSA,2,"['Peraton - CMS/SSA Quarterly reconnect with Omer. Him and his wife w', 'Leidos, SSA, ITSSC: met with Neha this morning, learned a lit']",
OGS,2,"['ion office - things to keep an eye out for - TGS, OGS, PMISNA, 35Tango, Army Ground system - SIGINT or ', 'ts to hear back on the approvals in Jan. Just us, OGS and Vanguard (they already have people on this te']",
ELK,2,"['ineering/architecture, kaftka/connector exposure, ELK stack (it already exists) they are just enhancing', 'rviewed anyone or have any good candidates - need ELK stack, kibana is the most preferred but she said ']",
JMT,2,"[""big and they are going to deploy in decemeber, 2. JMT - Satcom ordering tool that's going live in Novem"", ""ure work that's coming down the pipeline - so the JMT efforts - We talked a bit about the organizationa""]",
USPS,2,"['s and Joe Russett about a second proposal for the USPS deal we are partnering up on - There is a second ', 's and Joe Russett about a second proposal for the USPS deal we are partnering up on - There is a second ']",
TRIP,2,"[' Paul Stancil who does AISR and ""George"" who does TRIP and ""Zach"", there is only a handful of direct rep', ""oss Hill AFB ALL LCAT 62'S (1) AISR, (2) MDA, (3) TRIP NOC Technicians; unfotunately they axed all inter""]",
DRSN,2,"['AC for LCAT63 - Secret Clearance (Rob Butsman?) - DRSN Enterprise Voice Engineer at Scott AFB for LCAT62', 'Leidos-AFNCR- No new updates with John and the DRSN team. John is tough cookie to speak with...really']",
SOF,2,"['Raytheon - Associate Director US Army, USMC ,& SOF Effectors and Sensors - Advanced Technology - Ty ', 'portunity under Stacey she has 4 major areas: RF, SOF GLSS, Amity-UK, and Mission Systems Helping me ge']",
GECOS,2,"['GDIT - GECOS - Unified Directory Services Manager RTP: 4 1/2 y', 'GDIT - GECOS - Program Manager RTB: GECOS (Guard Enterprise Cyber Operations Support) suppo']",
NCIS,2,"[""GDIT - NCIS - Director RTP: Kathy's background is in law enfo"", 'GDIT - NCIS - Director RTP: Had a good holiday, getting over ']",
EMASS,2,"['Booz Allen Hamilton - EMASS - Senior Lead Engineer RTP: had a lowkey Hallowee', 'Booz Allen Hamilton - EMASS - Senior Lead Engineer RTP: Marianne had a quiet ']",
VMS,2,"["", and trainers too. She didn't know if they use a VMS or beeline or if they do normal subcontracting. S"", 'ound interview and they prefer long term subs. No VMS. Following up after govt shutdown. Meeting on sit']",Vendor Management System
SMORS,2,"['ek. He remembered us form our past performance on SMORS. He is from Albuquerque, NM area, and visits fami', ' the logistics with her and Tyler who was also on SMORS. they have won site 2, but waiting on funding for']",
SGT,2,"[' Rachel manages all the proposals and capture for SGT. SGT is based out of Crystal City, but she is in ', 'iernan is the VP of business development & sales. SGT does work conus and oconus, not all cleared. The ']",
OKC,2,"['nance leaders usually need support for Hawaii and OKC roles, so she is going to have them join on the n', 'amsburg, VA -heard about the opening we filled in OKC for TACAMO and thanked us -not much going on on B']",
DTRA,2,"[' Army guy, and in the DC area RTB: Robert is over DTRA and his two main programs he oversees is DSMS and', 'GDIT - DTRA - Deputy PM RTP: Randy was in the Army for 8 year']",
SDS,2,"['NGC - SDS - Small Business Lead RTP: Salt Lake City area RT', 'NGC - SDS - Small Business Liasson RTP: In Roy, Utah. had a']",
STIG,2,"['nalyst to AvMCs CIO/G6, The team is also handling STIG Coplaince, RMF , monitoring and vulnerabiility. C', 'ementation of scroll-defender and steel cloud for STIG Automation']",
CCAD,2,"['HR, Back ofice support Corpus Chrisit Army Depot (CCAD) Tek Systems, Field Support technicians rotationa', 'HR, Back ofice support Corpus Chrisit Army Depot (CCAD) Tek Systems, Field Support technicians rotationa']",
IPTA,2,"['butor for service desk. Works remote 1 day a week IPTA currently has a standstill due to interanl financ', 'butor for service desk. Works remote 1 day a week IPTA currently has a standstill due to interanl financ']",
ADMIN,2,"['tsville AL - IPTA - PMO, ITSM, Help Desk, Systems ADMIN, Network, Cyber Mainly Secret Clearance a few TS/', 'tsville AL - IPTA - PMO, ITSM, Help Desk, Systems ADMIN, Network, Cyber Mainly Secret Clearance a few TS/']",
JBLE,2,"['ween redstone and CCAD jOINT bASE Langley Eustis, JBLE VA - Insight Global - Filed it specialist / help ', 'ween redstone and CCAD jOINT bASE Langley Eustis, JBLE VA - Insight Global - Filed it specialist / help ']",
CIS,2,"['rency is part of GDIT’s strategy for the upcoming CIS recompete. Onboarding Requirements: Rob will star', 'er 2026. THey are working on the RFP response for CIS, which is the next evolution of this.']",
ISEE,2,"['eduled Sec+ for early next week. Program Context: ISEE contract is in Year 5, moving into Year 6 bridge ', 'Working activley with Eileen on GDIT ISEE Program - George Maranvile Placed L5 Exchange Eng']",
STAFF,2,"['uled 10/01/2025 #Principle System Engineer (T3) - STAFF 3619', 'iew 10/07/2025 #Principle System Engineer - GWS - STAFF 3620']",
LRHW,2,"['LMCO re: below ; CPS and LRHW are flat after staffing meeting. Sees growth in F', 'LMCO re: below ; caught up on LRHW in HSV. Setting me up with Jonathan Hayes in the ']",
CAD,2,"['re candidates are out. Lacked PLM and significant CAD experience', "" Visio exp. would be good too - blueprints are in CAD format but they'll use overlays to show all the d""]",
CSIE,2,"['LMCO- RMS CSIE + PTS (SDVOSB Partner) Org- 2500 engineers, not i', 'h our meeting today and appreciate your overview. CSIE Org Reviewed org with Core Aegis Products, Progra']",
PEO,2,"['200 million in the red and bleeding right now new PEO from their customer and does not want LM working ', 'to align better to reorg on the customer side and PEO decorticate -Org Chart: Stephanie Hill > Erika Ma']",Program Executive Office
LMS,2,"['d Haeske Director- Manon Patel Sub segments: F35, LMS, ACS Pursuits- Flight School Next working with Ap', '. Training Systems Management and Administration (LMS) h. Training Support Solution Design, Development']",
CNI,2,"['CO re: below ; subcontracts for Keith Haddock and CNI group. DRFP is coming out soon for iOS and Androi', 're: below ; subcontract POC for Keith Haddock and CNI group. DRFP is being released for needs with FSP']",
IWSS,2,"['LMCO- RMS EA for IWSS director of Engineering', 'LMCO- RMS former VP of IWSS segment under Sikorsky, now helping with 1LMX tra']",
HIRING,2,"[""LMCO re: below ; HIRING MANAGER FOR ME AT LMCO DON'T CALL"", 'LMCO re: below ; HIRING MANAGER FOR ME AT LMCO']",
MANAGER,2,"[""LMCO re: below ; HIRING MANAGER FOR ME AT LMCO DON'T CALL"", 'LMCO re: below ; HIRING MANAGER FOR ME AT LMCO']",
BBQ,2,"['to chaco canyon to camp this weekend -They have a BBQ on thursday -HADES - this is the name of the EDIS', 'Vision Technologies: Intro to John at Cue BBQ. runs the Data Centers for Vision. going to be br']",
CCNP,2,"[""rcell and Jeffrey Gaston -don't neccessarily need CCNP -heavy routing and WAN -new data center is SDN wi"", 'will need to be a 10-year network engineer with a CCNP and an IAT III certification because this positio']",
TACAMO,2,"['CACI - MC2S - falls under TACAMO (not scorpion but same program) -Req qualed posit', ' VA -heard about the opening we filled in OKC for TACAMO and thanked us -not much going on on BD Front and']",
FRD,2,"['bligate funding should be coming through to bring FRD back inline to other CLIN FRDs -Draft RFP & decis', 'bligate funding should be coming through to bring FRD back inline to other CLIN FRDs -Draft RFP & decis']",
ISE,2,"['TT...req qualed the CISCO ISE Engineer..only open position he had now that was ', 'TT...found out the role for Cisco ISE was under Gary Trautmann and let me know it is hi']",
OCI,2,"['T...went through pending interviews and sent over OCI Debrief for Gwendolyn Henry ~Gage didnt need any ', 'rris --- general subcontractor reminders.. Submit OCI 2days prior to starting and sign/deliver upon las']",
DOS,2,"['mposium. He is the portfolio director over all of DOS. They will have more work on his task order once ', 'DES Recurring with Evan. No major changes yet for DOS but he is hoping that will change once MES wraps ']",
DCSA,2,"['Leidos - DES Met with Kim about DCSA expenses and backdating DCAA rates.', ""Peraton, DCSA Meeting, good catching up, he's still busy as eve""]",
SDNS,2,"['Leidos - NGEN Met with Marcie to discuss new SDNS position. She also watched Dunkirk recently and I', 'eidos - NGEN Call with Paula to get times for the SDNS position. She also does onsite interviews.']",
JSIG,2,"['with RMF, ATO packages, and prior experience with JSIG. Looking for 7-9 years experience as an ISSO or I', 'with RMF, ATO packages, and prior experience with JSIG. Looking for 7-9 years experience as an ISSO or I']",
ATO,2,"['ey AFB, VA. Looking for somebody strong with RMF, ATO packages, and prior experience with JSIG. Looking', 'ey AFB, VA. Looking for somebody strong with RMF, ATO packages, and prior experience with JSIG. Looking']",
PSO,2,"['GDIT - Contract PSO - JUSTIFIED - Monthly JUSTIFIED meeting w/ Sole a', 'GDIT - Assistant PSO - JUSTIFIED - Monthly JUSTIFIED meeting w/ Sole a']",
VCP,2,"[' VCA cert, and they will need the person to get a VCP cert within 6 months after starting. Lauren said ', ' VCA cert, and they will need the person to get a VCP cert within 6 months after starting. Lauren said ']",
VCA,2,"['trator Mid at Quantico. Requires an IAT III and a VCA cert, and they will need the person to get a VCP ', 'trator Mid at Quantico. Requires an IAT III and a VCA cert, and they will need the person to get a VCP ']",
VMT,2,"[""ow that he didn't think that they had enough ACAS/VMT experience, as the role has gained an increased n"", ""ow that he didn't think that they had enough ACAS/VMT experience, as the role has gained an increased n""]",
ACAS,2,"[""me know that he didn't think that they had enough ACAS/VMT experience, as the role has gained an increas"", ""me know that he didn't think that they had enough ACAS/VMT experience, as the role has gained an increas""]",
SLA,2,"[' change management, configuration management, and SLA management. He stepped into this manager role abo', 'rought their numbers down to 72 - have not failed SLA/SLR as his group is doing really well - year 4 ou']",
PLC,2,"['t him. Lauren let me know that they had to make a PLC number adjustment for Shazia Williams in SLATE, a', 't him. Lauren let me know that they had to make a PLC number adjustment for Shazia Williams in SLATE, a']",
CPAR,2,"['xtends them to September 27th, 2026. Their latest CPAR for the year received an overall score of 5, whic', 'xtends them to September 27th, 2026. Their latest CPAR for the year received an overall score of 5, whic']",
TASD,2,"['on the other side of the program - Secret, TS/SCI TASD is the spin off contract. They are expected to ra', 'NGC - SWDC, TASD Met with Loren. He is on the other side of the SW']",
SWDC,2,"['NGC. Sits in Colorado Springs, Co. He is over the SWDC program currently - 160 people - PM is Steve Cedr', 'NGC - SWDC, TASD Met with Loren. He is on the other side of ']",
LRA,2,"['aring back from John on setting up the IT CSR and LRA.', ""n, that way we don't lose him. Have to rework the LRA.""]",
CYCS,2,"['NCR- Meeting with Hardie and Bobby to discuss the CYCS team during the shutdown. The whole team will be ', 'NCR- Meeting with Hardie and Bobby to discuss the CYCS team during the shutdown. The whole team will be ']",
PTEMS,2,"['- Reengaging with Molly, no new updates regarding PTEMS and still waiting on T4NG 2. She does want to get', ""Government. She didn't have any updates regarding PTEMS, but she is getting with Michael Millet and Scott""]",
DTS,2,"['o Phase II for the Fix IT Center. Moving all VTC, DTS, Imaging and Field Ops over to the new building. ', 'o Phase II for the Fix IT Center. Moving all VTC, DTS, Imaging and Field Ops over to the new building. ']",
OFAC,2,"['Deloitte-OFAC- Reengaged with Stacey to see if OFAC will be coming back online soon. They won the rec', 'Deloitte- Reached out to meet with Alex regarding OFAC. Alex is no longer supporting OFAC. Currently wai']",
CAIC,2,"['Deloitte - CAIC - Monthly tag-up with Chris. Still in a holding p', 'Deloitte - CAIC - Bi-monthly tag-up with Chris. Understanding the']",
FSU,2,"['Getting ready for his two daughters to go back to FSU fall semester. Just got back from Key West for a ', 'ing up and getting ready for the fall semester at FSU. Just got back from a trip down to Key West with ']",
NAVWAR,2,"['led machine. I mentioned the opportunities within NAVWAR and INDOPACOM and he said he will make some conne', 'Deloitte - NAVWAR - reached out to Stacy to get a status check on t']",
JSF,2,"['Deloitte - JSF FAACE - Monthly tag-up with Brad. Jevison is doin', 'Deloitte - A4/JSF FAACE - Tag up with Brad to discuss the previous ']",
FAACE,2,"['Deloitte - JSF FAACE - Monthly tag-up with Brad. Jevison is doing grea', 'Deloitte - A4/JSF FAACE - Tag up with Brad to discuss the previous conver']",
ACES,2,"["" and the go-live date is November '26, called the ACES program. Our 3 contractors are excelling on the t"", "" and the go-live date is November '26, called the ACES program. Our 3 contractors are excelling on the t""]",
CNSSI,2,"[' aligned with NIST SP 800-37, 800-53/53A, 800-30, CNSSI documents, etc. • Execute control tests, validate', ' aligned with NIST SP 800-37, 800-53/53A, 800-30, CNSSI documents, etc. • Execute control tests, validate']",
PACFLT,2,"['back in September, they are now in maintain mode. PACFLT & part of FLEETS is winding down the work and goi', ' A lot of the migration has been completed on the PACFLT side of the house, leading them to releasing over']",
CDE,2,"['cubicle. Trevor started the PO process. The Power CDE candidate he had in play backed out.', 'ill interested in getting him hired for the Power CDE role.']",
MIL,2,"[""y but coordinating childcare for his daughter and MIL was a nightmare. Felt like he couldn't truly enjo"", 'ey are hitting all the marks (Systems background, MIL-STD various numbers, Human Factors, etc. Followin']",
ACCEPT,2,"['OFFER ACCEPT', 'OFFER ACCEPT']",
OFFER,2,"['OFFER ACCEPT', 'OFFER ACCEPT']",
NISC,2,"['Leidos- NISC- SR. Director- Met with Shelly for an in-person m', 'Leidos- NISC- SR. Director- met Shelly for coffee while she wa']",
PCFS,2,"['GA Power- PCFS Manager- Tag up with Bruce to check in on the sta', 'GA Power- PCFS Manager- Tag up with Bruce, he is still on hold f']",
EOM,2,"['int he next 2 weeks, have another meeting set for EOM to get a better idea of schedule and when the wor', ' the work and are expecting the official award by EOM October probably before then. Way and Lori are he']",
DHA,2,"['Leidos- Director- DHA/HUD/GSA- Scheduled meeting with Way and team, the', 'Leidos- Director- DHA/HUD/GSA- Met Wat to discuss the status of the PX ']",
XBR,2,"[' THAAD), COBRA, EWR (QEWR / SRP), Naval Programs, XBR (XBR CLS/RDC/GBRP): She has a need for small busi', 'P): Steve Mazzone Naval Programs: Randolph Hutton XBR (XBR CLS/RDC/GBRP): Colin Adams Confirming onsite']",
CLS,2,"['amily and her portfolio of programs is: AN\\TPY-2 (CLS/RDC/RTC/KSA THAAD/UAE THAAD), COBRA, EWR (QEWR / ', 'o about how the section is broken down: AN\\TPY-2 (CLS/RDC/RTC/KSA THAAD/UAE THAAD): Chris Kelsey COBRA ']",
EWR,2,"['N\\TPY-2 (CLS/RDC/RTC/KSA THAAD/UAE THAAD), COBRA, EWR (QEWR / SRP), Naval Programs, XBR (XBR CLS/RDC/GB', 'Chris Kelsey COBRA (Dane/King/CJR): Steve Mazzone EWR (QEWR / SRP): Steve Mazzone Naval Programs: Rando']",
SRP,2,"['/RDC/RTC/KSA THAAD/UAE THAAD), COBRA, EWR (QEWR / SRP), Naval Programs, XBR (XBR CLS/RDC/GBRP): She has', ' COBRA (Dane/King/CJR): Steve Mazzone EWR (QEWR / SRP): Steve Mazzone Naval Programs: Randolph Hutton X']",
GBRP,2,"['WR (QEWR / SRP), Naval Programs, XBR (XBR CLS/RDC/GBRP): She has a need for small business spend, and sh', ' Naval Programs: Randolph Hutton XBR (XBR CLS/RDC/GBRP): Colin Adams Confirming onsite for next week in ']",
TPY,2,"[' that her team has in Woburn MA supporting the AN\\TPY-2 surveillance radar, the hiring manager for thos', 'ome info about how the section is broken down: AN\\TPY-2 (CLS/RDC/RTC/KSA THAAD/UAE THAAD): Chris Kelsey']",
