Job Number,Job Title,Job Location,Matched Programs,Prime Contractors,Program Locations,Target Titles (Bullhorn),Match Score
479717,SECRET NETWORK ADMINISTRATOR II (MIDNIGHTS),"Montgomery, Alabama","Project Convergence (JADC2 Experiments); NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Air Force Advanced Battle Management System","Multiple: SAIC, Leidos, Booz Allen Hamilton; SAIC; Leidos","HERNDON, VIRGINIA; MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter",10
483603,DATA ANALYST,"O'fallon, Illinois",NARSIL – Advanced Research for System Intelligence & Learning; Global Service Management – Operations II; SOCOM Digital Applications Data Science Support,Peraton; Iron Eagle X (now GDIT); Leidos,"HERNDON, VIRGINIA; SPRINGFIELD, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Analytics Manager, Program Manager, Team Lead, Hiring Manager",8
479003,FULL STACK ENGINEER,"Arlington, Virginia",Army IT Enterprise Mgmt Systems Solution; Defense Satellite Communications Modernization; DIA Battlefield Information Networks / BICES-X,CACI,"ARLINGTON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",10
482779,PRE-DEPLOYMENT MANAGER,"Frederick, Maryland",DIA Information Systems Engineering Office; DIA IT Sustainment & Engineering Office; Global Command and Control System – Joint (Variant),Leidos,"FREDERICK, MARYLAND","Director, VP, Senior Manager, Program Director",16
477171,SOFTWARE ARCHITECT,"Alexandria, Virginia",Air Force Advanced Battle Management System; Army IT Enterprise Mgmt Systems Solution; Battlefield Information Collection & Exploitation System,"Multiple: SAIC, Leidos, Booz Allen Hamilton; GDIT; CACI","SPRINGFIELD, VIRGINIA; HERNDON, VIRGINIA; ARLINGTON, VIRGINIA","Chief Architect, Technical Director, Engineering VP, CTO",7
483240,TSSCI TIER 1 NETWORK MONITOR,"Beale AFB, California","GBS (Global Broadcast Service); Global Broadcast Service; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",L3Harris; L3Harris (historical); Leidos,"MORGANTOWN, WEST VIRGINIA; ANAHEIM, CALIFORNIA","Hiring Manager, Program Manager, Team Lead, Recruiter",7
477104,SHIPWRIGHT,"Kings Bay, Georgia",DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service); Global Broadcast Service,L3Harris; L3Harris (historical); Leidos,"ANAHEIM, CALIFORNIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",4
436063,PROJECT MANAGER,"Madison, Alabama",DIA Information Systems Engineering Office; Global Service Management – Operations II; Global Solutions Management – Operations II,Leidos,"HOUSTON, TEXAS; FREDERICK, MARYLAND; MORGANTOWN, WEST VIRGINIA","Director, VP, Senior Manager, Program Director",6
296131,SECRET CLEARED SOLUTIONS ARCHITECT,"Saint Louis, Missouri",Global Solutions Management – Operations II; Army Enterprise Service Management Framework; Army IT Enterprise Mgmt Systems Solution,CACI; SAIC; Leidos,"HOUSTON, TEXAS; ARLINGTON, VIRGINIA; COLORADO SPRINGS, COLORADO","Chief Architect, Technical Director, Engineering VP, CTO",6
461572,SENIOR INTEGRATION SPECIALIST,"Manassas, Virginia","Data Center & Cloud Optimization; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Air Force Advanced Battle Management System","Peraton / Leidos (indicative); Multiple: SAIC, Leidos, Booz Allen Hamilton; Leidos","MC LEAN, VIRGINIA; HERNDON, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",9
453512,SECRET APPLICATION DEVELOPER,"Fairfax, Virginia",Army IT Enterprise Mgmt Systems Solution; CMS Enterprise Cloud Infrastructure Services; Integrated Base Defense Security System,Leidos; Peraton / SAIC (indicative); CACI,"HERNDON, VIRGINIA; ARLINGTON, VIRGINIA; RESTON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",9
239458,EMBEDDED SOFTWARE ENGINEER,"Broomfield, Colorado","EDIS – Engineering, Development, Integration & Sustainment; Engineering Development & Integration Support; DIA Information Systems Engineering Office",SAIC (via Engility); SAIC; Leidos,"FREDERICK, MARYLAND; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",7
483067,TSSCI CYBER ANALYST,"Hampton, Virginia",Global Service Management – Operations II; Air Force Advanced Battle Management System; Battlefield Information Collection & Exploitation System,"Multiple: SAIC, Leidos, Booz Allen Hamilton; GDIT; Leidos","HERNDON, VIRGINIA; SPRINGFIELD, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Analytics Manager, Program Manager, Team Lead, Hiring Manager",8
481235,ISSO- TOP SECRET- ON SITE,"Oakton, Virginia",Air Force Advanced Battle Management System; Army IT Enterprise Mgmt Systems Solution; Battlefield Information Collection & Exploitation System,"Multiple: SAIC, Leidos, Booz Allen Hamilton; GDIT; CACI","SPRINGFIELD, VIRGINIA; HERNDON, VIRGINIA; ARLINGTON, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",7
481938,CYBER SECURITY ENGINEER,"Groton, Connecticut",Army Enterprise Service Management Framework; Protected Satcom & Tactical Waveform Communications; Global Service Management – Operations II,L3Harris; SAIC; Leidos,"MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",9
479788,SAFETY ENGINEER,"El Segundo, California",GBS (Global Broadcast Service); Global Broadcast Service; DIA Information Systems Engineering Office,L3Harris; L3Harris (historical); Leidos,"FREDERICK, MARYLAND; ANAHEIM, CALIFORNIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",7
483098,TSSCI CYBER CAPABILITIES TRAINER,"Hampton, Virginia",Global Service Management – Operations II; Global Solutions Management – Operations II; 16th Air Force Mission IT Support,ManTech; Leidos,"HOUSTON, TEXAS; QUANTICO, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",6
479181,HARDWARE LAB STRING ENGINEER,"Woburn, Massachusetts","Global Service Management – Operations II; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); DIA Information Systems Engineering Office",Leidos,"FREDERICK, MARYLAND; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",8
479672,TS/SCI PROGRAM ADMINISTRATOR,"San Antonio, Texas",Army AESD Enterprise Service Desk; Army Enterprise Service Desk; Cloud One (USAF Cloud Program),SAIC,"SAN ANTONIO, TEXAS","Hiring Manager, Program Manager, Team Lead, Recruiter",10
479037,SUPPORT COUNSELOR,"Santa Cruz, California",GBS (Global Broadcast Service); Global Broadcast Service; Defense Health Agency Desktop to Datacenter,L3Harris; L3Harris (historical); GDIT,"SPRINGFIELD, VIRGINIA; ANAHEIM, CALIFORNIA","Hiring Manager, Program Manager, Team Lead, Recruiter",7
467119,"TOP SECRET FSR ANALYST (WASHINGTON, DC & FT. CAMPBELL, KY)","Washington, District Of Columbia",Advanced Battle Management System; Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio; DLA J6 Enterprise Technology Services 2.0,Multi (SAIC supports parts); SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1); Leidos; GDIT; Booz Allen; CACI; Peraton,"WASHINGTON, DISTRICT OF COLUMBIA; COLORADO SPRINGS, COLORADO","Analytics Manager, Program Manager, Team Lead, Hiring Manager",7
468922,SYSTEM ADMINISTRATOR II (BIG IP F5),"Montgomery, Alabama","Project Convergence (JADC2 Experiments); NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Air Force Advanced Battle Management System","Multiple: SAIC, Leidos, Booz Allen Hamilton; SAIC; Leidos","HERNDON, VIRGINIA; MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter",10
478431,SECRET CLEARED WINDOWS AND LINUX ADMIN,"Pearl City, Hawaii",Advanced Battle Management System; Air Force Advanced Battle Management System; DISA Global Service Mgmt – Ops II,"Multi (SAIC supports parts); Multiple: SAIC, Leidos, Booz Allen Hamilton; Leidos","HERNDON, VIRGINIA; MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter",6
482651,UH-60 SHEET METAL AIRCRAFT MECHANIC IIII,"Meridianville, Alabama",DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service); Global Broadcast Service,L3Harris; L3Harris (historical); Leidos,"ANAHEIM, CALIFORNIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",4
402196,PROJECT CONTROLS,"Dhs, Virginia",Mission Partner Environment (Field Ops / MPCO); Air Force Advanced Battle Management System; Battlefield Information Collection & Exploitation System,"Multiple: SAIC, Leidos, Booz Allen Hamilton; GDIT","HERNDON, VIRGINIA; SPRINGFIELD, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",7
474162,DEPUTY PROGRAM MANAGER,"Chambersburg, Pennsylvania",Global Service Management – Operations II; Army Enterprise Service Management Framework; Business Operations & Analytics,Northrop Grumman; SAIC; Leidos,"ROY, UTAH; COLORADO SPRINGS, COLORADO; MORGANTOWN, WEST VIRGINIA","Director, VP, Senior Manager, Program Director",8
474958,"INFORMATION SYSTEM SECURITY MANAGER (ISSM) - WARREN, MICHIGAN","Sterling Heights, Michigan",Global Service Management – Operations II; INSCOM IT Support Services (current TO iteration); INSCOM IT Support Services III,GDIT; Leidos,"STERLING HEIGHTS, MICHIGAN; MORGANTOWN, WEST VIRGINIA","Director, VP, Senior Manager, Program Director",6
476039,AEROMECHANICAL ENGINEER,"Solana Beach, California",GBS (Global Broadcast Service); Global Broadcast Service; DIA Information Systems Engineering Office,L3Harris; L3Harris (historical); Leidos,"FREDERICK, MARYLAND; ANAHEIM, CALIFORNIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",7
476770,CONSTRUCTION SURVEILLANCE TECHNICIAN (CST) I,"Wailuku, Hawaii",DIA Information Systems Engineering Office; DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service),L3Harris (historical); Leidos,"ANAHEIM, CALIFORNIA; FREDERICK, MARYLAND; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",4
482180,SR. SOFTWARE ENGINEER W/ POLYGRAPH,"Sully, Virginia",CMS Enterprise Cloud Infrastructure Services; Battlefield Information Collection & Exploitation System; Defense Enterprise Office 365 Migration / DoD365,Microsoft; GDIT; Peraton / SAIC (indicative),"HERNDON, VIRGINIA; MCLEAN, VIRGINIA; SPRINGFIELD, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",9
477098,SHIPFITTER,"Kings Bay, Georgia",Global Service Management – Operations II; DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service),L3Harris (historical); Leidos,"ANAHEIM, CALIFORNIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",6
483144,QUALITY ENGINEER,"Cleveland, Ohio",DIA Information Systems Engineering Office; Global Service Management – Operations II; Aegis Ballistic Missile Defense / Aegis Program,Lockheed Martin; Leidos,"FREDERICK, MARYLAND; FORT WORTH, TEXAS; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",6
453521,SECRET SATELLITE SYSTEMS ENGINEER,"Grand Forks, North Dakota",DIA Information Systems Engineering Office; Global Service Management – Operations II; Battlefield Information Collection & Exploitation System,GDIT; Leidos,"FREDERICK, MARYLAND; SPRINGFIELD, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",6
459677,TOP SECRET OPERATIONS SUPPORT ENGINEER,"Huntsville, Alabama",Project Convergence (JADC2 Experiments); DIA Information Systems Engineering Office; Global Service Management – Operations II,SAIC; Leidos,"FREDERICK, MARYLAND; MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",10
479699,SECRET DATABASE ENGINEER,"Herndon, Virginia",NARSIL – Advanced Research for System Intelligence & Learning; Air Force Advanced Battle Management System; CMS Enterprise Cloud Infrastructure Services,"Peraton; Multiple: SAIC, Leidos, Booz Allen Hamilton; Peraton / SAIC (indicative)","HERNDON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",18
436233,SECRET DATACENTER SME,"Suffolk, Virginia",CMS Enterprise Cloud Infrastructure Services; Data Center & Cloud Optimization; DoD High Performance Computing Modernization Program – HITS / HITS-U Support,Peraton / Leidos (indicative); SAIC; Peraton / SAIC (indicative),"MC LEAN, VIRGINIA; HERNDON, VIRGINIA; SAN ANTONIO, TEXAS","Hiring Manager, Program Manager, Team Lead, Recruiter",9
454385,"SECRET FSR ANALYST (CALIBAN: SAN FRANCISCO, CA; MIAMI, FL; JUNEAU, AK)","San Francisco, California",Intelligence Systems Enterprise Operations; GBS (Global Broadcast Service); Global Broadcast Service,L3Harris; L3Harris (historical); Leidos,"FREDERICK, MARYLAND; ANAHEIM, CALIFORNIA","Analytics Manager, Program Manager, Team Lead, Hiring Manager",8
483590,AIR MOBILITY OPERATIONS SME,"O'fallon, Illinois",Global Service Management – Operations II; Global Solutions Management – Operations II; Air Force Advanced Battle Management System,"Multiple: SAIC, Leidos, Booz Allen Hamilton; Leidos","HOUSTON, TEXAS; HERNDON, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",8
477769,ELECTRO-MECHANICAL ASSEMBLY TECHNICIAN,"San Diego, California",GBS (Global Broadcast Service); Global Broadcast Service; DIA Information Systems Engineering Office,L3Harris; L3Harris (historical); Leidos,"FREDERICK, MARYLAND; ANAHEIM, CALIFORNIA","Hiring Manager, Program Manager, Team Lead, Recruiter",7
350529,SENIOR MECHANICAL EQUIPMENT & TOOL ENGINEER,"Seattle, Washington","EDIS – Engineering, Development, Integration & Sustainment; Engineering Development & Integration Support; Global Command and Control System – Joint",SAIC (via Engility); SAIC; Northrop Grumman,"ROY, UTAH; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",6
475841,SUPERINTENDENT - MILCON,"Fort Bliss, Texas",Global Solutions Management – Operations II; DoD High Performance Computing Modernization Program – HITS / HITS-U Support; Global Network Operations (DISA GSM-O II),SAIC; Leidos,"HOUSTON, TEXAS; SAN ANTONIO, TEXAS","Hiring Manager, Program Manager, Team Lead, Recruiter",9
479753,V-22 AIRCRAFT MAINTENANCE AND MODIFICATION TECHNICIAN,"San Diego, California",GBS (Global Broadcast Service); Global Broadcast Service; Global Command and Control System – Joint,L3Harris; L3Harris (historical); Northrop Grumman,"ROY, UTAH; ANAHEIM, CALIFORNIA","Hiring Manager, Program Manager, Team Lead, Recruiter",7
482139,SECRET LEAD F-16 SIMULATOR TECHNICIAN,"Sunset, Utah",Global Command and Control System – Joint; Intelligence Systems Infrastructure Tools & Enhancements; STRATCOM Mission Readiness Support,Northrop Grumman (assumed); Northrop Grumman,"ROY, UTAH","Director, VP, Senior Manager, Program Director",7
460481,TS/SCI - SENIOR SURVIVABILITY ENGINEER,"Huntsville, Alabama",Aegis Ballistic Missile Defense / Aegis Program; DIA Information Systems Engineering Office; Information Technology Sustainment for Enhanced Ops,Lockheed Martin; Leidos,"FORT WORTH, TEXAS; FREDERICK, MARYLAND","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",6
483792,SECRET SOFTWARE ENGINEER,"Colorado Springs, Colorado","EDIS – Engineering, Development, Integration & Sustainment; Engineering Development & Integration Support; Army Enterprise Service Management Framework",SAIC (via Engility); SAIC,"COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",14
314201,CLEARED ELECTRONIC WARFARE ENGINEER,"Manchester, New Hampshire","EDIS – Engineering, Development, Integration & Sustainment; DIA Information Systems Engineering Office; Engineering Development & Integration Support",SAIC (via Engility); SAIC; Leidos,"FREDERICK, MARYLAND; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",8
455231,CYBER SYSTEMS & NETWORK OPERATIONS SPECIALIST- TS,"Lincoln, Massachusetts","NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment; Air Force Advanced Battle Management System","Multiple: SAIC, Leidos, Booz Allen Hamilton; Raytheon; Leidos","ANDOVER, MASSACHUSETTS; HERNDON, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter",10
462446,SECRET AMPHIBIOUS RAIDS INSTRUCTOR,"Jacksonville, North Carolina",GBS (Global Broadcast Service); Global Broadcast Service; Global Service Management – Operations II,L3Harris; L3Harris (historical); Leidos,"MORGANTOWN, WEST VIRGINIA; ANAHEIM, CALIFORNIA","Hiring Manager, Program Manager, Team Lead, Recruiter",7
479658,TS/SCI SENIOR DEVSECOPS ENGINEER,"Hanahan, South Carolina",GBS (Global Broadcast Service); Global Broadcast Service; CMS Enterprise Cloud Infrastructure Services,L3Harris; L3Harris (historical); Peraton / SAIC (indicative),"HERNDON, VIRGINIA; ANAHEIM, CALIFORNIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",7
449101,CBP GCP PLATFORM ENGINEER (MID-LEVEL),"Broad Run, Virginia",CMS Enterprise Cloud Infrastructure Services; Air Force Advanced Battle Management System; Battlefield Information Collection & Exploitation System,"Multiple: SAIC, Leidos, Booz Allen Hamilton; GDIT; Peraton / SAIC (indicative)","HERNDON, VIRGINIA; SPRINGFIELD, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",9
437999,TS/SCI - GCCS SYSTEMS ENGINEER,"Colorado Springs, Colorado","EDIS – Engineering, Development, Integration & Sustainment; Protected Satcom & Tactical Waveform Communications; Protected Tactical SatCom / Waveform",L3Harris; SAIC,"COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",12
476933,TOP SECRET ELECTRONICS EXPLOITATION DEPLOYER,"Aberdeen Proving Ground, Maryland",DISA JWCC – Joint Warfighting Cloud Capability; Joint Warfighting Cloud Capability; JWCC – ATAT Expansion Path,AWS; Microsoft; Google; Oracle; Amazon; Microsoft; Google; Oracle,"ABERDEEN PROVING GROUND, MARYLAND","Hiring Manager, Program Manager, Team Lead, Recruiter",8
453153,ELECTRICAL ENGINEER 4,"Tucson, Arizona","Integrated Digital Engineering Environment; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Army Integrated Battle Command System",Leidos; Northrop Grumman,"CHANDLER, ARIZONA; MORGANTOWN, WEST VIRGINIA; ROY, UTAH","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",8
478759,CAPTURE MANAGER,"Huntsville, Alabama",Global Service Management – Operations II; Global Solutions Management – Operations II; Army Enterprise Service Management Framework,SAIC; Leidos,"HOUSTON, TEXAS; COLORADO SPRINGS, COLORADO; MORGANTOWN, WEST VIRGINIA","Director, VP, Senior Manager, Program Director",8
481972,SECRET NETWORK ENGINEER,"Fairfax, Virginia","NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); GPS Next-Gen Operational Control System; Army IT Enterprise Mgmt Systems Solution",Raytheon Intelligence & Space; CACI; Leidos,"AURORA, COLORADO; ARLINGTON, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",10
476455,COLDFUSION DEVELOPER,"New York, New York",Global Service Management – Operations II; Global Solutions Management – Operations II; Intelligence Systems Infrastructure Tools & Enhancements,Northrop Grumman; Leidos,"HOUSTON, TEXAS; ROY, UTAH; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",6
476549,CNC PROGRAMMER,"Jacksonville, Florida",Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment; DIA Information Systems Engineering Office; DISA Global Service Mgmt – Ops II,Raytheon; Leidos,"FREDERICK, MARYLAND; MORGANTOWN, WEST VIRGINIA; ANDOVER, MASSACHUSETTS","Hiring Manager, Program Manager, Team Lead, Recruiter",4
479258,JUNIOR NUCLEAR HARDNESS ELECTRICAL ENGINEER,"Hill AFB, Utah",SPICE (Space Payload Integration & Cyber Eng); Global Command and Control System – Joint; DIA Information Systems Engineering Office,Leidos; SAIC / LinQuest (indicative); Northrop Grumman,"FREDERICK, MARYLAND; SAN ANTONIO, TEXAS; ROY, UTAH","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",14
477425,SIMULATION SYSTEMS ENGINEER II,"Suffolk, Virginia","NARSIL – Advanced Research for System Intelligence & Learning; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Army Backbone Infrastructure Modernization – Task Order 2",Peraton; CACI; Leidos,"HERNDON, VIRGINIA; CHANTILLY, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",11
426530,CLEARED GNC SR. PRINCIPAL ENGINEER,"Chandler, Arizona",Hypersonic & Ballistic Tracking Space Sensor; Army Integrated Battle Command System; GMD Weapon System (Ground C2),Northrop & L3Harris (co-primes); Northrop Grumman,"CHANDLER, ARIZONA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",14
434176,SECRET CLEARED TECHNICAL WRITER,"San Diego, California",GBS (Global Broadcast Service); Global Broadcast Service; Global Service Management – Operations II,L3Harris; L3Harris (historical); Leidos,"MORGANTOWN, WEST VIRGINIA; ANAHEIM, CALIFORNIA","Hiring Manager, Program Manager, Team Lead, Recruiter",7
471236,ONSITE PLM APPLICATION ANALYST,"East Hartford, Connecticut",Advanced Battle Management System; Army Enterprise Service Management Framework; Army AESD Enterprise Service Desk,Multi (SAIC supports parts); SAIC,"SAN ANTONIO, TEXAS; COLORADO SPRINGS, COLORADO","Analytics Manager, Program Manager, Team Lead, Hiring Manager",7
480870,TOP SECRET .NET DEVELOPER,"Ashburn, Virginia",Army IT Enterprise Mgmt Systems Solution; CMS Enterprise Cloud Infrastructure Services; DLA J6 Enterprise Technology Services,CACI; Deloitte; SAIC; GDIT; Peraton / SAIC (indicative); CACI,"STERLING, VIRGINIA; HERNDON, VIRGINIA; ARLINGTON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager",7
447457,TS/SCI COMPLY-TO-CONNECT & ENDPOINT POLICY ANALYST,"Alexandria, Virginia",Air Force Advanced Battle Management System; Integrated Base Defense Security System; Global Command and Control System – Joint,"Northrop Grumman; Multiple: SAIC, Leidos, Booz Allen Hamilton; Leidos","HERNDON, VIRGINIA; ROY, UTAH; RESTON, VIRGINIA","Analytics Manager, Program Manager, Team Lead, Hiring Manager",9
