Job Source,Job Number,Job Title,Job Location,Security Clearance,Matched Programs,Prime Contractors,Program Locations,Target Titles (Bullhorn),Search Keywords (ZoomInfo),LinkedIn Search,Match Score,Match Reasons
Insight Global,480530,SPECIAL EDUCATION PARAPROFESSIONAL,"Salem, Massachusetts",,"ARCYBER Information Advantage / Mission Support (general); NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Poland WISŁA – Patriot + IBCS Foreign Military Sales",Raytheon & Northrop Grumman; Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work); Leidos,"ANDOVER, MASSACHUSETTS; FORT GEORGE G MEADE, MARYLAND; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","SPECIAL EDUCATION PARAPROFESSIONAL, None, federal contractor","""Hiring Manager"" AND (Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work) OR Leidos) AND (Salem)",6,"Keywords: mission, information, general"
Insight Global,477052,MARINE ELECTRICIAN,"Kings Bay, Georgia",,DIA Information Systems Engineering Office; DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service),L3Harris (historical); Leidos,"ANAHEIM, CALIFORNIA; FREDERICK, MARYLAND; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","MARINE ELECTRICIAN, None, federal contractor","""Hiring Manager"" AND (Leidos) AND (Kings Bay)",4,"Keywords: information, systems"
Insight Global,477076,STRUCTURAL WELDER,"Kings Bay, Georgia",,Global Service Management – Operations II; DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service),L3Harris (historical); Leidos,"ANAHEIM, CALIFORNIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","STRUCTURAL WELDER, None, federal contractor","""Hiring Manager"" AND (Leidos) AND (Kings Bay)",6,"Keywords: service, global, operations"
Insight Global,470335,SENIOR NUCLEAR HARDNESS ELECTRICAL ENGINEER,"Hill AFB, Utah",Secret,SPICE (Space Payload Integration & Cyber Eng); Global Command and Control System – Joint; DIA Information Systems Engineering Office,Leidos; SAIC / LinQuest (indicative); Northrop Grumman,"FREDERICK, MARYLAND; SAN ANTONIO, TEXAS; ROY, UTAH","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SENIOR NUCLEAR HARDNESS ELECTRICAL ENGINEER, Secret, federal contractor","""Engineering Manager"" AND (SAIC / LinQuest (indicative) OR Northrop Grumman) AND (Hill AFB)",14,"Acronym: SPICE; Keywords: spice, integration"
Insight Global,479486,2ND SHIFT CNC MACHINIST LEVEL 5,"Huntsville, Alabama",Secret,DIA Information Systems Engineering Office; DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service),L3Harris (historical); Leidos,"ANAHEIM, CALIFORNIA; FREDERICK, MARYLAND; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","2ND SHIFT CNC MACHINIST LEVEL 5, Secret, federal contractor","""Hiring Manager"" AND (Leidos) AND (Huntsville)",4,"Keywords: engineering, information"
Insight Global,466413,IDENTITY ACCESS MANAGER / SME ARCHITECT,"Austin, Texas",TS/SCI Poly,Aegis Ballistic Missile Defense / Aegis Program; Global Network Operations (DISA GSM-O II); DISA Global Service Mgmt – Ops II,Lockheed Martin; Leidos,"HOUSTON, TEXAS; FORT WORTH, TEXAS; MORGANTOWN, WEST VIRGINIA","Chief Architect, Technical Director, Engineering VP, CTO","IDENTITY ACCESS MANAGER / SME ARCHITECT, TS/SCI Poly, federal contractor","""Chief Architect"" AND (Lockheed Martin OR Leidos) AND (Austin)",7,"Keywords: program, defense; State: TX"
Insight Global,481890,COPY - TOP SECRET IAM ARCHITECT,"Washington, District Of Columbia",TS/SCI Poly,BICES Defense Intelligence Agency Variant; DISA Global Service Mgmt – Ops II; Army Enterprise Service Management Framework,CACI + Leidos + Peraton + SAIC (various subs); SAIC; Leidos,"MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Chief Architect, Technical Director, Engineering VP, CTO","COPY - TOP SECRET IAM ARCHITECT, TS/SCI Poly, federal contractor","""Chief Architect"" AND (CACI + Leidos + Peraton + SAIC (various subs) OR Leidos) AND (Washington)",7,"Keywords: defense, agency; State: CO"
Insight Global,479148,"MECHANICAL ENGINEER, PE - DESIGNER","San Antonio, Texas",,Army AESD Enterprise Service Desk; Army Enterprise Service Desk; DoD High Performance Computing Modernization Program – HITS / HITS-U Support,SAIC,"SAN ANTONIO, TEXAS","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","MECHANICAL ENGINEER, PE - DESIGNER, None, federal contractor","""Engineering Manager"" AND (SAIC) AND (San Antonio)",10,Keywords: service; State: TX; City: SAN ANTONIO
Insight Global,477111,PIPEFITTER,"Kings Bay, Georgia",,Global Command and Control System – Joint; Global Command and Control System – Joint (Variant); Integrated Base Defense Security System,Leidos; Northrop Grumman,"FREDERICK, MARYLAND; RESTON, VIRGINIA; ROY, UTAH","Hiring Manager, Program Manager, Team Lead, Recruiter","PIPEFITTER, None, federal contractor","""Hiring Manager"" AND (Leidos OR Northrop Grumman) AND (Kings Bay)",6,"Keywords: system, global, joint"
Insight Global,479487,GNC ENGINEER (FIXED WING),"Huntsville, Alabama",Secret,Army Missile & Space R&D Support (Huntsville); DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service),L3Harris (historical); Dynetics; Northrop teams; Leidos,"ANAHEIM, CALIFORNIA; MORGANTOWN, WEST VIRGINIA; ROY, UTAH","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","GNC ENGINEER (FIXED WING), Secret, federal contractor","""Engineering Manager"" AND (Dynetics; Northrop teams OR Leidos) AND (Huntsville)",4,"Keywords: huntsville, space"
Insight Global,459815,MECHANICAL SYSTEMS ENGINEER,"New London, Connecticut",Secret,"EDIS – Engineering, Development, Integration & Sustainment; Engineering Development & Integration Support; Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio",SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1); SAIC (via Engility); SAIC,"COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","MECHANICAL SYSTEMS ENGINEER, Secret, federal contractor","""Engineering Manager"" AND (SAIC (via Engility) OR SAIC) AND (New London)",11,"Keywords: engineering, integration, sustainment; State: CO"
Insight Global,482968,PROGRAM INTEGRATOR,"Huntsville, Alabama",Secret,Global Service Management – Operations II; Army Enterprise Service Management Framework; DISA Global Service Mgmt – Ops II,SAIC; Leidos,"COLORADO SPRINGS, COLORADO; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","PROGRAM INTEGRATOR, Secret, federal contractor","""Hiring Manager"" AND (SAIC OR Leidos) AND (Huntsville)",6,"Keywords: service, global, management"
Insight Global,476961,UT INSPECTOR,"Kings Bay, Georgia",,DIA Information Systems Engineering Office; DISA Global Service Mgmt – Ops II; DoD High Performance Computing Modernization Program – HITS / HITS-U Support,SAIC; Leidos,"FREDERICK, MARYLAND; SAN ANTONIO, TEXAS; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","UT INSPECTOR, None, federal contractor","""Hiring Manager"" AND (Leidos) AND (Kings Bay)",6,"Keywords: engineering, information, systems"
Insight Global,481903,TOP SECRET ICAM ARCHITECT,"Washington, District Of Columbia",TS/SCI Poly,BICES Defense Intelligence Agency Variant; DISA Global Service Mgmt – Ops II; Army Enterprise Service Management Framework,CACI + Leidos + Peraton + SAIC (various subs); SAIC; Leidos,"MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Chief Architect, Technical Director, Engineering VP, CTO","TOP SECRET ICAM ARCHITECT, TS/SCI Poly, federal contractor","""Chief Architect"" AND (CACI + Leidos + Peraton + SAIC (various subs) OR Leidos) AND (Washington)",7,"Keywords: defense, agency; State: CO"
Insight Global,474049,TOP SECRET ISSO,"Quantico, Virginia",Top Secret,Battlefield Information Collection & Exploitation System; Integrated Base Defense Security System; 16th Air Force Mission IT Support,ManTech; GDIT; Leidos,"QUANTICO, VIRGINIA; SPRINGFIELD, VIRGINIA; RESTON, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","TOP SECRET ISSO, Top Secret, federal contractor","""Hiring Manager"" AND (GDIT OR Leidos) AND (Quantico)",9,"Keywords: system, exploitation, information; State: VA"
Insight Global,455774,TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON),"Montgomery, Alabama",TS/SCI,"Project Convergence (JADC2 Experiments); NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Air Force Advanced Battle Management System","Multiple: SAIC, Leidos, Booz Allen Hamilton; SAIC; Leidos","HERNDON, VIRGINIA; MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter","TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON), TS/SCI, federal contractor","""Hiring Manager"" AND (SAIC OR Leidos) AND (Montgomery)",10,Acronym: PC
Insight Global,479845,TOP SECRET RESEARCH PHYSICIST 1,"Washington, District Of Columbia",Top Secret,"Advanced Battle Management System; DLA J6 Enterprise Technology Services 2.0; EDIS – Engineering, Development, Integration & Sustainment",Multi (SAIC supports parts); SAIC; Leidos; GDIT; Booz Allen; CACI; Peraton,"WASHINGTON, DISTRICT OF COLUMBIA; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter","TOP SECRET RESEARCH PHYSICIST 1, Top Secret, federal contractor","""Hiring Manager"" AND (Multi (SAIC supports parts) OR Leidos; GDIT; Booz Allen; CACI; Peraton) AND (Washington)",7,"Keywords: system, advanced; State: CO"
Insight Global,481941,PRICING MANAGER,"Huntsville, Alabama",Secret,DISA Global Service Mgmt – Ops II; GBS (Global Broadcast Service); Global Broadcast Service,L3Harris; L3Harris (historical); Leidos,"ANAHEIM, CALIFORNIA; MORGANTOWN, WEST VIRGINIA","Director, VP, Senior Manager, Program Director","PRICING MANAGER, Secret, federal contractor","""Director"" AND (L3Harris (historical) OR Leidos) AND (Huntsville)",4,"Keywords: service, global"
Insight Global,467723,SECRET SECURITY ENGINEER (BOUNDARY),"Montgomery, Alabama",Secret,Global Network Operations (DISA GSM-O II); Global Network Operations II (PTS Subcontract); Global Service Management – Operations II,Leidos,"HOUSTON, TEXAS; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SECRET SECURITY ENGINEER (BOUNDARY), Secret, federal contractor","""Engineering Manager"" AND (Leidos) AND (Montgomery)",6,"Keywords: global, network, operations"
Insight Global,478776,OPERATING ENGINEER 2,"Springfield, Virginia",,Battlefield Information Collection & Exploitation System; Battlefield Info Collection & Exploitation System (BICES-X); BICES-X / Mission Partner Environment,GDIT (incumbent pre-MPE); GDIT,"SPRINGFIELD, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","OPERATING ENGINEER 2, None, federal contractor","""Engineering Manager"" AND (GDIT (incumbent pre-MPE) OR GDIT) AND (Springfield)",10,Keywords: information; State: VA; City: SPRINGFIELD
Insight Global,469723,TS/SCI SYSTEMS ADMINISTRATOR,"Dayton, Ohio",TS/SCI,"DIA Information Systems Engineering Office; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Army AESD Enterprise Service Desk",SAIC; Leidos,"FREDERICK, MARYLAND; SAN ANTONIO, TEXAS; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","TS/SCI SYSTEMS ADMINISTRATOR, TS/SCI, federal contractor","""Hiring Manager"" AND (Leidos) AND (Dayton)",6,"Keywords: office, information, systems"
Insight Global,479894,SECRET CUSTOMER SUPPORT ADMIN,"Vista, California",Secret,GBS (Global Broadcast Service); Global Broadcast Service; Global Service Management – Operations II,L3Harris; L3Harris (historical); Leidos,"MORGANTOWN, WEST VIRGINIA; ANAHEIM, CALIFORNIA","Hiring Manager, Program Manager, Team Lead, Recruiter","SECRET CUSTOMER SUPPORT ADMIN, Secret, federal contractor","""Hiring Manager"" AND (L3Harris OR L3Harris (historical)) AND (Vista)",7,"Keywords: service, global; State: CA"
Insight Global,482552,RUST DEVELOPER,"Camden, New Jersey",Secret,"DIA Information Systems Engineering Office; ARCYBER Information Advantage / Mission Support (general); Command and Control, Battle Management & Communications (MDA)",Northrop Grumman; Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work); Leidos,"FREDERICK, MARYLAND; FORT GEORGE G MEADE, MARYLAND; CHANDLER, ARIZONA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","RUST DEVELOPER, Secret, federal contractor","""Engineering Manager"" AND (Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work) OR Leidos) AND (Camden)",6,"Keywords: engineering, information, systems"
Insight Global,482978,DIGITAL HARDWARE ENGINEER,"Greece, New York",,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); DIA Information Systems Engineering Office; Global Service Management – Operations II",Leidos,"FREDERICK, MARYLAND; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","DIGITAL HARDWARE ENGINEER, None, federal contractor","""Engineering Manager"" AND (Leidos) AND (Greece)",10,"Keywords: next, integration, generation"
Insight Global,474207,SENIOR POSTGRES DATABASE ENGINEER,"Windsor Mill, Maryland",,Global Command and Control System – Joint (Variant); AF National Capital Region IT Support (AFNCR); ARCYBER Information Advantage / Mission Support (general),Leidos (historical incumbent); Peraton / others (Peraton lead on ARCYBER Information Advantage Enterprise line; additional primes on related work); Leidos,"FREDERICK, MARYLAND; FORT GEORGE G MEADE, MARYLAND","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SENIOR POSTGRES DATABASE ENGINEER, None, federal contractor","""Engineering Manager"" AND (Leidos (historical incumbent) OR Leidos) AND (Windsor Mill)",7,"Keywords: system, global; State: MD"
Insight Global,483547,SALES SUPPORT SPECIALIST,"Sully, Virginia",Public Trust,Army Backbone Infrastructure Modernization – Task Order 2; Army Backbone Infrastructure Modernization – Task Order 3; Battlefield Information Collection & Exploitation System,GDIT; CACI,"SPRINGFIELD, VIRGINIA; CHANTILLY, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","SALES SUPPORT SPECIALIST, Public Trust, federal contractor","""Hiring Manager"" AND (CACI) AND (Sully)",5,Keywords: order; State: VA
Insight Global,455777,TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON),"Montgomery, Alabama",TS/SCI,"Project Convergence (JADC2 Experiments); NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Air Force Advanced Battle Management System","Multiple: SAIC, Leidos, Booz Allen Hamilton; SAIC; Leidos","HERNDON, VIRGINIA; MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter","TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON), TS/SCI, federal contractor","""Hiring Manager"" AND (SAIC OR Leidos) AND (Montgomery)",10,Acronym: PC
Insight Global,455721,TS/SCI NETWORK ADMINISTRATOR III (WAN) (DAY SHIFT),"Montgomery, Alabama",TS/SCI,"Project Convergence (JADC2 Experiments); NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Air Force Advanced Battle Management System","Multiple: SAIC, Leidos, Booz Allen Hamilton; SAIC; Leidos","HERNDON, VIRGINIA; MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter","TS/SCI NETWORK ADMINISTRATOR III (WAN) (DAY SHIFT), TS/SCI, federal contractor","""Hiring Manager"" AND (SAIC OR Leidos) AND (Montgomery)",10,Acronym: PC
Insight Global,478637,SECRET ISSO,"Albuquerque, New Mexico",Secret,Global Service Management – Operations II; Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio; DIA Information Systems Engineering Office,SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1); Leidos,"FREDERICK, MARYLAND; COLORADO SPRINGS, COLORADO; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","SECRET ISSO, Secret, federal contractor","""Hiring Manager"" AND (SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1) OR Leidos) AND (Albuquerque)",6,"Keywords: service, global, operations"
Insight Global,477119,BLASTER / PAINTER,"Kings Bay, Georgia",,Global Service Management – Operations II; CDAO Advanced AI Tools (Scale AI OTA); DISA Global Service Mgmt – Ops II,Scale AI; Leidos,"PALO ALTO, CALIFORNIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","BLASTER / PAINTER, None, federal contractor","""Hiring Manager"" AND (Scale AI OR Leidos) AND (Kings Bay)",6,"Keywords: service, global, operations"
Insight Global,448756,LINUX SYSTEMS ENGINEER (TS),"Chantilly, Virginia",Top Secret,Army Integrated Battle Command System Support; GENMOD / VMOD 2 – Field Service Technicians; ITEMSS (IT Enterprise Mgmt Systems Solution),Northrop Grumman (prime); CACI (support); CACI,"CHANTILLY, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","LINUX SYSTEMS ENGINEER (TS), Top Secret, federal contractor","""Engineering Manager"" AND (Northrop Grumman (prime); CACI (support) OR CACI) AND (Chantilly)",10,Keywords: system; State: VA; City: CHANTILLY
Insight Global,482299,DATA ENGINEER,"Norfolk, Virginia",Secret,MSS Smart Systems (Palantir contract); Army IT Enterprise Mgmt Systems Solution; HHS Advanced Secure Data Repository,Palantir; GDIT / SAIC (indicative); CACI,"PALO ALTO, CALIFORNIA; SPRINGFIELD, VIRGINIA; ARLINGTON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","DATA ENGINEER, Secret, federal contractor","""Engineering Manager"" AND (Palantir OR CACI) AND (Norfolk)",14,"Acronym: MSS; Keywords: palantir, systems"
Insight Global,471207,TS/SCI + POLY CLEARED LINUX ADMIN/TEST ENGINEER,"Hanover, Maryland",TS/SCI Poly,DIA Information Systems Engineering Office; Global Command and Control System – Joint (Variant); Intelligence Systems Enterprise Operations,Leidos,"FREDERICK, MARYLAND","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","TS/SCI + POLY CLEARED LINUX ADMIN/TEST ENGINEER, TS/SCI Poly, federal contractor","""Engineering Manager"" AND (Leidos) AND (Hanover)",7,"Keywords: information, systems; State: MD"
Insight Global,476051,TOP SECRET TECHNICAL LEAD ENGINEERING SYSTEM,"Norfolk, Virginia",Top Secret,Battlefield Information Collection & Exploitation System; Integrated Base Defense Security System; DIA Information Systems Engineering Office,GDIT; Leidos,"FREDERICK, MARYLAND; SPRINGFIELD, VIRGINIA; RESTON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","TOP SECRET TECHNICAL LEAD ENGINEERING SYSTEM, Top Secret, federal contractor","""Engineering Manager"" AND (GDIT OR Leidos) AND (Norfolk)",7,"Keywords: system, information; State: VA"
Insight Global,480435,TOP SECRET SOFTWARE ENGINEER,"Washington, District Of Columbia",Top Secret,Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio; Global Service Management – Operations II; Global Solutions Management – Operations II,SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1); Leidos,"HOUSTON, TEXAS; MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","TOP SECRET SOFTWARE ENGINEER, Top Secret, federal contractor","""Engineering Manager"" AND (SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1) OR Leidos) AND (Washington)",7,"Keywords: platform, operations; State: CO"
Insight Global,476874,SECRET NON-DESTRUCTIVE TEST TECHNICIAN 2/3,"Palmdale, California",Secret,GBS (Global Broadcast Service); Global Broadcast Service; CDAO Advanced AI Tools (Scale AI OTA),L3Harris; L3Harris (historical); Scale AI,"PALO ALTO, CALIFORNIA; ANAHEIM, CALIFORNIA","Hiring Manager, Program Manager, Team Lead, Recruiter","SECRET NON-DESTRUCTIVE TEST TECHNICIAN 2/3, Secret, federal contractor","""Hiring Manager"" AND (L3Harris OR L3Harris (historical)) AND (Palmdale)",7,"Keywords: service, global; State: CA"
Insight Global,456010,SECRET NETWORK ADMINISTRATOR II (WAN) (AFTERNOONS),"Montgomery, Alabama",Secret,"Project Convergence (JADC2 Experiments); NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Air Force Advanced Battle Management System","Multiple: SAIC, Leidos, Booz Allen Hamilton; SAIC; Leidos","HERNDON, VIRGINIA; MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter","SECRET NETWORK ADMINISTRATOR II (WAN) (AFTERNOONS), Secret, federal contractor","""Hiring Manager"" AND (SAIC OR Leidos) AND (Montgomery)",10,Acronym: PC
Insight Global,480030,SUPPLY CHAIN SYSTEMS ENGINEER,"Mclean, Virginia",,Defense Enterprise Office 365 Migration / DoD365; Global Service Management – Operations II; DISA Supply Chain Mgmt (GDIT),Leidos; GDIT; Microsoft,"MCLEAN, VIRGINIA; SPRINGFIELD, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SUPPLY CHAIN SYSTEMS ENGINEER, None, federal contractor","""Engineering Manager"" AND (Leidos OR Microsoft) AND (Mclean)",8,State: VA; City: MCLEAN
Insight Global,479781,SCHEDULER,"Colorado Springs, Colorado",TS/SCI,"EDIS – Engineering, Development, Integration & Sustainment; Air Force Cyber Operations / Platform One + Cyber/DevSecOps Portfolio; Engineering Development & Integration Support",SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1); SAIC (via Engility); SAIC,"COLORADO SPRINGS, COLORADO","Hiring Manager, Program Manager, Team Lead, Recruiter","SCHEDULER, TS/SCI, federal contractor","""Hiring Manager"" AND (SAIC; Leidos; CACI; Booz Allen Hamilton (aggregate DevSecOps/Cyber vendors supporting CSO & P1) OR SAIC) AND (Colorado Springs)",16,"Keywords: engineering, integration, sustainment; State: CO; City: COLORADO SPRINGS"
Insight Global,464764,POWER PLATFORM DEVELOPER,"Alexandria, Virginia",Secret,Data Center & Cloud Optimization; DHS Data Center 2; SOCOM Digital Applications Data Science Support,Peraton / Leidos (indicative); GDIT / Peraton (indicative); Iron Eagle X (now GDIT),"MC LEAN, VIRGINIA; SPRINGFIELD, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","POWER PLATFORM DEVELOPER, Secret, federal contractor","""Engineering Manager"" AND (Peraton / Leidos (indicative) OR GDIT / Peraton (indicative)) AND (Alexandria)",7,"Keywords: center, data; State: VA"
Insight Global,478959,TS/SCI ENGINEERING TECHNICIAN,"San Antonio, Texas",TS/SCI,Army AESD Enterprise Service Desk; Army Enterprise Service Desk; Justified (SAP Security),SAIC (inferred); SAIC,"SAN ANTONIO, TEXAS","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","TS/SCI ENGINEERING TECHNICIAN, TS/SCI, federal contractor","""Engineering Manager"" AND (SAIC) AND (San Antonio)",10,Keywords: service; State: TX; City: SAN ANTONIO
Insight Global,483058,SOFTWARE ENGINEER,"Dayton, Ohio",,Cloud One (USAF Cloud Program); DIA Information Systems Engineering Office; DISA Global Service Mgmt – Ops II,SAIC; Leidos,"FREDERICK, MARYLAND; SAN ANTONIO, TEXAS; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SOFTWARE ENGINEER, None, federal contractor","""Engineering Manager"" AND (SAIC OR Leidos) AND (Dayton)",4,"Keywords: program, cloud"
Insight Global,483246,TSSCI TIER 1 NETWORK MONITOR (EAST COAST),"Hampton, Virginia",TS/SCI,Battlefield Information Collection & Exploitation System; CMS Enterprise Cloud Infrastructure Services; DLA J6 Enterprise Technology Services,CACI; Deloitte; SAIC; GDIT; GDIT; Peraton / SAIC (indicative),"STERLING, VIRGINIA; HERNDON, VIRGINIA; SPRINGFIELD, VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","TSSCI TIER 1 NETWORK MONITOR (EAST COAST), TS/SCI, federal contractor","""Hiring Manager"" AND (GDIT OR Peraton / SAIC (indicative)) AND (Hampton)",7,"Keywords: system, information; State: VA"
Insight Global,480214,TS/SCI LOGISTICS SPECIALIST,"San Antonio, Texas",TS/SCI,Army AESD Enterprise Service Desk; Army Enterprise Service Desk; Justified (SAP Security),SAIC (inferred); SAIC,"SAN ANTONIO, TEXAS","Hiring Manager, Program Manager, Team Lead, Recruiter","TS/SCI LOGISTICS SPECIALIST, TS/SCI, federal contractor","""Hiring Manager"" AND (SAIC) AND (San Antonio)",12,"Keywords: army, service; State: TX; City: SAN ANTONIO"
Insight Global,483336,TOP SECRET SPLUNK ENGINEER,"Vienna, Virginia",Top Secret,"Army Enterprise Service Management Framework; Global Service Management – Operations II; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",SAIC; Leidos,"MORGANTOWN, WEST VIRGINIA; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","TOP SECRET SPLUNK ENGINEER, Top Secret, federal contractor","""Engineering Manager"" AND (SAIC OR Leidos) AND (Vienna)",8,"Keywords: framework, service, enterprise"
Insight Global,478414,TOP SECRET AWS ENGINEER,"Vienna, Virginia",Top Secret Poly,CMS Enterprise Cloud Infrastructure Services; Battlefield Information Collection & Exploitation System; Integrated Base Defense Security System,Leidos; GDIT; Peraton / SAIC (indicative),"HERNDON, VIRGINIA; SPRINGFIELD, VIRGINIA; RESTON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","TOP SECRET AWS ENGINEER, Top Secret Poly, federal contractor","""Engineering Manager"" AND (GDIT OR Peraton / SAIC (indicative)) AND (Vienna)",9,"Keywords: infrastructure, cloud, services; State: VA"
Insight Global,313138,ELECTRICAL ENGINEER,"Cockeysville, Maryland",Secret,Global Command and Control System – Joint (Variant); DIA Information Systems Engineering Office; Global Command and Control System – Joint,Northrop Grumman; Leidos,"FREDERICK, MARYLAND; ROY, UTAH","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","ELECTRICAL ENGINEER, Secret, federal contractor","""Engineering Manager"" AND (Leidos) AND (Cockeysville)",9,"Keywords: system, control, global; State: MD"
Insight Global,479108,TS/SCI PROGRAM MANAGER,"San Antonio, Texas",TS/SCI,Army AESD Enterprise Service Desk; Army Enterprise Service Desk; Cloud One (USAF Cloud Program),SAIC,"SAN ANTONIO, TEXAS","Director, VP, Senior Manager, Program Director","TS/SCI PROGRAM MANAGER, TS/SCI, federal contractor","""Director"" AND (SAIC) AND (San Antonio)",10,Keywords: service; State: TX; City: SAN ANTONIO
